record_id,batch,continent,zone,item_name,item_category,slot,equippable,inventory_only,magic,lore,no_drop,quest_item,weight,size,classes_classic,races_classic,stats_raw,damage,delay,weapon_skill,proc_click_focus,source_npc,source_npc_level,source_npc_class,source_npc_race_type,placeholder,placeholder_level_range,nearby_enemy_level_range,spawn_type,spawn_location,respawn_timer,time_condition,special_abilities,social_or_add_risk,faction_consequences,drop_frequency,drop_rate_reported,drop_notes,era_status,tlp_status,legends_status,best_for_classes,best_for_archetypes,general_value_notes,personal_build_notes,effect_transfer_value,target_priority_general,duplicate_item_group,inclusion_reason,source_scope,core_or_supplemental,data_confidence,source_primary,source_secondary,research_notes,approved,revision,stats_classic,stats_eql,classes_eql,races_eql,source_npc_level_classic,source_npc_level_eql,eql_verification_status,eql_audit_action,eql_npc_confirmed,eql_item_confirmed,eql_drop_source_confirmed,eql_stats_match,eql_classes_match,eql_races_match,eql_effect_match,eql_spawn_match,eql_era_status,eql_wiki_source,eql_official_source,eql_last_checked,eql_changes_summary,eql_verification_notes
B01-NRO-001,1,Antonica,Northern Desert of Ro,Scarab Ring,Jewelry,Finger,Yes,No,Yes,,,,0.1,,All,All,AC 2; FR +2; CR +2; MR +2; DR +2; PR +2,,,,,Rahotep,16,Warrior,Mummy,a shriveled mummy,,,Roaming placeholder cycle,"Approximately -125, 370; near south hill and undead structures",,,,"Roaming desert enemies, including possible sand giant traffic",,Unknown,,,Classic,Likely,Candidate,All,All; resist set; lightweight gear,Universal early resistance ring with extremely low weight,Excellent for Monk/Druid/Necromancer,None known,High,Scarab Ring,Strong universal stats and rare named source,Named outdoor drop,Core,High,https://wiki.project1999.com/Northern_Desert_of_Ro,,,Yes,3,AC 2; FR +2; CR +2; MR +2; DR +2; PR +2,AC 2; FR +2; CR +2; MR +2; DR +2; PR +2,All,All,16,16,EQL Confirmed,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/Northern_Desert_of_Ro,,2026-07-21,,
B01-NRO-002,1,Antonica,Northern Desert of Ro,Scepter of Rahotep,Weapon,Primary / Secondary,Yes,No,Yes,,,,4.5,,"WAR, CLR, PAL, RNG, SHD, DRU, MNK, BRD, ROG, SHM",,9 damage / 38 delay,9,38,1HB,,Rahotep,16,Warrior,Mummy,a shriveled mummy,,,Roaming placeholder cycle,"Approximately -125, 370; near south hill and undead structures",,,,,,Unknown,,,Classic,Likely,Candidate,"Cleric, Druid, Monk, Shaman, tanks, hybrids, Bard, Rogue",Early melee; priest melee; magical weapon access,Distinctive broad-use early magical blunt weapon,Usable by Monk and Druid sides,None known,Medium,Scepter of Rahotep,Unique named weapon with broad class access,Named outdoor drop,Core,High,https://wiki.project1999.com/Northern_Desert_of_Ro,,,Yes,3,9 damage / 38 delay,9 damage / 38 delay,"WAR, CLR, PAL, RNG, SHD, DRU, MNK, BRD, ROG, SHM",,16,16,EQL Confirmed,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/Northern_Desert_of_Ro,,2026-07-21,,
B01-NRO-003,1,Antonica,Northern Desert of Ro,Scute Shield,Shield,Secondary,Yes,No,Yes,,,,8.0,,"WAR, CLR, PAL, RNG, SHD, DRU, BRD, ROG, SHM",,AC 15; STA +9,,,,,Dunedigger,Approximately 14,Warrior,Armadillo,Usually a giant rattlesnake,,,Long static placeholder cycle,"Near -1440, 940 by Sunken Tower",Reported 2:46:40,,,Low direct add risk; rarity is main obstacle,,Disputed,Prose about 50%; generated table 25%,Internal source conflict retained,Classic,Likely,Candidate,"Warrior, Cleric, Paladin, Ranger, Shadow Knight, Druid, Bard, Rogue, Shaman",Tank; priest; shield user,Strong early defensive shield with stamina,Useful to Druid side; heavy for Monk,None known,High,Scute Shield,Rare named shield with unusually strong early defensive stats,Named outdoor drop,Core,Medium-High,https://wiki.project1999.com/Dunedigger,,Drop rate needs independent verification,Yes,3,AC 15; STA +9,AC 15; STA +9,"WAR, CLR, PAL, RNG, SHD, DRU, BRD, ROG, SHM",,Approximately 14,Approximately 14,EQL Confirmed,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/Northern_Desert_of_Ro,,2026-07-21,,
B01-NRO-004,1,Antonica,Northern Desert of Ro,Armadillo Hide,Quest / collection item,Inventory,No,Yes,,,,,0.0,,All,All,,,,,,Dunedigger,Approximately 14,Warrior,Armadillo,Usually a giant rattlesnake,,,Long static placeholder cycle,"Near -1440, 940 by Sunken Tower",Reported 2:46:40,,,,,Disputed / unknown,,,Classic,Likely,Unknown,All,Questing; collecting,Unique zero-weight drop reportedly exclusive to Dunedigger,No direct equipment value,None,Low,Armadillo Hide,Unique named-only drop and collection value,Named outdoor drop,Core,Medium-High,https://wiki.project1999.com/Dunedigger,,,Yes,3,,,All,All,Approximately 14,Approximately 14,EQL Confirmed,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/Northern_Desert_of_Ro,,2026-07-21,,
B01-NRO-005,1,Antonica,Northern Desert of Ro,Cutthroat Insignia Ring,Jewelry / quest item,Finger,Yes,No,,,,Yes,0.1,,All,All,AC 1; DEX +2,,,,,Dervish cutthroats,11-13,Warrior-type humanoid,Human,,,,Static social camps and wanderers,,,,,Dervish camps can generate multiple social adds,,Unknown,,,Classic,Likely,Candidate,All,Early melee; questing,Lightweight starter ring and recurring quest item,Minor DEX value for Monk side,None,Medium,Cutthroat Insignia Ring,Useful equippable quest item with multiple outdoor sources,Common outdoor camp drop,Core,High,https://wiki.project1999.com/Northern_Desert_of_Ro,,,Yes,3,AC 1; DEX +2,AC 1; DEX +2,All,All,11-13,11-13,EQL Confirmed,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/Northern_Desert_of_Ro,,2026-07-21,,
B01-SRO-001,1,Antonica,Southern Desert of Ro,Ring of the Ancients,Jewelry / quest item,Wrist,Yes,No,Yes,Yes,Yes,Yes,2.0,,All,All,AC 6; INT +5,,,,,an ancient cyclops,Approximately 30-32,Warrior,Cyclops,Sandgiant Husam; sand giant; desert madman; dervish cutthroat; mummy,,,Night-only timed placeholder cycle,,Approximately 30.6 minutes after initial 9 PM game-time spawn,Night,Sees invisibility and hide; unstunnable,Roaming desert enemies and giant placeholders,,Always,100%,Required for Journeyman's Boots quest,Classic,Confirmed / expected classic phase,Candidate,INT casters; all questing classes,Caster; quest progression; AC swap,Strong universal INT wrist and iconic JBoots component,Very useful to Necromancer side,None known,Very High,Ring of the Ancients,Iconic quest item and strong caster wrist,Named outdoor drop,Core,High,https://wiki.project1999.com/An_Ancient_Cyclops_%28Southern_Ro%29,,,Yes,3,AC 6; INT +5,AC 6; INT +5,All,All,Approximately 30-32,Approximately 30-32,EQL Confirmed,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/Southern_Desert_of_Ro,,2026-07-21,,
B01-SRO-002,1,Antonica,Southern Desert of Ro,Scrounge's Claw,Weapon,Primary,Yes,No,,,,,2.5,,"WAR, PAL, RNG, SHD, BRD, ROG",,5 damage / 30 delay,5,30,1HS,,Scrounge,8,Warrior,Wolf,,,,Rare roaming named,"Reported near -2475, 641 among other possible locations",,,,,,Always,100%,,Classic,Likely,Candidate,"Warrior, Paladin, Ranger, Shadow Knight, Bard, Rogue",Early melee; magical slashing access,Distinctive low-level outdoor weapon,Not classically usable by proposed build,None known,Medium,Scrounge's Claw,Unique rare-roamer weapon,Named outdoor drop,Core,High,https://wiki.project1999.com/Southern_Desert_of_Ro,,,Yes,3,5 damage / 30 delay,5 damage / 30 delay,"WAR, PAL, RNG, SHD, BRD, ROG",,8,8,EQL Confirmed,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/Southern_Desert_of_Ro,,2026-07-21,,
B01-SRO-003,1,Antonica,Southern Desert of Ro,Orcish Mace,Weapon,Primary / Secondary,Yes,No,,,,,9.0,,"All except NEC, WIZ, MAG, ENC",,7 damage / 39 delay,7,39,1HB,,Erg Bluntbruiser,10,Warrior,Orc,a dervish cutthroat,,,Roaming placeholder route,Near Oasis zone line,,,,,,Unknown,,,Classic,Likely,Candidate,"Priests, tanks, hybrids, Monk, Bard, Rogue, Shaman",Early blunt melee,Broad-use outdoor blunt weapon,Usable by Monk and Druid sides,None known,Medium,Orcish Mace,Unique named drop with broad class access,Named outdoor drop,Core,Medium-High,https://wiki.project1999.com/Erg_Bluntbruiser,,,Yes,3,7 damage / 39 delay,7 damage / 39 delay,"All except NEC, WIZ, MAG, ENC",,10,10,EQL Confirmed,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/Southern_Desert_of_Ro,,2026-07-21,,
B01-SRO-004,1,Antonica,Southern Desert of Ro,Orcish Morning Star,Weapon,Primary / Secondary,Yes,No,,,,,11.0,,"WAR, CLR, PAL, RNG, SHD, DRU, MNK, BRD, ROG, SHM",,8 damage / 43 delay,8,43,1HB,,Erg Bluntbruiser,10,Warrior,Orc,a dervish cutthroat,,,Roaming placeholder route,Near Oasis zone line,,,,,,Unknown,,,Classic,Likely,Candidate,"Cleric, Druid, Monk, Shaman, tanks, hybrids, Bard, Rogue",Early blunt melee,"Distinctive broad-use outdoor weapon, though heavy and slow",Usable by Monk and Druid sides but heavy,None known,Low-Medium,Orcish Morning Star,Unique named drop with broad class access,Named outdoor drop,Core,Medium-High,https://wiki.project1999.com/Erg_Bluntbruiser,,,Yes,3,8 damage / 43 delay,8 damage / 43 delay,"WAR, CLR, PAL, RNG, SHD, DRU, MNK, BRD, ROG, SHM",,10,10,EQL Confirmed,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/Southern_Desert_of_Ro,,2026-07-21,,
B01-SRO-005,1,Antonica,Southern Desert of Ro,Kilij Plans,Quest item,Inventory,No,Yes,,Yes,,Yes,0.1,,All,All,,,,,,Sandgiant Husam,29,Warrior,Giant,,,,Named outdoor giant,,,,Sees invisibility; unstunnable,,,Unknown,,Leads to Brazen Brass Kilij,Classic,Likely,Unknown,"Warrior, Bard, Rogue",Quest weapon progression,Key component for a distinctive class-limited sword,No direct relevance,Indirect through resulting weapon,Medium,Kilij Plans,Notable class weapon quest component,Named outdoor drop,Core,Medium-High,https://wiki.project1999.com/Sandgiant_Husam,,,Yes,3,,,All,All,29,29,EQL Confirmed,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/Southern_Desert_of_Ro,,2026-07-21,,
B01-SRO-006,1,Antonica,Southern Desert of Ro,Sand of Ro,Quest item,Inventory,No,Yes,,,,Yes,0.1,,All,All,,,,,,Sandgiant Husam and ordinary sand giants,Varies,,Giant / desert sources,,,,Named and general desert sources,,,,,,,Variable,,"Important class-equipment quest component, including Boots of Ro progression",Classic,Likely,Unknown,Druid and relevant questing classes,Class armor quest progression,Recognizable class-equipment quest component,Relevant to Druid side,Indirect through quest reward,Medium,Sand of Ro,Important class quest component,Named and common outdoor drop,Core,High,https://wiki.project1999.com/Sandgiant_Husam,,,Yes,3,,,All,All,Varies,Varies,EQL Confirmed — Modified,Correct,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/Southern_Desert_of_Ro,,2026-07-21,EQL Wiki also lists ordinary sand giants as sources.,
B01-SRO-007,1,Antonica,Southern Desert of Ro,Gargantuan Tarantula Heart,Quest item,Inventory,No,Yes,,Yes,,Yes,20.0,,All,All,,,,,,Terrorantula,37-40,Warrior,Spider,desert tarantulas,,,Zonewide named spawned by clearing correct creature family,Desert portion of Southern Ro,,,Procs Strong Poison,,,Rare / uncertain,,,Classic source,Likely,Unknown,Questing classes,Quest progression,Distinctive named-spider quest component,No direct equipment value,None,Low-Medium,Gargantuan Tarantula Heart,Unique named encounter and quest relevance,Named outdoor drop,Core,Medium-High,https://wiki.project1999.com/Southern_Desert_of_Ro,,,Yes,3,,,All,All,37-40,37-40,EQL Confirmed,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/Southern_Desert_of_Ro,,2026-07-21,,
B01-SRO-008,1,Antonica,Southern Desert of Ro,Gargantuan Tarantula Leg,Quest item,Inventory,No,Yes,,Yes,,Yes,7.5,,All,All,,,,,,Terrorantula,37-40,Warrior,Spider,desert tarantulas,,,Zonewide named spawned by clearing correct creature family,Desert portion of Southern Ro,,,Procs Strong Poison,,,Rare / uncertain,,,Classic source,Likely,Unknown,Questing classes,Quest progression,Distinctive named-spider quest component,No direct equipment value,None,Low-Medium,Gargantuan Tarantula Leg,Unique named encounter and quest relevance,Named outdoor drop,Core,Medium-High,https://wiki.project1999.com/Southern_Desert_of_Ro,,,Yes,3,,,All,All,37-40,37-40,EQL Confirmed,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/Southern_Desert_of_Ro,,2026-07-21,,
B01-SRO-009,1,Antonica,Southern Desert of Ro,Terrorantula Silk,Crafting material,Inventory,No,Yes,,,,,0.1,,All,All,,,,,,Terrorantula,37-40,Warrior,Spider,desert tarantulas,,,Zonewide named spawned by clearing correct creature family,,,,,,,Always on cited page,100% on cited page,Evidence indicates it began dropping in April 2001,Confirmed current EQL loot; classic-history note retained,Current EQL availability confirmed,Unknown,Tradeskill users,Crafting; economy,Notable crafting material but not original-launch loot,No direct equipment value,None,Low,Terrorantula Silk,Era-audit value and distinctive crafting source,Named outdoor drop,Core,High warning confidence,https://wiki.project1999.com/Southern_Desert_of_Ro,,,Yes,3,,,All,All,37-40,37-40,EQL Confirmed — Modified,Correct,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confirmed current EQL loot,https://eqlwiki.com/Terrorantula,,2026-07-21,Current EQL Wiki confirms the item on Terrorantula; retain post-classic history only as classic-context metadata.,
B01-SRO-010,1,Antonica,Southern Desert of Ro,Cutthroat Insignia Ring,Jewelry / quest item,Finger,Yes,No,,,,Yes,0.1,,All,All,AC 1; DEX +2,,,,,Dervish cutthroats and a young ronin,Varies,,Human,,,,Static camps and named spawn,,,,,,,Variable,,,Classic from dervishes; young-ronin source era-sensitive,Likely / source dependent,Candidate,All,Early melee; questing,Useful early ring with multiple outdoor source zones,Minor DEX value for Monk side,None,Medium,Cutthroat Insignia Ring,Useful equippable quest item and duplicate-source tracking,Common and named outdoor drop,Core,Medium-High,https://wiki.project1999.com/Southern_Desert_of_Ro,,,Yes,3,AC 1; DEX +2,AC 1; DEX +2,All,All,Varies,Varies,EQL Confirmed,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/Southern_Desert_of_Ro,,2026-07-21,,
B01-OAS-001,1,Antonica,Oasis of Marr,Lockjaw Hide Vest,Armor,Chest,Yes,No,Yes,,,,1.5,,"All except NEC, WIZ, MAG, ENC",,AC 12; STA +5,,,,Focus: Extended Enhancement I,Lockjaw,25,Warrior,Crocodile,,,Crocodiles about 11-22; sand giants and spectres about 33-37,Rare roaming named,"Reported near 943, -746 and -1301, -867",,,,,,Common / alternate primary drop,Approximately 50% generated table,,Classic,Likely,Candidate,"Warrior, Cleric, Paladin, Ranger, Shadow Knight, Druid, Monk, Bard, Rogue, Shaman",Tank; melee; priest; hybrid,Strong lightweight chest with stamina,Excellent for Monk/Druid sides,High,High,Lockjaw Hide Vest,Strong named armor drop with broad class use,Named outdoor drop,Core,High,https://wiki.project1999.com/Oasis_of_Marr,,,Yes,3,AC 12; STA +5,AC 12; STA +5,"All except NEC, WIZ, MAG, ENC",,25,25,EQL Confirmed — Modified,Correct,Yes,Yes,Yes,Yes,Yes,Yes,No — EQL adds focus,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/Oasis_of_Marr,,2026-07-21,Added EQL focus effect Extended Enhancement I.,
B01-OAS-002,1,Antonica,Oasis of Marr,Glowing Wooden Crook,Weapon,Primary,Yes,No,Yes,,,,8.5,,"All except ROG, NEC, WIZ, MAG, ENC",,11 damage / 35 delay,11,35,2HB,,Lockjaw,25,Warrior,Crocodile,,,Crocodiles about 11-22; sand giants and spectres about 33-37,Rare roaming named,"Reported near 943, -746 and -1301, -867",,,,,,Common / alternate primary drop,Approximately 50% generated table,,Classic,Likely,Candidate,"Warrior, Cleric, Paladin, Ranger, Shadow Knight, Druid, Monk, Bard, Shaman",2HB melee; priest melee; hybrid,Good outdoor 2HB for a broad set of non-INT classes,Usable by Monk and Druid sides,None known,High,Glowing Wooden Crook,Strong named weapon drop with broad class use,Named outdoor drop,Core,High,https://wiki.project1999.com/Oasis_of_Marr,,,Yes,3,11 damage / 35 delay,11 damage / 35 delay,"All except ROG, NEC, WIZ, MAG, ENC",,25,25,EQL Confirmed,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/Oasis_of_Marr,,2026-07-21,,
