record_id,batch,continent,zone,item_name,item_category,slot,equippable,inventory_only,magic,lore,no_drop,quest_item,weight,size,classes_classic,races_classic,stats_raw,damage,delay,weapon_skill,proc_click_focus,source_npc,source_npc_level,source_npc_class,source_npc_race_type,placeholder,placeholder_level_range,nearby_enemy_level_range,spawn_type,spawn_location,respawn_timer,time_condition,special_abilities,social_or_add_risk,faction_consequences,drop_frequency,drop_rate_reported,drop_notes,era_status,tlp_status,legends_status,best_for_classes,best_for_archetypes,general_value_notes,personal_build_notes,effect_transfer_value,target_priority_general,duplicate_item_group,inclusion_reason,source_scope,core_or_supplemental,data_confidence,source_primary,source_secondary,research_notes,approved,revision,stats_classic,stats_eql,classes_eql,races_eql,source_npc_level_classic,source_npc_level_eql,eql_verification_status,eql_audit_action,eql_npc_confirmed,eql_item_confirmed,eql_drop_source_confirmed,eql_stats_match,eql_classes_match,eql_races_match,eql_effect_match,eql_spawn_match,eql_era_status,eql_wiki_source,eql_official_source,eql_last_checked,eql_changes_summary,eql_verification_notes,official_override_status,official_source_checked,eql_wiki_listing_status,eql_wiki_verification_state,current_build_confirmed,evidence_grade,evidence_strength,conflict_status,classic_original_launch,classic_historical_era,last_directly_observed,primary_evidence_layer,per_field_provenance_notes
B03-ECL-001,3,Antonica,East Commonlands,Deathfist Slashed Belt,Quest item,Inventory,No,Yes,,,,Yes,1.3,,All,All,,,,,,Deathfist orcs,1-10,,,,,,Social orc camps,,,,Oracle variants may heal and blind,,,Common / variable,,,Classic,Likely,Unknown,All,Quest item,"Important low-level experience, faction, and economy item",,None known,Medium,Deathfist Slashed Belt,"Important low-level experience, faction, and economy item",Outdoor drop,Core,High,https://wiki.project1999.com/East_Commonlands,,,Yes,4,,,All,All,1-10,1-10,EQL Wiki Linked — Verification State Unclear,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/East_Commonlands,,2026-07-22,,,No applicable official statement found,Yes,Direct zone/NPC/item linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic,,EQL Wiki,Official EQL sources checked with no item-specific override found; EQL Wiki used for current working data; Project 1999 retained as classic baseline.
B03-ECL-002,3,Antonica,East Commonlands,Illegible Scroll,Quest / research item,Inventory,No,Yes,Yes,Yes,Yes,Yes,0.1,,All,All,,,,,,Deathfist Orc Oracle,9,,,,,,Social orc camp,,,,Heals and casts blind,,,,,,Classic,Likely,Unknown,All,Quest / research item,Low-level spell-reward and research item,,None known,Medium,Illegible Scroll,Low-level spell-reward and research item,Outdoor drop,Core,Medium-High,https://wiki.project1999.com/East_Commonlands,,,Yes,4,,,All,All,9,9,EQL Wiki Linked — Verification State Unclear,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/East_Commonlands,,2026-07-22,,,No applicable official statement found,Yes,Direct zone/NPC/item linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic,,EQL Wiki,Official EQL sources checked with no item-specific override found; EQL Wiki used for current working data; Project 1999 retained as classic baseline.
B03-ECL-003,3,Antonica,East Commonlands,Orc Pawn Pick,Weapon / quest item,Primary / Secondary,Yes,No,,,,Yes,10.0,,"Excludes CLR, DRU, MNK, SHM; race restrictions apply",All,2 damage / 40 delay,2,40,1HS,,Deathfist orc pawn,1-2,,,,,,,,,,,,,Common,,,Classic,Likely,Candidate,"Excludes CLR, DRU, MNK, SHM; race restrictions apply",Weapon / quest item,Weak equipment but recurring faction and coin turn-in item,,None known,Low-Medium,Orc Pawn Pick,Weak equipment but recurring faction and coin turn-in item,Outdoor drop,Core,High,https://wiki.project1999.com/East_Commonlands,,,Yes,4,2 damage / 40 delay,2 damage / 40 delay,"Excludes CLR, DRU, MNK, SHM; race restrictions apply",All,1-2,1-2,EQL Wiki Linked — Verification State Unclear,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/East_Commonlands,,2026-07-22,,,No applicable official statement found,Yes,Direct zone/NPC/item linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic,,EQL Wiki,Official EQL sources checked with no item-specific override found; EQL Wiki used for current working data; Project 1999 retained as classic baseline.
B03-ECL-004,3,Antonica,East Commonlands,Bloodstone,Quest item,Inventory,No,Yes,,,,Yes,0.1,,All,All,,,,,,Sergeant Slate,41,,,,,,Roaming faction NPC patrol,,,,Hostile to evil races and skeleton-form players,,Major Freeport faction effects,,,,Classic,Likely,Unknown,All,Quest item,Notable quest drop from a major outdoor guard NPC,,None known,Medium,Bloodstone,Notable quest drop from a major outdoor guard NPC,Outdoor drop,Core,Medium-High,https://wiki.project1999.com/East_Commonlands,,,Yes,4,,,All,All,41,41,EQL Wiki Linked — Verification State Unclear,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/East_Commonlands,,2026-07-22,,,No applicable official statement found,Yes,Direct zone/NPC/item linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic,,EQL Wiki,Official EQL sources checked with no item-specific override found; EQL Wiki used for current working data; Project 1999 retained as classic baseline.
B03-ECL-005,3,Antonica,East Commonlands,Human Head - Narl's Head,Quest item,Inventory,No,Yes,,Yes,Yes,Yes,0.4,,All,All,,,,,,Squire Narl,3,,,,,,,,,,,,,,,,Classic,Likely,Unknown,All,Quest item,Distinctive named-NPC quest item,,None known,Low,Human Head,Distinctive named-NPC quest item,Outdoor drop,Core,Medium-High,https://wiki.project1999.com/East_Commonlands,,,Yes,4,,,All,All,3,3,EQL Wiki Linked — Verification State Unclear,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/East_Commonlands,,2026-07-22,,,No applicable official statement found,Yes,Direct zone/NPC/item linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic,,EQL Wiki,Official EQL sources checked with no item-specific override found; EQL Wiki used for current working data; Project 1999 retained as classic baseline.
B03-ECL-006,3,Antonica,East Commonlands,Human Blood,Quest / research item,Inventory,No,Yes,Yes,,,Yes,0.1,,All,All,,,,,,Squire Narl or Rinna Lightshadow,3 or 61,Shadow Knight or Cleric,,,,,,,,,,,,,,,Classic,Likely,Unknown,All,Quest / research item,Necromancer research and quest component,,None known,Medium,Human Blood,Necromancer research and quest component,Outdoor drop,Core,Medium-High,https://wiki.project1999.com/East_Commonlands,,,Yes,4,,,All,All,Varies,3 or 61,EQL Wiki Linked — Verification State Unclear,Correct,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/East_Commonlands,,2026-07-22,Expanded EQL sources to Squire Narl and Rinna Lightshadow.,,No applicable official statement found,Yes,Direct zone/NPC/item linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic,,EQL Wiki,EQL Wiki links Human Blood to both East Commonlands NPCs; classic source data retained separately.
B03-ECL-007,3,Antonica,East Commonlands,Giant Fire Beetle Leg,Quest item,Inventory,No,Yes,,,,Yes,0.1,,All,All,,,,,,Source unclear in zone record,Unverified,,,,,,,,,,,,,,,Specific East Commonlands source must be confirmed,Classic candidate,Likely,Unknown,All,Quest item,Class-quest material retained for completeness,,None known,Low,Giant Fire Beetle Leg,Class-quest material retained for completeness,Source requires verification,Core,Low-Medium,https://wiki.project1999.com/East_Commonlands,,,Yes,4,,,All,All,Unverified,Unverified,Item wiki-listed — source unverified,Quarantine,Yes,Yes,No,Yes,Yes,Yes,Yes,Unverified,Confirmed in current EQL Wiki,https://eqlwiki.com/East_Commonlands,,2026-07-22,EQL lists the item but does not identify a confirmed East Commonlands source.,Retain as classic baseline; exclude from confirmed-source filters.,No applicable official statement found,Yes,Direct zone/NPC/item linkage where documented,Verification state unclear,No public direct evidence found,D,EQL Wiki item listing without confirmed East Commonlands source,"Ordinary fire beetle table lists Fire Beetle Leg, not Giant Fire Beetle Leg",Unverified,Classic candidate,,EQL Wiki,Retain as research candidate; exclude from EQL-confirmed source filters.
B03-ECL-008,3,Antonica,East Commonlands,Griffon Feathers,Quest / crafting item,Inventory,No,Yes,,,,,0.1,,All,All,,,,,,a griffin,36,,,,,,Dangerous roaming creature family,,,,,,,,,,Classic,Likely,Unknown,All,Quest / crafting item,Recognizable material from dangerous roaming griffins,,None known,Medium,Griffon Feathers,Recognizable material from dangerous roaming griffins,Outdoor drop,Core,Medium-High,https://wiki.project1999.com/East_Commonlands,,,Yes,4,,,All,All,High relative to zone,36,EQL Wiki Linked — Verification State Unclear,Correct,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/East_Commonlands,,2026-07-22,EQL confirms the griffin source as level 36.,,No applicable official statement found,Yes,Direct zone/NPC/item linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic,,EQL Wiki,Official EQL sources checked with no item-specific override found; EQL Wiki used for current working data; Project 1999 retained as classic baseline.
B03-WCL-001,3,Antonica,West Commonlands,Cutthroat Insignia Ring,Jewelry / quest item,Finger,Yes,No,,,,Yes,0.1,,All,All,AC 1; DEX +2,,,,,dervish cutthroat,11-13,,,,,,Social dervish camps,,,,,,,,,,Classic,Likely,Candidate,All,Jewelry / quest item,Lightweight early ring and repeatable faction item,,None known,Medium,Cutthroat Insignia Ring,Lightweight early ring and repeatable faction item,Outdoor drop,Core,High,https://wiki.project1999.com/West_Commonlands,,,Yes,4,AC 1; DEX +2,AC 1; DEX +2,All,All,11-13,11-13,EQL Wiki Linked — Verification State Unclear,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/West_Commonlands,,2026-07-22,,,No applicable official statement found,Yes,Direct zone/NPC/item linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic,,EQL Wiki,Official EQL sources checked with no item-specific override found; EQL Wiki used for current working data; Project 1999 retained as classic baseline.
B03-WCL-002,3,Antonica,West Commonlands,Cutthroat Golden Tooth,Quest item,Inventory,No,Yes,,,,Yes,0.2,,All,All,,,,,,dervish cutthroat,11-13,,,,,,,,,,,,,,,,Classic,Likely,Unknown,All,Quest item,Additional faction and quest value from dervish camps,,None known,Low-Medium,Cutthroat Golden Tooth,Additional faction and quest value from dervish camps,Outdoor drop,Core,High,https://wiki.project1999.com/West_Commonlands,,,Yes,4,,,All,All,11-13,11-13,EQL Wiki Linked — Verification State Unclear,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/West_Commonlands,,2026-07-22,,,No applicable official statement found,Yes,Direct zone/NPC/item linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic,,EQL Wiki,Official EQL sources checked with no item-specific override found; EQL Wiki used for current working data; Project 1999 retained as classic baseline.
