index,record_id,batch,continent,zone,item_name,item_category,slot,equippable,inventory_only,magic,lore,no_drop,quest_item,weight,size,classes_classic,races_classic,stats_raw,damage,delay,weapon_skill,proc_click_focus,source_npc,source_npc_level,source_npc_class,source_npc_race_type,placeholder,placeholder_level_range,nearby_enemy_level_range,spawn_type,spawn_location,respawn_timer,time_condition,special_abilities,social_or_add_risk,faction_consequences,drop_frequency,drop_rate_reported,drop_notes,era_status,tlp_status,legends_status,best_for_classes,best_for_archetypes,general_value_notes,personal_build_notes,effect_transfer_value,target_priority_general,duplicate_item_group,inclusion_reason,source_scope,core_or_supplemental,data_confidence,source_primary,source_secondary,research_notes,approved,revision,stats_classic,stats_eql,classes_eql,races_eql,source_npc_level_classic,source_npc_level_eql,eql_verification_status,eql_audit_action,eql_npc_confirmed,eql_item_confirmed,eql_drop_source_confirmed,eql_stats_match,eql_classes_match,eql_races_match,eql_effect_match,eql_spawn_match,eql_era_status,eql_wiki_source,eql_official_source,eql_last_checked,eql_changes_summary,eql_verification_notes,official_override_status,official_source_checked,eql_wiki_listing_status,eql_wiki_verification_state,current_build_confirmed,evidence_grade,evidence_strength,conflict_status,classic_original_launch,classic_historical_era,last_directly_observed,primary_evidence_layer,per_field_provenance_notes,schema_version,record_type,record_status,source_record_id,canonical_record_id,parent_record_id,related_record_ids,display_default,searchable,record_notes,faction_risk_level,faction_hits_known,faction_gains_known,city_access_risk,merchant_access_risk,quest_access_risk,initial_disposition,protected_npc_type,faction_behavior_notes,creature_family,creature_subfamily,normalized_source_name,source_name_aliases,shared_loot_family,family_faction,family_hostility,family_zone_scope,source_variant_notes,zone_type,zone_subarea,zone_wing,zone_floor,camp_or_room,location_coordinates,location_description,navigation_notes,escape_or_exit_risk,environmental_hazards,encounter_name,encounter_type,encounter_tier,encounter_group_size,encounter_raid_size,encounter_difficulty,encounter_trigger,encounter_scripted,encounter_phases,encounter_adds,encounter_failure_condition,encounter_reset_behavior,encounter_notes,placeholder_npc,placeholder_cycle,spawn_probability,spawn_count,spawn_window,respawn_variance,despawn_condition,spawn_dependencies,spawn_guaranteed,spawn_mechanics_notes,instance_status,instance_type,instance_name,instance_entry_method,instance_reuse_timer,loot_lockout_type,loot_lockout_duration,lockout_scope,lockout_applies_per_npc,lockout_applies_per_instance,lockout_bypass_conditions,instance_notes,loot_delivery_method,loot_container_name,loot_table_name,loot_table_tier,loot_pool_type,loot_roll_type,loot_quantity_min,loot_quantity_max,loot_slots_reported,loot_selection_behavior,shared_loot_notes,currency_drop,loot_delivery_notes,drop_rate_type,drop_rate_numerator,drop_rate_denominator,drop_rate_sample_size,drop_rate_pool_probability,drop_rate_item_probability,drop_rate_source,drop_rate_confidence,drop_rate_conditions,access_requirement,access_key_item,access_key_consumed,access_quest,minimum_recommended_level,minimum_group_size,minimum_raid_size,class_role_requirements,door_or_lock_requirement,levitation_required,underwater_required,resist_requirements,corpse_recovery_difficulty,bind_or_reentry_notes,access_notes,encounter_hp,encounter_ac,damage_per_hit_min,damage_per_hit_max,attacks_per_round,aoe_effects,single_target_effects,debuffs,summons_players,enrages,rampage,flurry,banishes,mem_blur,charm,fear,death_touch,resist_profile,immunity_profile,combat_mechanics_notes,raid_target,raid_classification,raid_progression_role,raid_prerequisite,contested_status,racing_or_engagement_rules,racing_line,open_world_competition,recommended_composition,raid_notes,quest_name,quest_step,quest_role,epic_class,progression_category,required_for_access,required_for_spawn,required_for_turn_in,reward_type,quest_dependency_notes,content_availability,availability_context,availability_start,availability_end,availability_condition,beta_availability_status,launch_availability_status,instance_availability_status,compatibility_action,compatibility_reason,custom_tags,alternate_names,content_group_id,data_extension_json
1,B22-SPL-001,22,Antonica,Splitpaw Lair,Cap of Mending,Armor,HEAD,Yes,No,Yes,Yes,,,1.0,SMALL,,,AC 3; HP +10; ENDURANCE +10; STR +5; CHA +5; SV POISON +3,,,,,a Nisch Mas Mender,,Gnoll Healer,Gnoll,,,,EQL revamp rare,Mana/Healer rare,,,,,,,,Attunable,EQL-exclusive,,Current post-revamp EQL Wiki-listed,,,,,,,,"Notable exact-source equipment, utility, quest, or progression relationship.",Zone-specific,Core,High,https://www.everquestlegends.com/patch-notes/eql-update-notes-7-14-2026,https://eqlwiki.com/Splitpaw_Lair,,Yes,1,,AC 3; HP +10; ENDURANCE +10; STR +5; CHA +5; SV POISON +3,BER BRD BST CLR DRU MNK PAL RNG ROG SHM SHD WAR,ALL,,,Current post-revamp EQL Wiki-listed,Add,Wiki,Wiki,Wiki,Changed,Changed,Changed,No identified change,Revamped / unresolved,EQL-exclusive,https://eqlwiki.com/Splitpaw_Lair,https://www.everquestlegends.com/patch-notes/eql-update-notes-7-14-2026,2026-07-28,EQL-exclusive item added in the July 2026 Splitpaw revamp.,,,Yes,Listed,Post-revamp Wiki evidence,No,B,Official EQL revamp context plus current post-revamp EQL Wiki item/source data.,None identified,No,,,Official EQL / current EQL Wiki,Revamp structure from official EQL notes; current item/source fields from post-revamp EQL Wiki; classic comparison from Project 1999 where applicable.,EQL-LOOT-1.0,loot,Active,,B22-SPL-001,,,Yes,Yes,,,Splitpaw Clan -30,Guards of Qeynos +10; Residents of Karanas +10,,,,Hostile,,,Gnoll,,a Nisch Mas Mender,,,Splitpaw Clan,Hostile,Splitpaw Lair,,Open-world indoor dungeon,,,,Mana/Healer rare,,,,,,a Nisch Mas Mender,Named / notable source,Band 2,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Major officially confirmed EQL revamp,,,,Confirmed,Unconfirmed,,,,,,B22-SPL,
2,B22-SPL-002,22,Antonica,Splitpaw Lair,Nisch Mas Ilkvel,Shield,SECONDARY,Yes,No,Yes,Yes,,,7.0,MEDIUM,,,AC 10; MANA +15; STA +6; WIS +6; SV DISEASE +12,,,,Focus: Mana Preservation II,a Nisch Mas Mender,,Gnoll Healer,Gnoll,,,,EQL revamp rare,Mana/Healer rare,,,,,,,,Attunable,EQL-exclusive,,Current post-revamp EQL Wiki-listed,,,,,,,,"Notable exact-source equipment, utility, quest, or progression relationship.",Zone-specific,Core,High,https://www.everquestlegends.com/patch-notes/eql-update-notes-7-14-2026,https://eqlwiki.com/Splitpaw_Lair,,Yes,1,,AC 10; MANA +15; STA +6; WIS +6; SV DISEASE +12,CLR DRU SHM,ALL,,,Current post-revamp EQL Wiki-listed,Add,Wiki,Wiki,Wiki,Changed,Changed,Changed,Changed,Revamped / unresolved,EQL-exclusive,https://eqlwiki.com/Splitpaw_Lair,https://www.everquestlegends.com/patch-notes/eql-update-notes-7-14-2026,2026-07-28,EQL-exclusive item added in the July 2026 Splitpaw revamp.,,,Yes,Listed,Post-revamp Wiki evidence,No,B,Official EQL revamp context plus current post-revamp EQL Wiki item/source data.,None identified,No,,,Official EQL / current EQL Wiki,Revamp structure from official EQL notes; current item/source fields from post-revamp EQL Wiki; classic comparison from Project 1999 where applicable.,EQL-LOOT-1.0,loot,Active,,B22-SPL-002,,,Yes,Yes,,,Splitpaw Clan -30,Guards of Qeynos +10; Residents of Karanas +10,,,,Hostile,,,Gnoll,,a Nisch Mas Mender,,,Splitpaw Clan,Hostile,Splitpaw Lair,,Open-world indoor dungeon,,,,Mana/Healer rare,,,,,,a Nisch Mas Mender,Named / notable source,Band 2,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Major officially confirmed EQL revamp,,,,Confirmed,Unconfirmed,,,,,,B22-SPL,
3,B22-SPL-003,22,Antonica,Splitpaw Lair,Apprentice Heretic's Ring,Jewelry,FINGER,Yes,No,Yes,Yes,,,0.1,TINY,,,AC 2; MANA +75; STA -10; SV MAGIC +10,,,,,Ishma Mas Apprentice,,Gnoll Caster,Gnoll,,,,EQL revamp rare,Apprentice rare,,,,,,,,Attunable,EQL-exclusive,,Current post-revamp EQL Wiki-listed,,,,,,,,"Notable exact-source equipment, utility, quest, or progression relationship.",Zone-specific,Core,High,https://www.everquestlegends.com/patch-notes/eql-update-notes-7-14-2026,https://eqlwiki.com/Splitpaw_Lair,,Yes,1,,AC 2; MANA +75; STA -10; SV MAGIC +10,NEC WIZ MAG ENC,ALL,,,Current post-revamp EQL Wiki-listed,Add,Wiki,Wiki,Wiki,Changed,Changed,Changed,No identified change,Revamped / unresolved,EQL-exclusive,https://eqlwiki.com/Splitpaw_Lair,https://www.everquestlegends.com/patch-notes/eql-update-notes-7-14-2026,2026-07-28,EQL-exclusive item added in the July 2026 Splitpaw revamp.,,,Yes,Listed,Post-revamp Wiki evidence,No,B,Official EQL revamp context plus current post-revamp EQL Wiki item/source data.,None identified,No,,,Official EQL / current EQL Wiki,Revamp structure from official EQL notes; current item/source fields from post-revamp EQL Wiki; classic comparison from Project 1999 where applicable.,EQL-LOOT-1.0,loot,Active,,B22-SPL-003,,,Yes,Yes,,,Splitpaw Clan -30,Guards of Qeynos +10; Residents of Karanas +10,,,,Hostile,,,Gnoll,,Ishma Mas Apprentice,,,Splitpaw Clan,Hostile,Splitpaw Lair,,Open-world indoor dungeon,,,,Apprentice rare,,,,,,Ishma Mas Apprentice,Named / notable source,Band 2,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Major officially confirmed EQL revamp,,,,Confirmed,Unconfirmed,,,,,,B22-SPL,
4,B22-SPL-004,22,Antonica,Splitpaw Lair,Ishva Mas Leggings,Armor,LEGS,Yes,No,Yes,Yes,,,0.7,SMALL,,,AC 5; INT +5; CHA +5; SV POISON +7; SV FIRE +7,,,,Focus: Reanimation Haste II,Ishva Mas Apprentice,,Gnoll Caster,Gnoll,,,,EQL revamp rare,Apprentice rare,,,,,,,,Attunable,EQL-exclusive,,Current post-revamp EQL Wiki-listed,,,,,,,,"Notable exact-source equipment, utility, quest, or progression relationship.",Zone-specific,Core,High,https://www.everquestlegends.com/patch-notes/eql-update-notes-7-14-2026,https://eqlwiki.com/Splitpaw_Lair,,Yes,1,,AC 5; INT +5; CHA +5; SV POISON +7; SV FIRE +7,NEC WIZ MAG ENC,ALL,,,Current post-revamp EQL Wiki-listed,Add,Wiki,Wiki,Wiki,Changed,Changed,Changed,Changed,Revamped / unresolved,EQL-exclusive,https://eqlwiki.com/Splitpaw_Lair,https://www.everquestlegends.com/patch-notes/eql-update-notes-7-14-2026,2026-07-28,EQL-exclusive item added in the July 2026 Splitpaw revamp.,,,Yes,Listed,Post-revamp Wiki evidence,No,B,Official EQL revamp context plus current post-revamp EQL Wiki item/source data.,None identified,No,,,Official EQL / current EQL Wiki,Revamp structure from official EQL notes; current item/source fields from post-revamp EQL Wiki; classic comparison from Project 1999 where applicable.,EQL-LOOT-1.0,loot,Active,,B22-SPL-004,,,Yes,Yes,,,Splitpaw Clan -30,Guards of Qeynos +10; Residents of Karanas +10,,,,Hostile,,,Gnoll,,Ishva Mas Apprentice,,,Splitpaw Clan,Hostile,Splitpaw Lair,,Open-world indoor dungeon,,,,Apprentice rare,,,,,,Ishva Mas Apprentice,Named / notable source,Band 2,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Major officially confirmed EQL revamp,,,,Confirmed,Unconfirmed,,,,,,B22-SPL,
5,B22-SPL-005,22,Antonica,Splitpaw Lair,Splitpaw Keepsake Ring,Jewelry,FINGER,Yes,No,Yes,Yes,Yes,,0.5,TINY,,,AC 2; HP +10; DEX +4,,,,,a Lteth Val Deviant,,Gnoll Rogue,Gnoll,,,,EQL revamp rare,Deviant rare,,,,,,,,,EQL-exclusive,,Current post-revamp EQL Wiki-listed,,,,,,,,"Notable exact-source equipment, utility, quest, or progression relationship.",Zone-specific,Core,High,https://www.everquestlegends.com/patch-notes/eql-update-notes-7-14-2026,https://eqlwiki.com/Splitpaw_Lair,,Yes,1,,AC 2; HP +10; DEX +4,ALL,ALL,,,Current post-revamp EQL Wiki-listed,Add,Wiki,Wiki,Wiki,Changed,Changed,Changed,No identified change,Revamped / unresolved,EQL-exclusive,https://eqlwiki.com/Splitpaw_Lair,https://www.everquestlegends.com/patch-notes/eql-update-notes-7-14-2026,2026-07-28,EQL-exclusive item added in the July 2026 Splitpaw revamp.,,,Yes,Listed,Post-revamp Wiki evidence,No,B,Official EQL revamp context plus current post-revamp EQL Wiki item/source data.,None identified,No,,,Official EQL / current EQL Wiki,Revamp structure from official EQL notes; current item/source fields from post-revamp EQL Wiki; classic comparison from Project 1999 where applicable.,EQL-LOOT-1.0,loot,Active,,B22-SPL-005,,,Yes,Yes,,,Splitpaw Clan -30,Guards of Qeynos +10; Residents of Karanas +10,,,,Hostile,,,Gnoll,,a Lteth Val Deviant,,,Splitpaw Clan,Hostile,Splitpaw Lair,,Open-world indoor dungeon,,,,Deviant rare,,,,,,a Lteth Val Deviant,Named / notable source,Band 3,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Major officially confirmed EQL revamp,,,,Confirmed,Unconfirmed,,,,,,B22-SPL,
6,B22-SPL-006,22,Antonica,Splitpaw Lair,Brutish Breastplate,Armor,CHEST,Yes,No,Yes,Yes,,,15.0,MEDIUM,,,AC 24; ENDURANCE +10; STA +7; SV POISON +11; SV DISEASE +11,,,,,a Tesch Val Brute,,Gnoll Warrior,Gnoll,,,,EQL revamp rare,Brute rare,,,,,,,,Attunable,EQL-exclusive,,Current post-revamp EQL Wiki-listed,,,,,,,,"Notable exact-source equipment, utility, quest, or progression relationship.",Zone-specific,Core,High,https://www.everquestlegends.com/patch-notes/eql-update-notes-7-14-2026,https://eqlwiki.com/Splitpaw_Lair,,Yes,1,,AC 24; ENDURANCE +10; STA +7; SV POISON +11; SV DISEASE +11,WAR PAL SHD,ALL,,,Current post-revamp EQL Wiki-listed,Add,Wiki,Wiki,Wiki,Changed,Changed,Changed,No identified change,Revamped / unresolved,EQL-exclusive,https://eqlwiki.com/Splitpaw_Lair,https://www.everquestlegends.com/patch-notes/eql-update-notes-7-14-2026,2026-07-28,EQL-exclusive item added in the July 2026 Splitpaw revamp.,,,Yes,Listed,Post-revamp Wiki evidence,No,B,Official EQL revamp context plus current post-revamp EQL Wiki item/source data.,None identified,No,,,Official EQL / current EQL Wiki,Revamp structure from official EQL notes; current item/source fields from post-revamp EQL Wiki; classic comparison from Project 1999 where applicable.,EQL-LOOT-1.0,loot,Active,,B22-SPL-006,,,Yes,Yes,,,Splitpaw Clan -30,Guards of Qeynos +10; Residents of Karanas +10,,,,Hostile,,,Gnoll,,a Tesch Val Brute,,,Splitpaw Clan,Hostile,Splitpaw Lair,,Open-world indoor dungeon,,,,Brute rare,,,,,,a Tesch Val Brute,Named / notable source,Band 4,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Major officially confirmed EQL revamp,,,,Confirmed,Unconfirmed,,,,,,B22-SPL,
7,B22-SPL-007,22,Antonica,Splitpaw Lair,TornEar Thumper,Weapon,PRIMARY,Yes,No,Yes,,,,9.1,MEDIUM,,,HP +21; ENDURANCE +21; STR +9; AGI -5,16,30,2H Blunt,Focus: Stun,a Tesch Val Brute,,Gnoll Warrior,Gnoll,,,,EQL revamp rare,Brute rare,,,,,,,,Attunable; Required level 30,EQL-exclusive,,Current post-revamp EQL Wiki-listed,,,Weapon ratio 0.533,,,,,"Notable exact-source equipment, utility, quest, or progression relationship.",Zone-specific,Core,High,https://www.everquestlegends.com/patch-notes/eql-update-notes-7-14-2026,https://eqlwiki.com/Splitpaw_Lair,,Yes,1,,HP +21; ENDURANCE +21; STR +9; AGI -5,WAR MNK BST BER,ALL,,,Current post-revamp EQL Wiki-listed,Add,Wiki,Wiki,Wiki,Changed,Changed,Changed,Changed,Revamped / unresolved,EQL-exclusive,https://eqlwiki.com/Splitpaw_Lair,https://www.everquestlegends.com/patch-notes/eql-update-notes-7-14-2026,2026-07-28,EQL-exclusive item added in the July 2026 Splitpaw revamp.,,,Yes,Listed,Post-revamp Wiki evidence,No,B,Official EQL revamp context plus current post-revamp EQL Wiki item/source data.,None identified,No,,,Official EQL / current EQL Wiki,Revamp structure from official EQL notes; current item/source fields from post-revamp EQL Wiki; classic comparison from Project 1999 where applicable.,EQL-LOOT-1.0,loot,Active,,B22-SPL-007,,,Yes,Yes,,,Splitpaw Clan -30,Guards of Qeynos +10; Residents of Karanas +10,,,,Hostile,,,Gnoll,,a Tesch Val Brute,,,Splitpaw Clan,Hostile,Splitpaw Lair,,Open-world indoor dungeon,,,,Brute rare,,,,,,a Tesch Val Brute,Named / notable source,Band 4,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Major officially confirmed EQL revamp,,,,Confirmed,Unconfirmed,,,,,,B22-SPL,
8,B22-SPL-008,22,Antonica,Splitpaw Lair,Ancient Earthen Vambraces,Armor,ARMS,Yes,No,Yes,Yes,,,5.2,SMALL,,,AC 10; DEX +7; SV POISON +5; SV DISEASE +5,,,,,Tesch Val Kadvem,,Gnoll Warrior,Gnoll,,,,EQL revamp rare,Kadvem room,,,,,,,,Attunable,EQL-exclusive,,Current post-revamp EQL Wiki-listed,,,,,,,,"Notable exact-source equipment, utility, quest, or progression relationship.",Zone-specific,Core,High,https://www.everquestlegends.com/patch-notes/eql-update-notes-7-14-2026,https://eqlwiki.com/Splitpaw_Lair,,Yes,1,,AC 10; DEX +7; SV POISON +5; SV DISEASE +5,WAR CLR PAL SHD,ALL,,,Current post-revamp EQL Wiki-listed,Add,Wiki,Wiki,Wiki,Changed,Changed,Changed,No identified change,Revamped / unresolved,EQL-exclusive,https://eqlwiki.com/Splitpaw_Lair,https://www.everquestlegends.com/patch-notes/eql-update-notes-7-14-2026,2026-07-28,EQL-exclusive item added in the July 2026 Splitpaw revamp.,,,Yes,Listed,Post-revamp Wiki evidence,No,B,Official EQL revamp context plus current post-revamp EQL Wiki item/source data.,None identified,No,,,Official EQL / current EQL Wiki,Revamp structure from official EQL notes; current item/source fields from post-revamp EQL Wiki; classic comparison from Project 1999 where applicable.,EQL-LOOT-1.0,loot,Active,,B22-SPL-008,,,Yes,Yes,,,Splitpaw Clan -30,Guards of Qeynos +10; Residents of Karanas +10,,,,Hostile,,,Gnoll,,Tesch Val Kadvem,,,Splitpaw Clan,Hostile,Splitpaw Lair,,Open-world indoor dungeon,,,,Kadvem room,,,,,,Tesch Val Kadvem,Named / notable source,Band 4,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Major officially confirmed EQL revamp,,,,Confirmed,Unconfirmed,,,,,,B22-SPL,
9,B22-SPL-009,22,Antonica,Splitpaw Lair,Looted Channeler's Gloves,Armor,HANDS,Yes,No,Yes,Yes,,,0.4,SMALL,,,AC 2; MANA +5; DEX +4; INT +2; SV DISEASE +5,,,,,Rosch Val L'Vlor,,Gnoll Magician,Gnoll,,,,EQL revamp rare,L'Vlor caster room,,,,,,,,Attunable,EQL-exclusive,,Current post-revamp EQL Wiki-listed,,,,,,,,"Notable exact-source equipment, utility, quest, or progression relationship.",Zone-specific,Core,High,https://www.everquestlegends.com/patch-notes/eql-update-notes-7-14-2026,https://eqlwiki.com/Splitpaw_Lair,,Yes,1,,AC 2; MANA +5; DEX +4; INT +2; SV DISEASE +5,NEC WIZ MAG ENC,ALL,,,Current post-revamp EQL Wiki-listed,Add,Wiki,Wiki,Wiki,Changed,Changed,Changed,No identified change,Revamped / unresolved,EQL-exclusive,https://eqlwiki.com/Splitpaw_Lair,https://www.everquestlegends.com/patch-notes/eql-update-notes-7-14-2026,2026-07-28,EQL-exclusive item added in the July 2026 Splitpaw revamp.,,,Yes,Listed,Post-revamp Wiki evidence,No,B,Official EQL revamp context plus current post-revamp EQL Wiki item/source data.,None identified,No,,,Official EQL / current EQL Wiki,Revamp structure from official EQL notes; current item/source fields from post-revamp EQL Wiki; classic comparison from Project 1999 where applicable.,EQL-LOOT-1.0,loot,Active,,B22-SPL-009,,,Yes,Yes,,,Splitpaw Clan -30,Guards of Qeynos +10; Residents of Karanas +10,,,,Hostile,,,Gnoll,,Rosch Val L'Vlor,,,Splitpaw Clan,Hostile,Splitpaw Lair,,Open-world indoor dungeon,,,,L'Vlor caster room,,,,,,Rosch Val L'Vlor,Named / notable source,Band 4,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Major officially confirmed EQL revamp,,,,Confirmed,Unconfirmed,,,,,,B22-SPL,
10,B22-SPL-010,22,Antonica,Splitpaw Lair,Sandals of the Ishva,Armor,FEET,Yes,No,Yes,Yes,,,1.0,SMALL,,,AC 2; MANA +10; DEX +5; INT +5,,,,,The Ishva Mal,,Gnoll Cleric,Gnoll,,,,EQL revamp rare,Inner Ishva complex,,,,,,,,Attunable,EQL-exclusive,,Current post-revamp EQL Wiki-listed,,,,,,,,"Notable exact-source equipment, utility, quest, or progression relationship.",Zone-specific,Core,High,https://www.everquestlegends.com/patch-notes/eql-update-notes-7-14-2026,https://eqlwiki.com/Splitpaw_Lair,,Yes,1,,AC 2; MANA +10; DEX +5; INT +5,NEC WIZ MAG ENC,ALL,,,Current post-revamp EQL Wiki-listed,Add,Wiki,Wiki,Wiki,Changed,Changed,Changed,No identified change,Revamped / unresolved,EQL-exclusive,https://eqlwiki.com/Splitpaw_Lair,https://www.everquestlegends.com/patch-notes/eql-update-notes-7-14-2026,2026-07-28,EQL-exclusive item added in the July 2026 Splitpaw revamp.,,,Yes,Listed,Post-revamp Wiki evidence,No,B,Official EQL revamp context plus current post-revamp EQL Wiki item/source data.,None identified,No,,,Official EQL / current EQL Wiki,Revamp structure from official EQL notes; current item/source fields from post-revamp EQL Wiki; classic comparison from Project 1999 where applicable.,EQL-LOOT-1.0,loot,Active,,B22-SPL-010,,,Yes,Yes,,,Splitpaw Clan -30,Guards of Qeynos +10; Residents of Karanas +10,,,,Hostile,,,Gnoll,,The Ishva Mal,,,Splitpaw Clan,Hostile,Splitpaw Lair,,Open-world indoor dungeon,,,,Inner Ishva complex,,,,,,The Ishva Mal,Named / notable source,Band 5,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Major officially confirmed EQL revamp,,,,Confirmed,Unconfirmed,,,,,,B22-SPL,
