record_id,batch,continent,zone,item_name,item_category,slot,equippable,inventory_only,magic,lore,no_drop,quest_item,weight,size,classes_classic,races_classic,stats_raw,damage,delay,weapon_skill,proc_click_focus,source_npc,source_npc_level,source_npc_class,source_npc_race_type,placeholder,placeholder_level_range,nearby_enemy_level_range,spawn_type,spawn_location,respawn_timer,time_condition,special_abilities,social_or_add_risk,faction_consequences,drop_frequency,drop_rate_reported,drop_notes,era_status,tlp_status,legends_status,best_for_classes,best_for_archetypes,general_value_notes,personal_build_notes,effect_transfer_value,target_priority_general,duplicate_item_group,inclusion_reason,source_scope,core_or_supplemental,data_confidence,source_primary,source_secondary,research_notes,approved,revision,stats_classic,stats_eql,classes_eql,races_eql,source_npc_level_classic,source_npc_level_eql,eql_verification_status,eql_audit_action,eql_npc_confirmed,eql_item_confirmed,eql_drop_source_confirmed,eql_stats_match,eql_classes_match,eql_races_match,eql_effect_match,eql_spawn_match,eql_era_status,eql_wiki_source,eql_official_source,eql_last_checked,eql_changes_summary,eql_verification_notes,official_override_status,official_source_checked,eql_wiki_listing_status,eql_wiki_verification_state,current_build_confirmed,evidence_grade,evidence_strength,conflict_status,classic_original_launch,classic_historical_era,last_directly_observed,primary_evidence_layer,per_field_provenance_notes
B06-WKA-001,6,Antonica,Western Karana,Batfang Headband,Armor / focus item,Head,Yes,No,Yes,,,,,,,,AC 2; WIS +3; INT +3,,,,Focus: Extended Enhancement II,"an ogre priestess, an ogre shaman, or Chief Goonda",20-27; Chief Goonda ~34,,Ogre,,,,Ogre camp,,,,,,,,,,,,,,Buff-duration focus,,,High,High,,EQL focus armor,Outdoor camp drop,Core,High,https://eqlwiki.com/Western_Karana,,,Yes,4,AC 2; WIS +3; INT +3,AC 2; WIS +3; INT +3,,,20-27; Chief Goonda ~34,20-27; Chief Goonda ~34,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Western_Karana,,2026-07-22,,,No applicable official statement found,Yes,Direct zone/NPC/item or quest linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B06-WKA-002,6,Antonica,Western Karana,Batskull Earring,Jewelry / focus item,Ear,Yes,No,Yes,,,,,,,,INT +5,,,,Focus: Reagent Conservation I,"an ogre priestess, an ogre shaman, or Chief Goonda",20-27; Chief Goonda ~34,,Ogre,,,,Ogre camp,,,,,,,,,,,,,,,,,High,High,,Caster earring with EQL focus,Outdoor camp drop,Core,High,https://eqlwiki.com/Western_Karana,,,Yes,4,INT +5,INT +5,,,20-27; Chief Goonda ~34,20-27; Chief Goonda ~34,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Western_Karana,,2026-07-22,,,No applicable official statement found,Yes,Direct zone/NPC/item or quest linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B06-WKA-003,6,Antonica,Western Karana,Bone Armplates,Armor,Arms,Yes,No,Yes,,,,,,,,AC 5; STR +5; DEX -4,,,,,an ogre shaman or Chief Goonda,20-27 or ~34,,Ogre,,,,Ogre camp,,,,,,,,,,,,,,,,,,Medium,,Named camp armor,Outdoor camp drop,Core,High,https://eqlwiki.com/Western_Karana,,,Yes,4,AC 5; STR +5; DEX -4,AC 5; STR +5; DEX -4,,,20-27 or ~34,20-27 or ~34,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Western_Karana,,2026-07-22,,,No applicable official statement found,Yes,Direct zone/NPC/item or quest linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B06-WKA-004,6,Antonica,Western Karana,Bone Legplates,Armor,Legs,Yes,No,Yes,,,,,,,,AC 6; STA +5; AGI -4,,,,,"an ogre priestess, an ogre shaman, or Chief Goonda",20-27; Chief Goonda ~34,,Ogre,,,,Ogre camp,,,,,,,,,,,,,,,,,,Medium,,Named camp armor,Outdoor camp drop,Core,High,https://eqlwiki.com/Western_Karana,,,Yes,4,AC 6; STA +5; AGI -4,AC 6; STA +5; AGI -4,,,20-27; Chief Goonda ~34,20-27; Chief Goonda ~34,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Western_Karana,,2026-07-22,,,No applicable official statement found,Yes,Direct zone/NPC/item or quest linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B06-WKA-005,6,Antonica,Western Karana,Chipped Bone Bracelet,Armor / focus item,Wrist,Yes,No,Yes,,,,,,,,AC 4; WIS +5,,,,Focus: Affliction Efficiency II,"an ogre priestess, an ogre shaman, or Chief Goonda",20-27; Chief Goonda ~34,,Ogre,,,,Ogre camp,,,,,,,,,,,,,,,,,Very High,Very High,,Strong EQL DoT-efficiency focus,Outdoor camp drop,Core,High,https://eqlwiki.com/Western_Karana,,,Yes,4,AC 4; WIS +5,AC 4; WIS +5,,,20-27; Chief Goonda ~34,20-27; Chief Goonda ~34,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Western_Karana,,2026-07-22,,,No applicable official statement found,Yes,Direct zone/NPC/item or quest linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B06-WKA-006,6,Antonica,Western Karana,Chipped Bone Collar,Jewelry,Neck,Yes,No,Yes,,,,,,,,AC 4; HP +10; Mana +10,,,,,an ogre shaman or Chief Goonda,20-27 or ~34,,Ogre,,,,Ogre camp,,,,,,,,,,,,,,,,,,High,,Broad-use HP/mana neck,Outdoor camp drop,Core,High,https://eqlwiki.com/Western_Karana,,,Yes,4,AC 4; HP +10; Mana +10,AC 4; HP +10; Mana +10,,,20-27 or ~34,20-27 or ~34,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Western_Karana,,2026-07-22,,,No applicable official statement found,Yes,Direct zone/NPC/item or quest linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B06-WKA-007,6,Antonica,Western Karana,Giant Snakespine Belt,Armor,Waist,Yes,No,Yes,,,,,,,,AC 4; AGI +5; PR +5,,,,,an ogre priestess or an ogre shaman,20-27,,Ogre,,,,Ogre camp,,,,,,,,,,,,,,,,,,High,,Notable stat/resist belt,Outdoor camp drop,Core,High,https://eqlwiki.com/Western_Karana,,,Yes,4,AC 4; AGI +5; PR +5,AC 4; AGI +5; PR +5,,,20-27,20-27,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Western_Karana,,2026-07-22,,,No applicable official statement found,Yes,Direct zone/NPC/item or quest linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B06-WKA-008,6,Antonica,Western Karana,Glowing Bone Collar,Jewelry / focus item,Neck,Yes,No,Yes,,,,,,,,AC 5; HP +25; Mana +25,,,,Focus: Extended Range I,"an ogre priestess, an ogre shaman, or Chief Goonda",20-27; Chief Goonda ~34,,Ogre,,,,Ogre camp,,,,,,,,,,,,,,,,,Very High,Very High,,High-value universal focus neck,Outdoor camp drop,Core,High,https://eqlwiki.com/Western_Karana,,,Yes,4,AC 5; HP +25; Mana +25,AC 5; HP +25; Mana +25,,,20-27; Chief Goonda ~34,20-27; Chief Goonda ~34,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Western_Karana,,2026-07-22,,,No applicable official statement found,Yes,Direct zone/NPC/item or quest linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B06-WKA-009,6,Antonica,Western Karana,Rat Shaped Ring,Jewelry,Finger,Yes,No,Yes,,,,,,,,DR +10; PR +10,,,,,Ogre-camp source unresolved,Unverified,,,,,,Ogre camp,,,,,,,,,,,,,,,,,,High,,Notable dual-resist ring,Source requires verification,Core,Medium,https://eqlwiki.com/Western_Karana,,,Yes,4,DR +10; PR +10,DR +10; PR +10,,,Unverified,Unverified,EQL Wiki Listed — Exact source unverified,Add,Yes,Yes,No,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Western_Karana,,2026-07-22,,,No applicable official statement found,Yes,Direct zone/NPC/item or quest linkage where documented,Verification state unclear,No public direct evidence found,D,Item listed; exact ogre-camp source unresolved,Exact source unresolved,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B06-WKA-010,6,Antonica,Western Karana,Sheer Bone Mask,Armor,Face,Yes,No,Yes,,,,,,,,AC 3; INT +3,,,,,Ogre-camp source unresolved,Unverified,,,,,,Ogre camp,,,,,,,,,,,,,,,,,,Medium,,Universal INT face item,Source requires verification,Core,Medium,https://eqlwiki.com/Western_Karana,,,Yes,4,AC 3; INT +3,AC 3; INT +3,All,All,Unverified,Unverified,EQL Wiki Listed — Exact source unverified,Add,Yes,Yes,No,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Western_Karana,,2026-07-22,,,No applicable official statement found,Yes,Direct zone/NPC/item or quest linkage where documented,Verification state unclear,No public direct evidence found,D,Item listed; exact ogre-camp source unresolved,Exact source unresolved,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
