record_id,batch,continent,zone,item_name,item_category,slot,equippable,inventory_only,magic,lore,no_drop,quest_item,weight,size,classes_classic,races_classic,stats_raw,damage,delay,weapon_skill,proc_click_focus,source_npc,source_npc_level,source_npc_class,source_npc_race_type,placeholder,placeholder_level_range,nearby_enemy_level_range,spawn_type,spawn_location,respawn_timer,time_condition,special_abilities,social_or_add_risk,faction_consequences,drop_frequency,drop_rate_reported,drop_notes,era_status,tlp_status,legends_status,best_for_classes,best_for_archetypes,general_value_notes,personal_build_notes,effect_transfer_value,target_priority_general,duplicate_item_group,inclusion_reason,source_scope,core_or_supplemental,data_confidence,source_primary,source_secondary,research_notes,approved,revision,stats_classic,stats_eql,classes_eql,races_eql,source_npc_level_classic,source_npc_level_eql,eql_verification_status,eql_audit_action,eql_npc_confirmed,eql_item_confirmed,eql_drop_source_confirmed,eql_stats_match,eql_classes_match,eql_races_match,eql_effect_match,eql_spawn_match,eql_era_status,eql_wiki_source,eql_official_source,eql_last_checked,eql_changes_summary,eql_verification_notes,official_override_status,official_source_checked,eql_wiki_listing_status,eql_wiki_verification_state,current_build_confirmed,evidence_grade,evidence_strength,conflict_status,classic_original_launch,classic_historical_era,last_directly_observed,primary_evidence_layer,per_field_provenance_notes
B05-SKA-001,5,Antonica,South Karana,Pegasus Feather Cloak,Armor / click item,Shoulders,Yes,No,Yes,,Yes,Yes,5.0,,All,All,AC 6; DEX +7,,,,Click: Levitate; usable from inventory,Quillmane,30,Warrior,Pegasus,Many possible zonewide placeholders,Varies by placeholder,Approximately 1-40 across zone,Special zonewide rare cycle,,Approximately 78-second cycle,,Flying; fast roaming path,,,Rare,Community estimate about 12%,Magician epic component,Classic,Likely,Candidate,All,Mobility; exploration; click utility,Iconic universal levitation click item,Excellent for all three proposed classes,Very High,Very High,Pegasus Feather Cloak,Universal click utility and iconic rare outdoor target,Named outdoor drop,Core,High item / Medium spawn-rate,https://wiki.project1999.com/Quillmane,,,Yes,4,AC 6; DEX +7,AC 6; DEX +7,All,All,30,30,EQL Wiki Linked — Verification State Unclear,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Southern_Karana,,2026-07-22,,,No applicable official statement found,Yes,Direct zone/NPC/item linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; Project 1999 retained as classic baseline,None identified,Unverified,Classic,,EQL Wiki,Official EQL sources checked with no item-specific override found; EQL Wiki used for current working data; Project 1999 retained as classic baseline.
B05-SKA-002,5,Antonica,South Karana,Feathered Leggings,Armor,Legs,Yes,No,Yes,,,,2.0,,All,All,AC 4; STA +7,,,,,Quillmane,30,Warrior,Pegasus,Many possible zonewide placeholders,,,Special zonewide rare cycle,,Approximately 78-second cycle,,,,,Common relative to cloak,Community estimate about 88%,,Classic,Likely,Candidate,All,Universal survivability armor,Strong universal stamina legs,Useful for Monk and generally good for all,None known,High,Feathered Leggings,Strong universal stats from iconic outdoor named,Named outdoor drop,Core,High item / Medium rate,https://wiki.project1999.com/Quillmane,,,Yes,4,AC 4; STA +7,AC 4; STA +7,All,All,30,30,EQL Wiki Linked — Verification State Unclear,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Southern_Karana,,2026-07-22,,,No applicable official statement found,Yes,Direct zone/NPC/item linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; Project 1999 retained as classic baseline,None identified,Unverified,Classic,,EQL Wiki,Official EQL sources checked with no item-specific override found; EQL Wiki used for current working data; Project 1999 retained as classic baseline.
B05-SKA-003,5,Antonica,South Karana,Aviak Charm,Jewelry,Neck,Yes,No,Yes,Yes,Yes,,0.1,,All,All,DEX +2; WIS +1; PR +2,,,,,aviak avocet,19-23,Warrior-type,Aviak,,,Aviaks approximately 5-30,Common outdoor creature drop,,,,,,,Uncommon,,,Classic,Likely,Candidate,All,Starter jewelry; lightweight gear,Excellent lightweight universal starter neck,Useful for Monk and Druid,None,High,Aviak Charm,Universal low-weight multi-stat jewelry,Common outdoor creature drop,Core,High,https://wiki.project1999.com/Southern_Karana,,,Yes,4,DEX +2; WIS +1; PR +2,DEX +2; WIS +1; PR +2,All,All,19-23,19-23,EQL Wiki Linked — Verification State Unclear,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Southern_Karana,,2026-07-22,,,No applicable official statement found,Yes,Direct zone/NPC/item linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; Project 1999 retained as classic baseline,None identified,Unverified,Classic,,EQL Wiki,Official EQL sources checked with no item-specific override found; EQL Wiki used for current working data; Project 1999 retained as classic baseline.
B05-SKA-004,5,Antonica,South Karana,Electrum Bracelet,Jewelry,Wrist,Yes,No,Yes,,,,0.4,,All,All,AC 4; DEX +3; AGI +3,,,,,Knari Morawk,17,Warrior,Aviak,an aviak avocet,Approximately 19-23,,Roaming named replacement,,,,,,,Unknown,Named chance around 17% at one location,,Classic,Likely,Candidate,All,Melee stats; avoidance,Strong universal melee-stat wrist,Excellent Monk-side item,None,High,Electrum Bracelet,Universal DEX/AGI jewelry from named aviak,Named outdoor drop,Core,High,https://wiki.project1999.com/Southern_Karana,,,Yes,4,AC 4; DEX +3; AGI +3,AC 4; DEX +3; AGI +3,All,All,17,17,EQL Wiki Linked — Verification State Unclear,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Southern_Karana,,2026-07-22,,,No applicable official statement found,Yes,Direct zone/NPC/item linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; Project 1999 retained as classic baseline,None identified,Unverified,Classic,,EQL Wiki,Official EQL sources checked with no item-specific override found; EQL Wiki used for current working data; Project 1999 retained as classic baseline.
B05-SKA-005,5,Antonica,South Karana,Aviak Feathers,Quest / crafting item,Inventory,No,Yes,,,,,1.0,,All,All,,,,,,Knari Morawk,17,Warrior,Aviak,an aviak avocet,,,Roaming named replacement,,,,,,,Unknown,,,Classic,Likely,Unknown,Quest and tradeskill users,Questing; crafting,Distinctive named aviak material,No direct equipment value,None,Low,Aviak Feathers,Named-only material and source completeness,Named outdoor drop,Core,Medium-High,https://wiki.project1999.com/Southern_Karana,,,Yes,4,,,All,All,17,17,EQL Wiki Linked — Verification State Unclear,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Southern_Karana,,2026-07-22,,,No applicable official statement found,Yes,Direct zone/NPC/item linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; Project 1999 retained as classic baseline,None identified,Unverified,Classic,,EQL Wiki,Official EQL sources checked with no item-specific override found; EQL Wiki used for current working data; Project 1999 retained as classic baseline.
B05-SKA-006,5,Antonica,South Karana,Runed Oak Bow,Weapon,Range,Yes,No,Yes,,,,4.5,,"WAR, PAL, RNG, SHD, ROG",,21 damage / 43 delay; Range 125,21,43,Archery,,Kroldir Thunderhoof or Coloth Meadowgreen,20 or 34-35,Warrior,Centaur,centaur foal or centaur archer for Kroldir,Approximately 8-18,,Named centaur placeholder cycle / roaming named,,About 6 minutes for Kroldir cycle,,,,,Unknown,,,Classic,Likely,Candidate,"Warrior, Paladin, Ranger, Shadow Knight, Rogue",Archery; ranged pulling,Excellent outdoor bow with strong damage and range,No direct classic use,None known,Very High,Runed Oak Bow,Top-tier outdoor ranged weapon,Named outdoor drop,Core,High,https://wiki.project1999.com/Southern_Karana,,,Yes,4,21 damage / 43 delay; Range 125,21 damage / 43 delay; Range 125,"WAR, PAL, RNG, SHD, ROG",,20 or 34-35,20 or 34-35,EQL Wiki Linked — Verification State Unclear,Correct,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Southern_Karana,,2026-07-22,Confirmed Kroldir level 20 and Coloth level 34-35.,,No applicable official statement found,Yes,Direct zone/NPC/item linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; Project 1999 retained as classic baseline,None identified,Unverified,Classic,,EQL Wiki,Official EQL sources checked with no item-specific override found; EQL Wiki used for current working data; Project 1999 retained as classic baseline.
B05-SKA-007,5,Antonica,South Karana,Thunderhoof Quiver,Container,Inventory,No,Yes,,,,,0.4,4 medium slots; 33% weight reduction,All,All,4 slots; 33% weight reduction,,,,,Kroldir Thunderhoof,20,Warrior,Centaur,centaur foal or centaur archer,Approximately 8-18,,Named centaur placeholder cycle,,About 6 minutes,,,,,Unknown,,,Classic,Likely,Candidate,Archery users,Ammunition storage; weight reduction,Useful lightweight archery container,Low direct relevance,None,High for archery users,Thunderhoof Quiver,Notable outdoor weight-reduction container,Named outdoor drop,Core,High,https://wiki.project1999.com/Southern_Karana,,,Yes,4,4 slots; 33% weight reduction,4 slots; 33% weight reduction,All,All,20,20,EQL Wiki Linked — Verification State Unclear,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Southern_Karana,,2026-07-22,,,No applicable official statement found,Yes,Direct zone/NPC/item linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; Project 1999 retained as classic baseline,None identified,Unverified,Classic,,EQL Wiki,Official EQL sources checked with no item-specific override found; EQL Wiki used for current working data; Project 1999 retained as classic baseline.
B05-SKA-008,5,Antonica,South Karana,Charger Hoof Chips,Quest item,Inventory,No,Yes,Yes,Yes,Yes,Yes,3.5,,All,All,,,,,,centaur charger,29-30,Warrior,Centaur,,,,Common outdoor creature drop,,,,,,,Unknown,,,Classic,Likely,Unknown,Quest users,Quest progression,Centaur-family quest component,No direct equipment value,None,Low-Medium,Charger Hoof Chips,Distinctive creature-family quest item,Common outdoor creature drop,Core,High,https://wiki.project1999.com/Southern_Karana,,,Yes,4,,,All,All,22-24,29-30,EQL Wiki Linked — Verification State Unclear,Correct,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Southern_Karana,,2026-07-22,Updated centaur charger EQL level range to 29-30.,,No applicable official statement found,Yes,Direct zone/NPC/item linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; Project 1999 retained as classic baseline,None identified,Unverified,Classic,,EQL Wiki,Official EQL sources checked with no item-specific override found; EQL Wiki used for current working data; Project 1999 retained as classic baseline.
B05-SKA-009,5,Antonica,South Karana,Fractured Centaur Hoof,Quest item,Inventory,No,Yes,,Yes,Yes,Yes,0.0,,None usable,None usable,,,,,,Various centaur-related sources,Varies; exact source mapping unverified,,Centaur,,,,Multiple outdoor centaur sources,,,,,,,Unknown,,,Classic,Likely,Unknown,Quest users,Quest progression,Zero-weight class-quest component,No direct equipment value,None,Low-Medium,Fractured Centaur Hoof,Unique zero-weight quest component,Multiple outdoor sources,Core,Medium,https://wiki.project1999.com/Southern_Karana,,Exact source list should be normalized later,Yes,4,,,None usable,None usable,Varies; exact source mapping unverified,Varies; exact source mapping unresolved,EQL Wiki Linked — Verification State Unclear,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Southern_Karana,,2026-07-22,,,No applicable official statement found,Yes,Direct zone/NPC/item linkage where documented,Verification state unclear,No public direct evidence found,D,Zone-listed item with source shown only as Various,Exact source normalization unresolved,Unverified,Classic,,EQL Wiki,Official EQL sources checked with no item-specific override found; EQL Wiki used for current working data; Project 1999 retained as classic baseline.
B05-SKA-010,5,Antonica,South Karana,Great Staff,Weapon / economic drop,Primary,Yes,No,,,,,10.0,,"All except BRD, ROG",,9 damage / 38 delay,9,38,2HB,,a treant,23-27,Druid,Treant,,,,Paired static treant camp,,Approximately 4 minutes,,Druid spells; sees invisibility,Treants are social,,Common,,,Classic,Likely,Candidate,Broad non-Bard/Rogue classes,2HB; vendor value,Broad-use outdoor 2HB and notable economic drop,Usable but heavy,None,Medium,Great Staff,Notable reusable equipment and economic value,Common outdoor camp drop,Core,High,https://wiki.project1999.com/A_Treant,,,Yes,4,9 damage / 38 delay,9 damage / 38 delay,"All except BRD, ROG",,23-27,23-27,EQL Wiki Linked — Verification State Unclear,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Southern_Karana,,2026-07-22,,,No applicable official statement found,Yes,Direct zone/NPC/item linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; Project 1999 retained as classic baseline,None identified,Unverified,Classic,,EQL Wiki,Official EQL sources checked with no item-specific override found; EQL Wiki used for current working data; Project 1999 retained as classic baseline.
