record_id,batch,continent,zone,item_name,item_category,slot,equippable,inventory_only,magic,lore,no_drop,quest_item,weight,size,classes_classic,races_classic,stats_raw,damage,delay,weapon_skill,proc_click_focus,source_npc,source_npc_level,source_npc_class,source_npc_race_type,placeholder,placeholder_level_range,nearby_enemy_level_range,spawn_type,spawn_location,respawn_timer,time_condition,special_abilities,social_or_add_risk,faction_consequences,drop_frequency,drop_rate_reported,drop_notes,era_status,tlp_status,legends_status,best_for_classes,best_for_archetypes,general_value_notes,personal_build_notes,effect_transfer_value,target_priority_general,duplicate_item_group,inclusion_reason,source_scope,core_or_supplemental,data_confidence,source_primary,source_secondary,research_notes,approved,revision,stats_classic,stats_eql,classes_eql,races_eql,source_npc_level_classic,source_npc_level_eql,eql_verification_status,eql_audit_action,eql_npc_confirmed,eql_item_confirmed,eql_drop_source_confirmed,eql_stats_match,eql_classes_match,eql_races_match,eql_effect_match,eql_spawn_match,eql_era_status,eql_wiki_source,eql_official_source,eql_last_checked,eql_changes_summary,eql_verification_notes,official_override_status,official_source_checked,eql_wiki_listing_status,eql_wiki_verification_state,current_build_confirmed,evidence_grade,evidence_strength,conflict_status,classic_original_launch,classic_historical_era,last_directly_observed,primary_evidence_layer,per_field_provenance_notes,source_record_id,faction_risk_level,faction_hits_known,faction_gains_known,city_access_risk,merchant_access_risk,quest_access_risk,initial_disposition,protected_npc_type,faction_behavior_notes
B12-COR-001,12,,The Feerrott,A Crude Stein,,,,,,,,,,,,,STA +10; CHA +15,,,,1 instant charge: Minor Healing,Bouncer Hurd,,,,,,,Oggok faction patrol,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,B02-FER-001,Critical,,,Yes,Yes,Yes,,City guard / bouncer,
B12-COR-002,12,,East Commonlands,Bloodstone,,,,,,,,,,,,,,,,,,Sergeant Slate,,,,,,,Roaming Freeport faction guard,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,B03-ECL-004,Critical,,,Yes,Potential,Yes,,City-aligned guard,
B12-COR-003,12,,Northern Karana,Cracked Corrupt Guard Helm,,,,,,,,,,,,,,,,,,Guard Shilster,,,,,,,Corrupt Qeynos faction guard,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,B06-NKA-013,Conditional,,,Conditional,Potential,Yes,,Corrupt guard / quest target,
B12-COR-004,12,,Butcherblock Mountains,Bloodforge Hammer,,,,,,,,,,,,,13 damage / 50 delay; MR +10,,,,,Nyzil Bloodforge,,,,,,,Kaladim-aligned faction NPC,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,B08-BBM-002,Critical,,,Yes,Potential,Yes,,Dwarf citizen / warrior,
B12-COR-005,12,,Butcherblock Mountains,Dwarven Blood,,,,,,,,,,,,,,,,,,Nyzil Bloodforge,,,,,,,Kaladim-aligned faction NPC,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,B08-BBM-003,Critical,,,Yes,Potential,Yes,,Dwarf citizen / warrior,
B12-COR-006,12,,Highpass Hold,Highpass Guard Equipment Record,,,,,,,,,,,,,,,,,,Highpass guard population,,,,,,,Protected settlement guards,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,B11-HPH-009,Critical,,,Yes,Yes,Yes,,Settlement guard,
B12-COR-007,12,,Highpass Hold,Merchant/Noble Named Loot Group,,,,,,,,,,,,,,,,,,Settlement merchants or nobles,,,,,,,Protected merchant/noble NPCs,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,B11-HPH-010,Critical,,,Yes,Yes,Yes,,Merchant or settlement noble,
B12-COR-008,12,,Highpass Hold,Highpass Quest Reward Group,,,,,,,,,,,,,,,,,,Zone-started quests,,,,,,,Quest reward group,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,B11-HPH-013,Conditional,,,Potential,Potential,Yes,,Quest NPC population,
B12-COR-009,12,,Surefall Glade,Poacher's Head,,,,,,,,,,,,,,,,,,a poacher or Poacher,,,,,,,Hostile poacher source,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,B11-SFG-007,Minor,,,No,No,Conditional,,Hostile poacher,
B12-COR-010,12,,Surefall Glade,Human Blood,,,,,,,,,,,,,,,,,,Merdan Fleetfoot or Niera Farbreeze,,,,,,,Protected faction NPC,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,B11-SFG-012,Critical,,,Yes,Potential,Yes,,Protected Ranger/Druid faction NPC,
