record_id,batch,continent,zone,item_name,item_category,slot,equippable,inventory_only,magic,lore,no_drop,quest_item,weight,size,classes_classic,races_classic,stats_raw,damage,delay,weapon_skill,proc_click_focus,source_npc,source_npc_level,source_npc_class,source_npc_race_type,placeholder,placeholder_level_range,nearby_enemy_level_range,spawn_type,spawn_location,respawn_timer,time_condition,special_abilities,social_or_add_risk,faction_consequences,drop_frequency,drop_rate_reported,drop_notes,era_status,tlp_status,legends_status,best_for_classes,best_for_archetypes,general_value_notes,personal_build_notes,effect_transfer_value,target_priority_general,duplicate_item_group,inclusion_reason,source_scope,core_or_supplemental,data_confidence,source_primary,source_secondary,research_notes,approved,revision,stats_classic,stats_eql,classes_eql,races_eql,source_npc_level_classic,source_npc_level_eql,eql_verification_status,eql_audit_action,eql_npc_confirmed,eql_item_confirmed,eql_drop_source_confirmed,eql_stats_match,eql_classes_match,eql_races_match,eql_effect_match,eql_spawn_match,eql_era_status,eql_wiki_source,eql_official_source,eql_last_checked,eql_changes_summary,eql_verification_notes,official_override_status,official_source_checked,eql_wiki_listing_status,eql_wiki_verification_state,current_build_confirmed,evidence_grade,evidence_strength,conflict_status,classic_original_launch,classic_historical_era,last_directly_observed,primary_evidence_layer,per_field_provenance_notes
B08-GFY-001,8,Faydwer,Greater Faydark,Orcish Arsons Torch,Weapon / utility item,Primary,Yes,No,Yes,,,,,,,,,,,,,an orc arsonist,12,,Orc,,,,Later-era outdoor orc population,,,,,,,,,,,,,,,,,,Medium,Orcish Arsons Torch,Unique zone item with later-era provenance,Outdoor creature drop,Core,Medium-High,https://eqlwiki.com/Greater_Faydark,,,Yes,4,,,,,12,12,EQL Wiki Linked — Later-era population; current availability unverified,Quarantine,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,Later-era content; current EQL availability unverified,https://eqlwiki.com/Greater_Faydark,,2026-07-22,,,No applicable official item-specific statement found,Yes,Direct zone/NPC/item or quest linkage where documented,Verification state unclear,No public direct observation found,D,EQL Wiki links item to July 2002 population,None identified,No,July 2002 Greater Faydark update,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B08-GFY-002,8,Faydwer,Greater Faydark,Trueshot Longbow,Quest reward weapon,Range,Yes,No,Yes,Yes,,,,,,,20 damage / 45 delay; range 100,20,45,Archery,,Trueshot Longbow quest,Quest reward,,,,,,Greater Faydark-started quest reward,,,,,,,,,,,,,Ranger,,,,,Very High,Trueshot Longbow,Iconic Ranger quest bow,Quest reward,Core,High,https://eqlwiki.com/Greater_Faydark,,,Yes,4,20 damage / 45 delay; range 100,20 damage / 45 delay; range 100,Ranger,,Quest reward,Quest reward,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Greater_Faydark,,2026-07-22,,,No applicable official item-specific statement found,Yes,Direct zone/NPC/item or quest linkage where documented,Verification state unclear,No public direct observation found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B08-GFY-003,8,Faydwer,Greater Faydark,Rain Caller,Quest reward weapon / click item,Range,Yes,No,Yes,Yes,,,,,,,20 damage / 45 delay; STR +6; DEX +6; range 200,20,45,Archery,5 charges: Firestrike,Rain Caller quest,Quest reward,,,,,,Quest reward,,,,,,,,,,,,,Ranger,,,,Very High,Very High,Rain Caller,High-value Ranger bow with click charges,Quest reward,Core,High,https://eqlwiki.com/Greater_Faydark,,,Yes,4,20 damage / 45 delay; STR +6; DEX +6; range 200,20 damage / 45 delay; STR +6; DEX +6; range 200,Ranger,,Quest reward,Quest reward,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Greater_Faydark,,2026-07-22,,,No applicable official item-specific statement found,Yes,Direct zone/NPC/item or quest linkage where documented,Verification state unclear,No public direct observation found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B08-GFY-004,8,Faydwer,Greater Faydark,Mane Attraction,Quest reward armor / focus item,Head,Yes,No,Yes,,,,,,,,AC 4; CHA +10,,,,Focus: Mana Preservation II,Rain Caller quest,Quest reward,,,,,,Quest reward,,,,,,,,,,,,,,,,,Very High,Very High,Mane Attraction,Universal EQL mana-preservation focus item,Quest reward,Core,High,https://eqlwiki.com/Greater_Faydark,,,Yes,4,AC 4; CHA +10,AC 4; CHA +10,All,All,Quest reward,Quest reward,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Greater_Faydark,,2026-07-22,,,No applicable official item-specific statement found,Yes,Direct zone/NPC/item or quest linkage where documented,Verification state unclear,No public direct observation found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B08-GFY-005,8,Faydwer,Greater Faydark,Scouts Blade,Quest reward weapon,Primary / Secondary,Yes,No,Yes,,,,,,,,5 damage / 24 delay; STR +2; INT +2,5,24,Piercing,,Scout Blade quest,Quest reward,,,,,,Quest reward,,,,,,,,,,,,,Rogue,,,,,High,Scouts Blade,Distinct Rogue quest weapon,Quest reward,Core,High,https://eqlwiki.com/Greater_Faydark,,,Yes,4,5 damage / 24 delay; STR +2; INT +2,5 damage / 24 delay; STR +2; INT +2,Rogue,,Quest reward,Quest reward,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Greater_Faydark,,2026-07-22,,,No applicable official item-specific statement found,Yes,Direct zone/NPC/item or quest linkage where documented,Verification state unclear,No public direct observation found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B08-GFY-006,8,Faydwer,Greater Faydark,Scouts Cape,Quest reward armor,Back,Yes,No,Yes,,,,,,,,AC 5; DEX +2,,,,,Scouts Cape quest,Quest reward,,,,,,Quest reward,,,,,,,,,,,,,Rogue,,,,,High,Scouts Cape,Distinct Rogue quest armor,Quest reward,Core,High,https://eqlwiki.com/Greater_Faydark,,,Yes,4,AC 5; DEX +2,AC 5; DEX +2,Rogue,,Quest reward,Quest reward,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Greater_Faydark,,2026-07-22,,,No applicable official item-specific statement found,Yes,Direct zone/NPC/item or quest linkage where documented,Verification state unclear,No public direct observation found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B08-GFY-007,8,Faydwer,Greater Faydark,Silvermesh Leggings,Quest reward armor,Legs,Yes,No,Yes,,,,,,,,AC 7; AGI +3; MR +5,,,,,Scouts Leggings quest,Quest reward,,,,,,Quest reward,,,,,,,,,,,,,Rogue,,,,,High,Silvermesh Leggings,Distinct Rogue quest armor,Quest reward,Core,High,https://eqlwiki.com/Greater_Faydark,,,Yes,4,AC 7; AGI +3; MR +5,AC 7; AGI +3; MR +5,Rogue,,Quest reward,Quest reward,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Greater_Faydark,,2026-07-22,,,No applicable official item-specific statement found,Yes,Direct zone/NPC/item or quest linkage where documented,Verification state unclear,No public direct observation found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B08-GFY-008,8,Faydwer,Greater Faydark,Hand Drum,Instrument,Secondary,Yes,No,,,,,,,,,,,,,,Spiderling Silks quest,Quest reward,,,,,,Quest reward,,,,,,,,,,,,,Bard,,,,,Medium-High,Hand Drum,Bard instrument quest reward,Quest reward,Core,High,https://eqlwiki.com/Greater_Faydark,,,Yes,4,,,Bard,,Quest reward,Quest reward,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Greater_Faydark,,2026-07-22,,,No applicable official item-specific statement found,Yes,Direct zone/NPC/item or quest linkage where documented,Verification state unclear,No public direct observation found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B08-GFY-009,8,Faydwer,Greater Faydark,Orc Hatchet,Weapon / quest item,Primary / Secondary,Yes,No,,,,Yes,,,,,,,,,,an orc hatchetman or orc pawns,Varies,,Orc,,,,Outdoor orc population,,,,,,,,,,,,,,,,,,Medium,Orc Hatchet,Regionally important weapon and quest item,Outdoor creature drop,Core,High,https://eqlwiki.com/Greater_Faydark,,,Yes,4,,,,,Varies,Varies,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Greater_Faydark,,2026-07-22,,,No applicable official item-specific statement found,Yes,Direct zone/NPC/item or quest linkage where documented,Verification state unclear,No public direct observation found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B08-GFY-010,8,Faydwer,Greater Faydark,Sealed Letter,Quest item,Inventory,No,Yes,,Yes,Yes,Yes,,,,,,,,,,orc runner,Unverified,,Orc,,,,Roaming outdoor quest target,,,,,,,,,,,,,,,,,,High,Sealed Letter,Cross-zone message quest item,Outdoor quest drop,Core,High,https://eqlwiki.com/Greater_Faydark,,,Yes,4,,,,,Unverified,Unverified,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Greater_Faydark,,2026-07-22,,,No applicable official item-specific statement found,Yes,Direct zone/NPC/item or quest linkage where documented,Verification state unclear,No public direct observation found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
