record_id,batch,continent,zone,item_name,item_category,slot,equippable,inventory_only,magic,lore,no_drop,quest_item,weight,size,classes_classic,races_classic,stats_raw,damage,delay,weapon_skill,proc_click_focus,source_npc,source_npc_level,source_npc_class,source_npc_race_type,placeholder,placeholder_level_range,nearby_enemy_level_range,spawn_type,spawn_location,respawn_timer,time_condition,special_abilities,social_or_add_risk,faction_consequences,drop_frequency,drop_rate_reported,drop_notes,era_status,tlp_status,legends_status,best_for_classes,best_for_archetypes,general_value_notes,personal_build_notes,effect_transfer_value,target_priority_general,duplicate_item_group,inclusion_reason,source_scope,core_or_supplemental,data_confidence,source_primary,source_secondary,research_notes,approved,revision,stats_classic,stats_eql,classes_eql,races_eql,source_npc_level_classic,source_npc_level_eql,eql_verification_status,eql_audit_action,eql_npc_confirmed,eql_item_confirmed,eql_drop_source_confirmed,eql_stats_match,eql_classes_match,eql_races_match,eql_effect_match,eql_spawn_match,eql_era_status,eql_wiki_source,eql_official_source,eql_last_checked,eql_changes_summary,eql_verification_notes,official_override_status,official_source_checked,eql_wiki_listing_status,eql_wiki_verification_state,current_build_confirmed,evidence_grade,evidence_strength,conflict_status,classic_original_launch,classic_historical_era,last_directly_observed,primary_evidence_layer,per_field_provenance_notes
B09-LFY-001,9,Faydwer,Lesser Faydark,Braided Ivy Cords,Armor / focus item,Waist,Yes,No,Yes,,,,,,,,AC 4; WIS +5,,,,Focus: Enhancement Haste I,Bracken Underbrush,18,,Brownie,,,,Named outdoor brownie,,,,,,,,,,,,,,,,,High,Very High,Braided Ivy Cords,EQL focus armor,Named outdoor drop,Core,High,https://eqlwiki.com/Lesser_Faydark,,,Yes,4,AC 4; WIS +5,AC 4; WIS +5,"Druid, Bard, Enchanter",,18,18,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Lesser_Faydark,,2026-07-22,,,No applicable official statement found,Yes,"Direct zone/NPC/item, quest, or ground-spawn linkage where documented",Verification state unclear,No public direct observation found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B09-LFY-002,9,Faydwer,Lesser Faydark,Pouch of Mistletoe Powder,Charged utility item,Inventory,No,Yes,,,,,,,,,,,,,1 instant charge: Befriend Animal,Bracken Underbrush,18,,Brownie,,,,Named outdoor brownie,,,,,,,,,,,,,,,,,High,High,Pouch of Mistletoe Powder,Rare charged animal-control utility item,Named outdoor drop,Core,High,https://eqlwiki.com/Lesser_Faydark,,,Yes,4,,,,,18,18,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Lesser_Faydark,,2026-07-22,,,No applicable official statement found,Yes,"Direct zone/NPC/item, quest, or ground-spawn linkage where documented",Verification state unclear,No public direct observation found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B09-LFY-003,9,Faydwer,Lesser Faydark,Crookstinger,Weapon / proc item,Primary / Secondary,Yes,No,Yes,,,,,,,,4 damage / 21 delay,4,21,Piercing,Combat proc: Weak Poison,Crookstinger,8,,Wasp,,,,Named outdoor insect,,,,,,,,,,,,,,,,,High,High,Crookstinger,Low-level named proc weapon,Named outdoor drop,Core,High,https://eqlwiki.com/Lesser_Faydark,,,Yes,4,4 damage / 21 delay,4 damage / 21 delay,,,8,8,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Lesser_Faydark,,2026-07-22,,,No applicable official statement found,Yes,"Direct zone/NPC/item, quest, or ground-spawn linkage where documented",Verification state unclear,No public direct observation found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B09-LFY-004,9,Faydwer,Lesser Faydark,Crookstinger Poison,Effect item,Inventory,No,Yes,,,,,,,,,,,,,Combat effect: Feeble Mind I; level 20,Crookstinger,8,,Wasp,,,,Named outdoor insect,,,,,,,Rare,,,,,,,,,,Very High,Very High,Crookstinger Poison,EQL-relevant inventory effect item,Named outdoor drop,Core,High,https://eqlwiki.com/Lesser_Faydark,,,Yes,4,,,,,8,8,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Lesser_Faydark,,2026-07-22,,Effect extractability remains unverified.,No applicable official statement found,Yes,"Direct zone/NPC/item, quest, or ground-spawn linkage where documented",Verification state unclear,No public direct observation found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B09-LFY-005,9,Faydwer,Lesser Faydark,Larktwitter Arrow,Ammunition,Ammo,Yes,No,,,,,,,,,,,,,,Whimsy Larktwitter,16,,,,,,Rare named outdoor faerie,,,,,,,,,,,,,,,,,,Medium-High,Larktwitter Arrow,Rare named ammunition,Named outdoor drop,Core,High,https://eqlwiki.com/Lesser_Faydark,,,Yes,4,,,,,16,16,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Lesser_Faydark,,2026-07-22,,,No applicable official statement found,Yes,"Direct zone/NPC/item, quest, or ground-spawn linkage where documented",Verification state unclear,No public direct observation found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B09-LFY-006,9,Faydwer,Lesser Faydark,Larktwitter Bow,Weapon,Range,Yes,No,Yes,,,,,,,,,,,,,Whimsy Larktwitter,16,,,,,,Rare named outdoor faerie,,,,,,,,,,,,,,,,,,High,Larktwitter Bow,Unique named bow,Named outdoor drop,Core,Medium-High,https://eqlwiki.com/Lesser_Faydark,,,Yes,4,,,,,16,16,EQL Wiki Linked — Exact stats require normalization,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Lesser_Faydark,,2026-07-22,,,No applicable official statement found,Yes,"Direct zone/NPC/item, quest, or ground-spawn linkage where documented",Verification state unclear,No public direct observation found,D,Item/source linkage direct; exact stats require dedicated-page normalization,Exact item statistics unresolved,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B09-LFY-007,9,Faydwer,Lesser Faydark,Twice-Woven Cloak,Armor,Back,Yes,No,Yes,,,,,,,,,,,,,faerie or fairy guards,Varies,,Faerie,,,,Faction-sensitive faerie guard population,,,,,,,,,,,,,,,,,,High,Twice-Woven Cloak,Class-specific faerie cloak,Faction NPC drop,Core,High,https://eqlwiki.com/Lesser_Faydark,,,Yes,4,,,Magician,,Varies,Varies,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Lesser_Faydark,,2026-07-22,,,No applicable official statement found,Yes,"Direct zone/NPC/item, quest, or ground-spawn linkage where documented",Verification state unclear,No public direct observation found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B09-LFY-008,9,Faydwer,Lesser Faydark,Twice-Woven Silk,Quest item,Inventory,No,Yes,,,,Yes,,,,,,,,,,faerie or fairy guards,Varies,,Faerie,,,,Faction-sensitive faerie guard population,,,,,,,,,,,,,,,,,,High,Twice-Woven Silk,Important quest component,Faction NPC drop,Core,High,https://eqlwiki.com/Lesser_Faydark,,,Yes,4,,,,,Varies,Varies,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Lesser_Faydark,,2026-07-22,,,No applicable official statement found,Yes,"Direct zone/NPC/item, quest, or ground-spawn linkage where documented",Verification state unclear,No public direct observation found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B09-LFY-009,9,Faydwer,Lesser Faydark,Orc Impaler,Quest reward weapon,Range / Primary / Secondary,Yes,No,Yes,,,,,,,,"STR, WIS, HP, and range-slot utility; exact values require normalization",,,Piercing,,The Orc Impaler quest,Quest reward,,,,,,Lesser Faydark quest reward,,,,,,,,,,,,,Ranger,,,,,High,Orc Impaler,Distinct Lesser Faydark quest-source row,Quest reward,Core,Medium-High,https://eqlwiki.com/Lesser_Faydark,,,Yes,4,"STR, WIS, HP, and range-slot utility; exact values require normalization","STR, WIS, HP, and range-slot utility; exact values require normalization",Ranger,,Quest reward,Quest reward,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Lesser_Faydark,,2026-07-22,,,No applicable official statement found,Yes,"Direct zone/NPC/item, quest, or ground-spawn linkage where documented",Verification state unclear,No public direct observation found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B09-LFY-010,9,Faydwer,Lesser Faydark,Emerald Cloak of the Faydark,Quest reward armor / click item,Back,Yes,No,Yes,Yes,,,,,,,AC 5; CHA +10; HP +25; Mana +25; DR +10; PR +10,,,,1 charge: Fay Gate,Bloodboil quest,Quest reward,,,,,,Quest reward,,,,,,,,,,,,,,,,,Very High,Very High,Emerald Cloak of the Faydark,Universal charged gate cloak,Quest reward,Core,High reward / Medium quest-giver metadata,https://eqlwiki.com/Lesser_Faydark,,,Yes,4,AC 5; CHA +10; HP +25; Mana +25; DR +10; PR +10,AC 5; CHA +10; HP +25; Mana +25; DR +10; PR +10,All,All,Quest reward,Quest reward,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Lesser_Faydark,,2026-07-22,,,No applicable official statement found,Yes,"Direct zone/NPC/item, quest, or ground-spawn linkage where documented",Verification state unclear,No public direct observation found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B09-LFY-011,9,Faydwer,Lesser Faydark,Shiny Silk Gloves,Armor,Hands,Yes,No,Yes,,,,,,,,AC 4; HP +5,,,,,Queen Nasheeji,10,,Giant spider,,,,Very rare named outdoor spider,,,,,,,,,Named appearance approximately 3%,,,,,,,,,High,Shiny Silk Gloves,Universal rare named gloves,Named outdoor drop,Core,High,https://eqlwiki.com/Lesser_Faydark,,,Yes,4,AC 4; HP +5,AC 4; HP +5,All,All,10,10,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Lesser_Faydark,,2026-07-22,,,No applicable official statement found,Yes,"Direct zone/NPC/item, quest, or ground-spawn linkage where documented",Verification state unclear,No public direct observation found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
