record_id,batch,continent,zone,item_name,item_category,slot,equippable,inventory_only,magic,lore,no_drop,quest_item,weight,size,classes_classic,races_classic,stats_raw,damage,delay,weapon_skill,proc_click_focus,source_npc,source_npc_level,source_npc_class,source_npc_race_type,placeholder,placeholder_level_range,nearby_enemy_level_range,spawn_type,spawn_location,respawn_timer,time_condition,special_abilities,social_or_add_risk,faction_consequences,drop_frequency,drop_rate_reported,drop_notes,era_status,tlp_status,legends_status,best_for_classes,best_for_archetypes,general_value_notes,personal_build_notes,effect_transfer_value,target_priority_general,duplicate_item_group,inclusion_reason,source_scope,core_or_supplemental,data_confidence,source_primary,source_secondary,research_notes,approved,revision,stats_classic,stats_eql,classes_eql,races_eql,source_npc_level_classic,source_npc_level_eql,eql_verification_status,eql_audit_action,eql_npc_confirmed,eql_item_confirmed,eql_drop_source_confirmed,eql_stats_match,eql_classes_match,eql_races_match,eql_effect_match,eql_spawn_match,eql_era_status,eql_wiki_source,eql_official_source,eql_last_checked,eql_changes_summary,eql_verification_notes,official_override_status,official_source_checked,eql_wiki_listing_status,eql_wiki_verification_state,current_build_confirmed,evidence_grade,evidence_strength,conflict_status,classic_original_launch,classic_historical_era,last_directly_observed,primary_evidence_layer,per_field_provenance_notes
B07-QHY-001,7,Antonica,Qeynos Hills,Fishbone Earring,Jewelry / worn effect,Ear,Yes,No,Yes,Yes,,,,,,,,,,,Worn effect: Enduring Breath,Hadden,28,Warrior,,,,,Named outdoor spawn,,Approximately 6 hours,,,,,,,,,,,All,Underwater utility,,,Very High,Very High,Fishbone Earring,Iconic worn-breathing item,Named outdoor drop,Core,High,https://eqlwiki.com/Qeynos_Hills,,,Yes,4,,,,,28,28,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Qeynos_Hills,,2026-07-22,,,No applicable official statement found,Yes,Direct zone/NPC/item or quest linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B07-QHY-002,7,Antonica,Qeynos Hills,A Glowing Black Stone,Offhand / caster item,Primary / Secondary,Yes,No,Yes,Yes,,,,,,,INT +9; MR +10,,,,,Pyzjn,Unverified,,,,,,Rare named nighttime spawn,,,,,,,,,,,,,INT casters,,,,,Very High,A Glowing Black Stone,Iconic caster offhand,Named outdoor drop,Core,Medium-High,https://eqlwiki.com/Qeynos_Hills,,,Yes,4,INT +9; MR +10,INT +9; MR +10,,,Unverified,Unverified,EQL Wiki Linked — Source quality requires reconciliation,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Qeynos_Hills,,2026-07-22,,,No applicable official statement found,Yes,Direct zone/NPC/item or quest linkage where documented,Verification state unclear,No public direct evidence found,D,Zone unique item with source association requiring dedicated-page reconciliation,Exact source linkage should be checked against dedicated item page,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B07-QHY-003,7,Antonica,Qeynos Hills,Cros Treewind's Staff,Weapon,Primary,Yes,No,Yes,,,,,,,,,,,,,Defiled Grizzly,Unverified,,Bear,,,,Named outdoor animal,,,,,,,,,,,,,,,,,,High,Cros Treewind's Staff,Unique named weapon with non-obvious source,Named outdoor drop,Core,High,https://eqlwiki.com/Qeynos_Hills,,,Yes,4,,,,,Unverified,Unverified,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Qeynos_Hills,,2026-07-22,,,No applicable official statement found,Yes,Direct zone/NPC/item or quest linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,"Item name suggests Cros Treewind, but EQL Wiki source is Defiled Grizzly",Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B07-QHY-004,7,Antonica,Qeynos Hills,Gnoll Slayer,Quest reward weapon,Primary / Secondary,Yes,No,Yes,Yes,,,,,,,6 damage / 28 delay; Bane Damage: Gnoll 5,6,28,1HS,,The Gnoll Slayer quest,Quest reward,,,,,,Qeynos Hills-started quest reward,,,,,,,,,,,,,,Gnoll hunting,,,,High,Gnoll Slayer,Named bane weapon,Quest reward,Core,High,https://eqlwiki.com/Qeynos_Hills,,,Yes,4,6 damage / 28 delay; Bane Damage: Gnoll 5,6 damage / 28 delay; Bane Damage: Gnoll 5,,,Quest reward,Quest reward,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Qeynos_Hills,,2026-07-22,,,No applicable official statement found,Yes,Direct zone/NPC/item or quest linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B07-QHY-005,7,Antonica,Qeynos Hills,Velvet Choker,Jewelry,Neck,Yes,No,Yes,,,,,,,,AC 3; HP +5,,,,,Varsoon the Undying,30,,,,,,Triggered after killing Varsoon,,,,,,,,,,,,,,,,,,High,Velvet Choker,Triggered named jewelry drop,Triggered outdoor drop,Core,High,https://eqlwiki.com/Qeynos_Hills,,,Yes,4,AC 3; HP +5,AC 3; HP +5,,,30,30,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Qeynos_Hills,,2026-07-22,,,No applicable official statement found,Yes,Direct zone/NPC/item or quest linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B07-QHY-006,7,Antonica,Qeynos Hills,Tovax's Necklace,Jewelry,Neck,Yes,No,Yes,,,,,,,,,,,,,Tovax Vmar,Approximately 10; undercon; wiki uncertain,,,,,,Night-only named spawn,,,,,,,,,,,,,,,,,,Medium-High,Tovax's Necklace,Night-only named jewelry,Named outdoor drop,Core,Medium-High,https://eqlwiki.com/Qeynos_Hills,,,Yes,4,,,,,Approximately 10; undercon; wiki uncertain,Approximately 10; undercon; wiki uncertain,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Qeynos_Hills,,2026-07-22,,,No applicable official statement found,Yes,Direct zone/NPC/item or quest linkage where documented,Verification state unclear,No public direct evidence found,D,Item linked; NPC level explicitly uncertain,NPC level is approximate and undercon,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B07-QHY-007,7,Antonica,Qeynos Hills,Human Blood,Quest item,Inventory,No,Yes,Yes,,,Yes,,,,,,,,,,Tovax Vmar,Approximately 10; undercon; wiki uncertain,,,,,,Night-only named spawn,,,,,,,,,,,,,,,,,,Medium,Human Blood,Distinct Qeynos Hills named-source row,Named outdoor drop,Core,Medium-High,https://eqlwiki.com/Qeynos_Hills,,,Yes,4,,,,,Approximately 10; undercon; wiki uncertain,Approximately 10; undercon; wiki uncertain,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Qeynos_Hills,,2026-07-22,,,No applicable official statement found,Yes,Direct zone/NPC/item or quest linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B07-QHY-008,7,Antonica,Qeynos Hills,Blue Training Robe,Armor,Chest,Yes,No,,Yes,,,,,,,,,,,,Neclo Rheslar,Unverified,,,,,,Named outdoor NPC,,,,,,,,,,,,,,,,,,Medium,Blue Training Robe,Distinct lore caster robe,Named outdoor drop,Core,Medium-High,https://eqlwiki.com/Qeynos_Hills,,,Yes,4,,,,,Unverified,Unverified,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Qeynos_Hills,,2026-07-22,,,No applicable official statement found,Yes,Direct zone/NPC/item or quest linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B07-QHY-009,7,Antonica,Qeynos Hills,Courier's Head,Quest item,Inventory,No,Yes,,Yes,Yes,Yes,,,,,,,,,,Erudite traveler,20,,,,,,Named roaming quest target,,,,,,,,,,,,,,,,,,High,Courier's Head,Cold Iron quest component,Outdoor quest drop,Core,High,https://eqlwiki.com/Qeynos_Hills,,,Yes,4,,,,,20,20,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Qeynos_Hills,,2026-07-22,,,No applicable official statement found,Yes,Direct zone/NPC/item or quest linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B07-QHY-010,7,Antonica,Qeynos Hills,Crate Full of Ore,Quest item,Inventory,No,Yes,,Yes,Yes,Yes,,,,,,,,,,Erudite traveler,20,,,,,,Named roaming quest target,,,,,,,,,,,,,,,,,,High,Crate Full of Ore,Cold Iron quest component,Outdoor quest drop,Core,High,https://eqlwiki.com/Qeynos_Hills,,,Yes,4,,,,,20,20,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Qeynos_Hills,,2026-07-22,,,No applicable official statement found,Yes,Direct zone/NPC/item or quest linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
