record_id,batch,continent,zone,item_name,item_category,slot,equippable,inventory_only,magic,lore,no_drop,quest_item,weight,size,classes_classic,races_classic,stats_raw,damage,delay,weapon_skill,proc_click_focus,source_npc,source_npc_level,source_npc_class,source_npc_race_type,placeholder,placeholder_level_range,nearby_enemy_level_range,spawn_type,spawn_location,respawn_timer,time_condition,special_abilities,social_or_add_risk,faction_consequences,drop_frequency,drop_rate_reported,drop_notes,era_status,tlp_status,legends_status,best_for_classes,best_for_archetypes,general_value_notes,personal_build_notes,effect_transfer_value,target_priority_general,duplicate_item_group,inclusion_reason,source_scope,core_or_supplemental,data_confidence,source_primary,source_secondary,research_notes,approved,revision,stats_classic,stats_eql,classes_eql,races_eql,source_npc_level_classic,source_npc_level_eql,eql_verification_status,eql_audit_action,eql_npc_confirmed,eql_item_confirmed,eql_drop_source_confirmed,eql_stats_match,eql_classes_match,eql_races_match,eql_effect_match,eql_spawn_match,eql_era_status,eql_wiki_source,eql_official_source,eql_last_checked,eql_changes_summary,eql_verification_notes,official_override_status,official_source_checked,eql_wiki_listing_status,eql_wiki_verification_state,current_build_confirmed,evidence_grade,evidence_strength,conflict_status,classic_original_launch,classic_historical_era,last_directly_observed,primary_evidence_layer,per_field_provenance_notes
B04-RAT-001,4,Antonica,Rathe Mountains,Granite Bracer,Armor / focus item,Wrist,Yes,No,Yes,,,,0.8,,All,All except Iksar,AC 5; STR +4; STA +7,,,,Focus: Affliction Haste I,Petrifin,40,Warrior,Basilisk,,,,Named outdoor basilisk replacement,,,,,,,,,,,,,All,Universal stat armor; DoT casting,,,High,Very High,Granite Bracer,Universal stat wrist with EQL focus effect,Named outdoor drop,Core,High,https://eqlwiki.com/Rathe_Mountains,,Official research lead: new Zok Zribb quest exists; reward unresolved.,Yes,4,AC 5; STR +4; STA +7,AC 5; STR +4; STA +7,All,All except Iksar,40,40,EQL Wiki Linked — Modified; Verification State Unclear,Correct,Yes,Yes,Yes,Yes,Yes,Yes,No — EQL adds focus,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Rathe_Mountains,https://www.everquestlegends.com/patch-notes/eql-update-notes-7-14-2026,2026-07-22,Added EQL focus effect Affliction Haste I.,,"No item-specific override found; official July 14, 2026 notes add a new Zok Zribb quest with reward not yet documented",Yes,Direct zone/NPC/item linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Official EQL sources checked; EQL Wiki used for current working data; Project 1999 retained as classic baseline.
B04-RAT-002,4,Antonica,Rathe Mountains,Eye of Petrifin,Quest item,Inventory,No,Yes,Yes,Yes,,,0.4,,,,,,,,,Petrifin,40,Warrior,Basilisk,,,,Named outdoor basilisk replacement,,,,,,,,,,,,,,,,,,Medium,Eye of Petrifin,Named quest component,Named outdoor drop,Core,Medium-High,https://eqlwiki.com/Rathe_Mountains,,Official research lead: new Zok Zribb quest exists; reward unresolved.,Yes,4,,,,,40,40,EQL Wiki Linked — Verification State Unclear,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Rathe_Mountains,https://www.everquestlegends.com/patch-notes/eql-update-notes-7-14-2026,2026-07-22,,,"No item-specific override found; official July 14, 2026 notes add a new Zok Zribb quest with reward not yet documented",Yes,Direct zone/NPC/item linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Official EQL sources checked; EQL Wiki used for current working data; Project 1999 retained as classic baseline.
B04-RAT-003,4,Antonica,Rathe Mountains,Cyclops Charm,Jewelry,Neck,Yes,No,Yes,Yes,Yes,,0.1,,Ranger,"HUM, WEL, HEF, HFL",AC 3; STR +3,,,,,Oculys Ogrefiend / Tarskuk conflict,44 / unverified,Warrior,Cyclops,,,,Named outdoor cyclops,,,,,,,,,,,,,Ranger,,,,,High,Cyclops Charm,Class-specific named jewelry,Named outdoor drop,Core,Conflicting,https://eqlwiki.com/Rathe_Mountains,,Official research lead: new Zok Zribb quest exists; reward unresolved.,Yes,4,AC 3; STR +3,AC 3; STR +3,Ranger,"HUM, WEL, HEF, HFL",44 / unverified,44 / unverified,Conflicting,Quarantine,Yes,Yes,Conflicting,Yes,Yes,Yes,Yes,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Rathe_Mountains,https://www.everquestlegends.com/patch-notes/eql-update-notes-7-14-2026,2026-07-22,,,"No item-specific override found; official July 14, 2026 notes add a new Zok Zribb quest with reward not yet documented",Yes,Direct zone/NPC/item linkage where documented,Verification state unclear,No public direct evidence found,F,Approved classic source conflicts with current EQL zone item table,Classic source Oculys; current EQL item table lists Tarskuk,Unverified,Classic-era baseline,,EQL Wiki,Source unresolved; retain row but exclude from EQL-confirmed source filters.
B04-RAT-004,4,Antonica,Rathe Mountains,Syythrak Hide Vest,Armor,Chest,Yes,No,Yes,,,,0.0,,Monk,"HUM, BAR, TRL, OGR, IKS",AC 10; STR +5; DEX +5; STA +5,,,,,Mortificator Syythrak,40,Shaman,Lizardman,a lizardman mystic,,,,"Near -520, -1530",Approximately 2 hours,,,,,,Named chance historically 15-20%,,,,,Monk,,,,,Very High,Syythrak Hide Vest,High-value Monk chest,Named outdoor drop,Core,High,https://eqlwiki.com/Rathe_Mountains,,Official research lead: new Zok Zribb quest exists; reward unresolved.,Yes,4,AC 10; STR +5; DEX +5; STA +5,AC 10; STR +5; DEX +5; STA +5,Monk,"HUM, BAR, TRL, OGR, IKS",40,40,EQL Wiki Linked — Verification State Unclear,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Rathe_Mountains,https://www.everquestlegends.com/patch-notes/eql-update-notes-7-14-2026,2026-07-22,,,"No item-specific override found; official July 14, 2026 notes add a new Zok Zribb quest with reward not yet documented",Yes,Direct zone/NPC/item linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Official EQL sources checked; EQL Wiki used for current working data; Project 1999 retained as classic baseline.
B04-RAT-005,4,Antonica,Rathe Mountains,Mortificator Staff,Weapon / proc item,Primary,Yes,No,Yes,Yes,,,6.5,,Shaman,,16 damage / 44 delay; WIS +7; Mana +45,16,44,2HB,Combat proc: Mana Sink; level 30,Mortificator Syythrak,40,Shaman,,a lizardman mystic,,,,,Approximately 2 hours,,,,,Very rare,,,,,,Shaman,,,,High,Very High,Mortificator Staff,Rare Shaman proc weapon,Named outdoor drop,Core,High item / Medium rate,https://eqlwiki.com/Rathe_Mountains,,Official research lead: new Zok Zribb quest exists; reward unresolved.,Yes,4,16 damage / 44 delay; WIS +7; Mana +45,16 damage / 44 delay; WIS +7; Mana +45,Shaman,,40,40,EQL Wiki Linked — Verification State Unclear,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Rathe_Mountains,https://www.everquestlegends.com/patch-notes/eql-update-notes-7-14-2026,2026-07-22,,,"No item-specific override found; official July 14, 2026 notes add a new Zok Zribb quest with reward not yet documented",Yes,Direct zone/NPC/item linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Official EQL sources checked; EQL Wiki used for current working data; Project 1999 retained as classic baseline.
B04-RAT-006,4,Antonica,Rathe Mountains,Woe,Weapon / proc item,Primary / Secondary,Yes,No,Yes,Yes,,,4.3,,"WAR, SHD, ROG, NEC",All,5 damage / 29 delay,5,29,Piercing,Combat proc: Affliction; level 20,Glaron,32,Shadow Knight,,,,,Named outdoor target,,Approximately 2 hours,,,,,,,,,,,"Warrior, Shadow Knight, Rogue, Necromancer",,,,High,High,Woe,Proc weapon with unusual Necromancer access,Named outdoor drop,Core,High,https://eqlwiki.com/Rathe_Mountains,,Official research lead: new Zok Zribb quest exists; reward unresolved.,Yes,4,5 damage / 29 delay,5 damage / 29 delay,"WAR, SHD, ROG, NEC",All except High Elf,32,32,EQL Wiki Linked — Verification State Unclear,Correct,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Rathe_Mountains,https://www.everquestlegends.com/patch-notes/eql-update-notes-7-14-2026,2026-07-22,Added EQL High Elf race exclusion.,,"No item-specific override found; official July 14, 2026 notes add a new Zok Zribb quest with reward not yet documented",Yes,Direct zone/NPC/item linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Official EQL sources checked; EQL Wiki used for current working data; Project 1999 retained as classic baseline.
B04-RAT-007,4,Antonica,Rathe Mountains,Envy,Shield / offhand,Secondary,Yes,No,Yes,Yes,,,6.5,,"WAR, SHD, ROG, NEC",All,AC 7; FR +7; MR +3,,,,,Glaron,32,Shadow Knight,,,,,Named outdoor target,,Approximately 2 hours,,,,,,,,,,,"Warrior, Shadow Knight, Rogue, Necromancer",,,,,High,Envy,Resist offhand with Necromancer access,Named outdoor drop,Core,High,https://eqlwiki.com/Rathe_Mountains,,Official research lead: new Zok Zribb quest exists; reward unresolved.,Yes,4,AC 7; FR +7; MR +3,AC 7; FR +7; MR +3,"WAR, SHD, ROG, NEC",All except High Elf,32,32,EQL Wiki Linked — Verification State Unclear,Correct,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Rathe_Mountains,https://www.everquestlegends.com/patch-notes/eql-update-notes-7-14-2026,2026-07-22,Added EQL High Elf race exclusion.,,"No item-specific override found; official July 14, 2026 notes add a new Zok Zribb quest with reward not yet documented",Yes,Direct zone/NPC/item linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Official EQL sources checked; EQL Wiki used for current working data; Project 1999 retained as classic baseline.
B04-RAT-008,4,Antonica,Rathe Mountains,Mithril Plated Girth,Armor,Waist,Yes,No,Yes,,,,2.0,,Warrior,All except Iksar,AC 9; STR +9; STA +9,,,,,Grazhak,31,Warrior,,,,,Named outdoor target,,,,,,,,Historically about 10%,,,,,Warrior,,,,,Very High,Mithril Plated Girth,Exceptional Warrior waist,Named outdoor drop,Core,High,https://eqlwiki.com/Rathe_Mountains,,Official research lead: new Zok Zribb quest exists; reward unresolved.,Yes,4,AC 9; STR +9; STA +9,AC 9; STR +9; STA +9,Warrior,All except Iksar,31,31,EQL Wiki Linked — Verification State Unclear,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Rathe_Mountains,https://www.everquestlegends.com/patch-notes/eql-update-notes-7-14-2026,2026-07-22,,,"No item-specific override found; official July 14, 2026 notes add a new Zok Zribb quest with reward not yet documented",Yes,Direct zone/NPC/item linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Official EQL sources checked; EQL Wiki used for current working data; Project 1999 retained as classic baseline.
B04-RAT-009,4,Antonica,Rathe Mountains,Axe of Slayers,Weapon / proc item,Primary,Yes,No,Yes,Yes,,,15.0,,Warrior,,23 damage / 48 delay,23,48,2HS,Combat proc: Rampage; level 30,Grazhak,31,Warrior,,,,,Named outdoor target,,,,,,,,,,,,,Warrior,,,,High,Very High,Axe of Slayers,High-value Warrior proc weapon,Named outdoor drop,Core,High,https://eqlwiki.com/Rathe_Mountains,,Official research lead: new Zok Zribb quest exists; reward unresolved.,Yes,4,23 damage / 48 delay,23 damage / 48 delay,Warrior,,31,31,EQL Wiki Linked — Verification State Unclear,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Rathe_Mountains,https://www.everquestlegends.com/patch-notes/eql-update-notes-7-14-2026,2026-07-22,,,"No item-specific override found; official July 14, 2026 notes add a new Zok Zribb quest with reward not yet documented",Yes,Direct zone/NPC/item linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Official EQL sources checked; EQL Wiki used for current working data; Project 1999 retained as classic baseline.
B04-RAT-010,4,Antonica,Rathe Mountains,Onyx Drakescale Cloak,Armor,Back,Yes,No,,,,,2.5,,All,All,AC 8; AGI +9; Mana +35,,,,,Shardwing,40-42,Warrior,Drake,,,,Named drake cycle,"Near -1700, -15",,,,,,,,,,,,All,,,,,Very High,Onyx Drakescale Cloak,Universal mana/stat cloak,Named outdoor drop,Core,High,https://eqlwiki.com/Rathe_Mountains,,Official research lead: new Zok Zribb quest exists; reward unresolved.,Yes,4,AC 8; AGI +9; Mana +35,AC 8; AGI +9; Mana +35,All,All,40-42,40-42,EQL Wiki Linked — Verification State Unclear,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Rathe_Mountains,https://www.everquestlegends.com/patch-notes/eql-update-notes-7-14-2026,2026-07-22,,,"No item-specific override found; official July 14, 2026 notes add a new Zok Zribb quest with reward not yet documented",Yes,Direct zone/NPC/item linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Official EQL sources checked; EQL Wiki used for current working data; Project 1999 retained as classic baseline.
