record_id,batch,continent,zone,item_name,item_category,slot,equippable,inventory_only,magic,lore,no_drop,quest_item,weight,size,classes_classic,races_classic,stats_raw,damage,delay,weapon_skill,proc_click_focus,source_npc,source_npc_level,source_npc_class,source_npc_race_type,placeholder,placeholder_level_range,nearby_enemy_level_range,spawn_type,spawn_location,respawn_timer,time_condition,special_abilities,social_or_add_risk,faction_consequences,drop_frequency,drop_rate_reported,drop_notes,era_status,tlp_status,legends_status,best_for_classes,best_for_archetypes,general_value_notes,personal_build_notes,effect_transfer_value,target_priority_general,duplicate_item_group,inclusion_reason,source_scope,core_or_supplemental,data_confidence,source_primary,source_secondary,research_notes,approved,revision,stats_classic,stats_eql,classes_eql,races_eql,source_npc_level_classic,source_npc_level_eql,eql_verification_status,eql_audit_action,eql_npc_confirmed,eql_item_confirmed,eql_drop_source_confirmed,eql_stats_match,eql_classes_match,eql_races_match,eql_effect_match,eql_spawn_match,eql_era_status,eql_wiki_source,eql_official_source,eql_last_checked,eql_changes_summary,eql_verification_notes,official_override_status,official_source_checked,eql_wiki_listing_status,eql_wiki_verification_state,current_build_confirmed,evidence_grade,evidence_strength,conflict_status,classic_original_launch,classic_historical_era,last_directly_observed,primary_evidence_layer,per_field_provenance_notes,schema_version,record_type,record_status,source_record_id,canonical_record_id,parent_record_id,related_record_ids,display_default,searchable,record_notes,faction_risk_level,faction_hits_known,faction_gains_known,city_access_risk,merchant_access_risk,quest_access_risk,initial_disposition,protected_npc_type,faction_behavior_notes,creature_family,creature_subfamily,normalized_source_name,source_name_aliases,shared_loot_family,family_faction,family_hostility,family_zone_scope,source_variant_notes,zone_type,zone_subarea,zone_wing,zone_floor,camp_or_room,location_coordinates,location_description,navigation_notes,escape_or_exit_risk,environmental_hazards,encounter_name,encounter_type,encounter_tier,encounter_group_size,encounter_raid_size,encounter_difficulty,encounter_trigger,encounter_scripted,encounter_phases,encounter_adds,encounter_failure_condition,encounter_reset_behavior,encounter_notes,placeholder_npc,placeholder_cycle,spawn_probability,spawn_count,spawn_window,respawn_variance,despawn_condition,spawn_dependencies,spawn_guaranteed,spawn_mechanics_notes,instance_status,instance_type,instance_name,instance_entry_method,instance_reuse_timer,loot_lockout_type,loot_lockout_duration,lockout_scope,lockout_applies_per_npc,lockout_applies_per_instance,lockout_bypass_conditions,instance_notes,loot_delivery_method,loot_container_name,loot_table_name,loot_table_tier,loot_pool_type,loot_roll_type,loot_quantity_min,loot_quantity_max,loot_slots_reported,loot_selection_behavior,shared_loot_notes,currency_drop,loot_delivery_notes,drop_rate_type,drop_rate_numerator,drop_rate_denominator,drop_rate_sample_size,drop_rate_pool_probability,drop_rate_item_probability,drop_rate_source,drop_rate_confidence,drop_rate_conditions,access_requirement,access_key_item,access_key_consumed,access_quest,minimum_recommended_level,minimum_group_size,minimum_raid_size,class_role_requirements,door_or_lock_requirement,levitation_required,underwater_required,resist_requirements,corpse_recovery_difficulty,bind_or_reentry_notes,access_notes,encounter_hp,encounter_ac,damage_per_hit_min,damage_per_hit_max,attacks_per_round,aoe_effects,single_target_effects,debuffs,summons_players,enrages,rampage,flurry,banishes,mem_blur,charm,fear,death_touch,resist_profile,immunity_profile,combat_mechanics_notes,raid_target,raid_classification,raid_progression_role,raid_prerequisite,contested_status,racing_or_engagement_rules,racing_line,open_world_competition,recommended_composition,raid_notes,quest_name,quest_step,quest_role,epic_class,progression_category,required_for_access,required_for_spawn,required_for_turn_in,reward_type,quest_dependency_notes,content_availability,availability_context,availability_start,availability_end,availability_condition,beta_availability_status,launch_availability_status,instance_availability_status,compatibility_action,compatibility_reason,custom_tags,alternate_names,content_group_id,data_extension_json
B12-COR-001,12,,The Feerrott,A Crude Stein,,,,,,,,,,,,,STA +10; CHA +15,,,,1 instant charge: Minor Healing,Bouncer Hurd,,,,,,,Oggok faction patrol,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,EQL-LOOT-1.0,correction,Active,B02-FER-001,B02-FER-001,,,No,No,Batch 12 faction correction; merge nonblank fields into source_record_id.,Critical,,,Yes,Yes,Yes,,City guard / bouncer,,,,Bouncer Hurd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B12-COR-002,12,,East Commonlands,Bloodstone,,,,,,,,,,,,,,,,,,Sergeant Slate,,,,,,,Roaming Freeport faction guard,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,EQL-LOOT-1.0,correction,Active,B03-ECL-004,B03-ECL-004,,,No,No,Batch 12 faction correction; merge nonblank fields into source_record_id.,Critical,,,Yes,Potential,Yes,,City-aligned guard,,,,Sergeant Slate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B12-COR-003,12,,Northern Karana,Cracked Corrupt Guard Helm,,,,,,,,,,,,,,,,,,Guard Shilster,,,,,,,Corrupt Qeynos faction guard,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,EQL-LOOT-1.0,correction,Active,B06-NKA-013,B06-NKA-013,,,No,No,Batch 12 faction correction; merge nonblank fields into source_record_id.,Conditional,,,Conditional,Potential,Yes,,Corrupt guard / quest target,,,,Guard Shilster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B12-COR-004,12,,Butcherblock Mountains,Bloodforge Hammer,,,,,,,,,,,,,13 damage / 50 delay; MR +10,,,,,Nyzil Bloodforge,,,,,,,Kaladim-aligned faction NPC,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,EQL-LOOT-1.0,correction,Active,B08-BBM-002,B08-BBM-002,,,No,No,Batch 12 faction correction; merge nonblank fields into source_record_id.,Critical,,,Yes,Potential,Yes,,Dwarf citizen / warrior,,,,Nyzil Bloodforge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B12-COR-005,12,,Butcherblock Mountains,Dwarven Blood,,,,,,,,,,,,,,,,,,Nyzil Bloodforge,,,,,,,Kaladim-aligned faction NPC,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,EQL-LOOT-1.0,correction,Active,B08-BBM-003,B08-BBM-003,,,No,No,Batch 12 faction correction; merge nonblank fields into source_record_id.,Critical,,,Yes,Potential,Yes,,Dwarf citizen / warrior,,,,Nyzil Bloodforge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B12-COR-006,12,,Highpass Hold,Highpass Guard Equipment Record,,,,,,,,,,,,,,,,,,Highpass guard population,,,,,,,Protected settlement guards,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,EQL-LOOT-1.0,correction,Active,B11-HPH-009,B11-HPH-009,,,No,No,Batch 12 faction correction; merge nonblank fields into source_record_id.,Critical,,,Yes,Yes,Yes,,Settlement guard,,,,Highpass guard population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B12-COR-007,12,,Highpass Hold,Merchant/Noble Named Loot Group,,,,,,,,,,,,,,,,,,Settlement merchants or nobles,,,,,,,Protected merchant/noble NPCs,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,EQL-LOOT-1.0,correction,Active,B11-HPH-010,B11-HPH-010,,,No,No,Batch 12 faction correction; merge nonblank fields into source_record_id.,Critical,,,Yes,Yes,Yes,,Merchant or settlement noble,,,,Settlement merchants or nobles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B12-COR-008,12,,Highpass Hold,Highpass Quest Reward Group,,,,,,,,,,,,,,,,,,Zone-started quests,,,,,,,Quest reward group,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,EQL-LOOT-1.0,correction,Active,B11-HPH-013,B11-HPH-013,,,No,No,Batch 12 faction correction; merge nonblank fields into source_record_id.,Conditional,,,Potential,Potential,Yes,,Quest NPC population,,,,Zone-started quests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B12-COR-009,12,,Surefall Glade,Poacher's Head,,,,,,,,,,,,,,,,,,a poacher or Poacher,,,,,,,Hostile poacher source,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,EQL-LOOT-1.0,correction,Active,B11-SFG-007,B11-SFG-007,,,No,No,Batch 12 faction correction; merge nonblank fields into source_record_id.,Minor,,,No,No,Conditional,,Hostile poacher,,,,a poacher or Poacher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B12-COR-010,12,,Surefall Glade,Human Blood,,,,,,,,,,,,,,,,,,Merdan Fleetfoot or Niera Farbreeze,,,,,,,Protected faction NPC,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,EQL-LOOT-1.0,correction,Active,B11-SFG-012,B11-SFG-012,,,No,No,Batch 12 faction correction; merge nonblank fields into source_record_id.,Critical,,,Yes,Potential,Yes,,Protected Ranger/Druid faction NPC,,,,Merdan Fleetfoot or Niera Farbreeze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
