record_id,batch,continent,zone,item_name,item_category,slot,equippable,inventory_only,magic,lore,no_drop,quest_item,weight,size,classes_classic,races_classic,stats_raw,damage,delay,weapon_skill,proc_click_focus,source_npc,source_npc_level,source_npc_class,source_npc_race_type,placeholder,placeholder_level_range,nearby_enemy_level_range,spawn_type,spawn_location,respawn_timer,time_condition,special_abilities,social_or_add_risk,faction_consequences,drop_frequency,drop_rate_reported,drop_notes,era_status,tlp_status,legends_status,best_for_classes,best_for_archetypes,general_value_notes,personal_build_notes,effect_transfer_value,target_priority_general,duplicate_item_group,inclusion_reason,source_scope,core_or_supplemental,data_confidence,source_primary,source_secondary,research_notes,approved,revision,stats_classic,stats_eql,classes_eql,races_eql,source_npc_level_classic,source_npc_level_eql,eql_verification_status,eql_audit_action,eql_npc_confirmed,eql_item_confirmed,eql_drop_source_confirmed,eql_stats_match,eql_classes_match,eql_races_match,eql_effect_match,eql_spawn_match,eql_era_status,eql_wiki_source,eql_official_source,eql_last_checked,eql_changes_summary,eql_verification_notes,official_override_status,official_source_checked,eql_wiki_listing_status,eql_wiki_verification_state,current_build_confirmed,evidence_grade,evidence_strength,conflict_status,classic_original_launch,classic_historical_era,last_directly_observed,primary_evidence_layer,per_field_provenance_notes,schema_version,record_type,record_status,source_record_id,canonical_record_id,parent_record_id,related_record_ids,display_default,searchable,record_notes,faction_risk_level,faction_hits_known,faction_gains_known,city_access_risk,merchant_access_risk,quest_access_risk,initial_disposition,protected_npc_type,faction_behavior_notes,creature_family,creature_subfamily,normalized_source_name,source_name_aliases,shared_loot_family,family_faction,family_hostility,family_zone_scope,source_variant_notes,zone_type,zone_subarea,zone_wing,zone_floor,camp_or_room,location_coordinates,location_description,navigation_notes,escape_or_exit_risk,environmental_hazards,encounter_name,encounter_type,encounter_tier,encounter_group_size,encounter_raid_size,encounter_difficulty,encounter_trigger,encounter_scripted,encounter_phases,encounter_adds,encounter_failure_condition,encounter_reset_behavior,encounter_notes,placeholder_npc,placeholder_cycle,spawn_probability,spawn_count,spawn_window,respawn_variance,despawn_condition,spawn_dependencies,spawn_guaranteed,spawn_mechanics_notes,instance_status,instance_type,instance_name,instance_entry_method,instance_reuse_timer,loot_lockout_type,loot_lockout_duration,lockout_scope,lockout_applies_per_npc,lockout_applies_per_instance,lockout_bypass_conditions,instance_notes,loot_delivery_method,loot_container_name,loot_table_name,loot_table_tier,loot_pool_type,loot_roll_type,loot_quantity_min,loot_quantity_max,loot_slots_reported,loot_selection_behavior,shared_loot_notes,currency_drop,loot_delivery_notes,drop_rate_type,drop_rate_numerator,drop_rate_denominator,drop_rate_sample_size,drop_rate_pool_probability,drop_rate_item_probability,drop_rate_source,drop_rate_confidence,drop_rate_conditions,access_requirement,access_key_item,access_key_consumed,access_quest,minimum_recommended_level,minimum_group_size,minimum_raid_size,class_role_requirements,door_or_lock_requirement,levitation_required,underwater_required,resist_requirements,corpse_recovery_difficulty,bind_or_reentry_notes,access_notes,encounter_hp,encounter_ac,damage_per_hit_min,damage_per_hit_max,attacks_per_round,aoe_effects,single_target_effects,debuffs,summons_players,enrages,rampage,flurry,banishes,mem_blur,charm,fear,death_touch,resist_profile,immunity_profile,combat_mechanics_notes,raid_target,raid_classification,raid_progression_role,raid_prerequisite,contested_status,racing_or_engagement_rules,racing_line,open_world_competition,recommended_composition,raid_notes,quest_name,quest_step,quest_role,epic_class,progression_category,required_for_access,required_for_spawn,required_for_turn_in,reward_type,quest_dependency_notes,content_availability,availability_context,availability_start,availability_end,availability_condition,beta_availability_status,launch_availability_status,instance_availability_status,compatibility_action,compatibility_reason,custom_tags,alternate_names,content_group_id,data_extension_json
B19-NAJ-001,19,Antonica,Najena,Guard's Keyring,Access Key,,No,Yes,,,,,,,NONE,NONE,,,,,,A Guard Officer,,,,,,,,,,,,,,,,,Classic-retained,,Current EQL research batch,,,,,,,,"Notable equipment, access item, quest component, tradeskill item, or EQL-added drop.",Exact documented source,Core,High for active rows; incomplete or disputed rows quarantined,https://eqlwiki.com/Category%3ANajena,https://eqlwiki.com/Najena_(NPC); classic EverQuest baseline,,Yes,1,Access key; inventory-only,Access key; inventory-only,NONE,NONE,,,Current EQL documentation audited,Add,,Yes,Yes,,Compared,Compared,Compared,,,,,2026-07-28,,,,Yes,,Reviewed,No direct-build observation,C,Exact current item/source relationship with mandatory completeness audit.,None identified,,Classic-retained,,Official EQL patches and current EQL Wiki with classic comparison,Current EQL values populated from exact item/NPC pages or official patch notes. Classic fields populated only for matched classic-retained items.,EQL-LOOT-1.0,loot,Active,,B19-NAJ-001,,,No,Yes,,,,,,,,,,,,,A Guard Officer,,,,,,,Indoor Dungeon / Laboratory / Prison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,Guard's Keyring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,Yes,,,,,Available,,,,,Confirmed,Unconfirmed,,Keep,Current and classic key function retained.,,,B19-NAJ,
B19-NAJ-002,19,Antonica,Najena,Guard's Keyring,Access Key,,No,Yes,,,,,,,NONE,NONE,,,,,,Moosh,,,,,,,,,,,,,,,,,Classic-retained,,Current EQL research batch,,,,,,,,"Notable equipment, access item, quest component, tradeskill item, or EQL-added drop.",Exact documented source,Core,High for active rows; incomplete or disputed rows quarantined,https://eqlwiki.com/Category%3ANajena,https://eqlwiki.com/Najena_(NPC); classic EverQuest baseline,,Yes,1,Access key; inventory-only,Access key; inventory-only,NONE,NONE,,,Current EQL documentation audited,Add,,Yes,Yes,,Compared,Compared,Compared,,,,,2026-07-28,,,,Yes,,Reviewed,No direct-build observation,C,Exact current item/source relationship with mandatory completeness audit.,None identified,,Classic-retained,,Official EQL patches and current EQL Wiki with classic comparison,Current EQL values populated from exact item/NPC pages or official patch notes. Classic fields populated only for matched classic-retained items.,EQL-LOOT-1.0,loot,Active,,B19-NAJ-002,,,No,Yes,,,,,,,,,,,,,Moosh,,,,,,,Indoor Dungeon / Laboratory / Prison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,Guard's Keyring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,Yes,,,,,Available,,,,,Confirmed,Unconfirmed,,Keep,Current and classic key function retained.,,,B19-NAJ,
B19-NAJ-003,19,Antonica,Najena,Shiny Metal Key,Access Key,,No,Yes,,,,,,,NONE,NONE,,,,,,The Guard Captain,,,,,,,,,,,,,,,,,Classic-retained,,Current EQL research batch,,,,,,,,"Notable equipment, access item, quest component, tradeskill item, or EQL-added drop.",Exact documented source,Core,High for active rows; incomplete or disputed rows quarantined,https://eqlwiki.com/Category%3ANajena,https://eqlwiki.com/Najena_(NPC); classic EverQuest baseline,,Yes,1,Access key; inventory-only,Access key; inventory-only,NONE,NONE,,,Current EQL documentation audited,Add,,Yes,Yes,,Compared,Compared,Compared,,,,,2026-07-28,,,,Yes,,Reviewed,No direct-build observation,C,Exact current item/source relationship with mandatory completeness audit.,None identified,,Classic-retained,,Official EQL patches and current EQL Wiki with classic comparison,Current EQL values populated from exact item/NPC pages or official patch notes. Classic fields populated only for matched classic-retained items.,EQL-LOOT-1.0,loot,Active,,B19-NAJ-003,,,No,Yes,,,,,,,,,,,,,The Guard Captain,,,,,,,Indoor Dungeon / Laboratory / Prison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,Shiny Metal Key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,Yes,,,,,Available,,,,,Confirmed,Unconfirmed,,Keep,Current and classic key function retained.,,,B19-NAJ,
B19-NAJ-004,19,Antonica,Najena,Dull Bone Key,Access Key,,No,Yes,,,,,,,NONE,NONE,,,,,,BoneCracker,,,,,,,,,,,,,,,,,Classic-retained,,Current EQL research batch,,,,,,,,"Notable equipment, access item, quest component, tradeskill item, or EQL-added drop.",Exact documented source,Core,High for active rows; incomplete or disputed rows quarantined,https://eqlwiki.com/Category%3ANajena,https://eqlwiki.com/Najena_(NPC); classic EverQuest baseline,,Yes,1,Access key; inventory-only,Access key; inventory-only,NONE,NONE,,,Current EQL documentation audited,Add,,Yes,Yes,,Compared,Compared,Compared,,,,,2026-07-28,,,,Yes,,Reviewed,No direct-build observation,C,Exact current item/source relationship with mandatory completeness audit.,None identified,,Classic-retained,,Official EQL patches and current EQL Wiki with classic comparison,Current EQL values populated from exact item/NPC pages or official patch notes. Classic fields populated only for matched classic-retained items.,EQL-LOOT-1.0,loot,Active,,B19-NAJ-004,,,No,Yes,,,,,,,,,,,,,BoneCracker,,,,,,,Indoor Dungeon / Laboratory / Prison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,Dull Bone Key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,Yes,,,,,Available,,,,,Confirmed,Unconfirmed,,Keep,Current and classic key function retained.,,,B19-NAJ,
B19-NAJ-005,19,Antonica,Najena,Bloodstained Key,Access Key,,No,Yes,,,,,,,NONE,NONE,,,,,,Rathyl,,,,,,,,,,,,,,,,,Classic-retained,,Current EQL research batch,,,,,,,,"Notable equipment, access item, quest component, tradeskill item, or EQL-added drop.",Exact documented source,Core,High for active rows; incomplete or disputed rows quarantined,https://eqlwiki.com/Category%3ANajena,https://eqlwiki.com/Najena_(NPC); classic EverQuest baseline,,Yes,1,Access key; inventory-only,Access key; inventory-only,NONE,NONE,,,Current EQL documentation audited,Add,,Yes,Yes,,Compared,Compared,Compared,,,,,2026-07-28,,,,Yes,,Reviewed,No direct-build observation,C,Exact current item/source relationship with mandatory completeness audit.,None identified,,Classic-retained,,Official EQL patches and current EQL Wiki with classic comparison,Current EQL values populated from exact item/NPC pages or official patch notes. Classic fields populated only for matched classic-retained items.,EQL-LOOT-1.0,loot,Active,,B19-NAJ-005,,,No,Yes,,,,,,,,,,,,,Rathyl,,,,,,,Indoor Dungeon / Laboratory / Prison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,Bloodstained Key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,Yes,,,,,Available,,,,,Confirmed,Unconfirmed,,Keep,Current and classic key function retained.,,,B19-NAJ,
B19-NAJ-006,19,Antonica,Najena,Bloodstained Key,Access Key,,No,Yes,,,,,,,NONE,NONE,,,,,,Drelzna,,,,,,,,,,,,,,,,,Classic-retained,,Current EQL research batch,,,,,,,,"Notable equipment, access item, quest component, tradeskill item, or EQL-added drop.",Exact documented source,Core,High for active rows; incomplete or disputed rows quarantined,https://eqlwiki.com/Category%3ANajena,https://eqlwiki.com/Najena_(NPC); classic EverQuest baseline,,Yes,1,Access key; inventory-only,Access key; inventory-only,NONE,NONE,,,Current EQL documentation audited,Add,,Yes,Yes,,Compared,Compared,Compared,,,,,2026-07-28,,,,Yes,,Reviewed,No direct-build observation,C,Exact current item/source relationship with mandatory completeness audit.,None identified,,Classic-retained,,Official EQL patches and current EQL Wiki with classic comparison,Current EQL values populated from exact item/NPC pages or official patch notes. Classic fields populated only for matched classic-retained items.,EQL-LOOT-1.0,loot,Active,,B19-NAJ-006,,,No,Yes,,,,,,,,,,,,,Drelzna,,,,,,,Indoor Dungeon / Laboratory / Prison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,Bloodstained Key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,Yes,,,,,Available,,,,,Confirmed,Unconfirmed,,Keep,Current and classic key function retained.,,,B19-NAJ,
B19-NAJ-007,19,Antonica,Najena,Golden Crescent Key,Access Key,,No,Yes,,,,,,,NONE,NONE,,,,,,Drelzna,,,,,,,,,,,,,,,,,Current EQL-modified,,Current EQL research batch,,,,,,,,"Notable equipment, access item, quest component, tradeskill item, or EQL-added drop.",Exact documented source,Core,High for active rows; incomplete or disputed rows quarantined,https://eqlwiki.com/Category%3ANajena,https://eqlwiki.com/Najena_(NPC); classic EverQuest baseline,,Yes,1,Access key; inventory-only,Access key; inventory-only,NONE,NONE,,,Current EQL documentation audited,Add,,Yes,Yes,,Compared,Compared,Compared,,,,https://www.everquestlegends.com/patch-notes/eql-update-notes-7-7-2026,2026-07-28,,,Official EQL behavior change,Yes,,Reviewed,No direct-build observation,C,Exact current item/source relationship with mandatory completeness audit.,None identified,,Current EQL-modified,,Official EQL patches and current EQL Wiki with classic comparison,Current EQL values populated from exact item/NPC pages or official patch notes. Classic fields populated only for matched classic-retained items.,EQL-LOOT-1.0,loot,Active,,B19-NAJ-007,,,No,Yes,,,,,,,,,,,,,Drelzna,,,,,,,Indoor Dungeon / Laboratory / Prison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,Golden Crescent Key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,Yes,,,,,Available,,,,,Confirmed,Unconfirmed,,Correct,"Official July 7, 2026 EQL patch removed Temporary/NO RENT behavior.",,,B19-NAJ,"{""eql_key_no_rent"": ""No"", ""eql_key_temporary"": ""No""}"
B19-NAJ-008,19,Antonica,Najena,Black Tome with Silver Runes,Equipment,Primary,Yes,No,,,,,,,NEC WIZ MAG ENC,All,,,,,Focus: Burning Affliction II,Najena,,,,,,,,,,,,,,,,,Classic-retained,,Current EQL research batch,,,,,,,,"Notable equipment, access item, quest component, tradeskill item, or EQL-added drop.",Exact documented source,Core,High for active rows; incomplete or disputed rows quarantined,https://eqlwiki.com/Category%3ANajena,https://eqlwiki.com/Najena_(NPC); classic EverQuest baseline,,Yes,1,INT 4; Mana 30,INT 4; Mana 30,NEC WIZ MAG ENC,All,,,Current EQL documentation audited,Add,,Yes,Yes,,Compared,Compared,Compared,,,,,2026-07-28,,,,Yes,,Reviewed,No direct-build observation,C,Exact current item/source relationship with mandatory completeness audit.,None identified,,Classic-retained,,Official EQL patches and current EQL Wiki with classic comparison,Current EQL values populated from exact item/NPC pages or official patch notes. Classic fields populated only for matched classic-retained items.,EQL-LOOT-1.0,loot,Active,,B19-NAJ-008,,,Yes,Yes,,,,,,,,,,,,,Najena,,,,,,,Indoor Dungeon / Laboratory / Prison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,,,,,Confirmed,Unconfirmed,,Keep,Current EQL and classic restrictions compared.,,,B19-NAJ,
B19-NAJ-009,19,Antonica,Najena,Clawed Knuckle-Ring,Equipment,Finger,Yes,No,,,,,,,All,All,,,,,Focus: Extended Enhancement II,Najena,,,,,,,,,,,,,,,,,Classic-retained,,Current EQL research batch,,,,,,,,"Notable equipment, access item, quest component, tradeskill item, or EQL-added drop.",Exact documented source,Core,High for active rows; incomplete or disputed rows quarantined,https://eqlwiki.com/Category%3ANajena,https://eqlwiki.com/Najena_(NPC); classic EverQuest baseline,,Yes,1,HP 20,HP 20,All,All,,,Current EQL documentation audited,Add,,Yes,Yes,,Compared,Compared,Compared,,,,,2026-07-28,,,,Yes,,Reviewed,No direct-build observation,C,Exact current item/source relationship with mandatory completeness audit.,None identified,,Classic-retained,,Official EQL patches and current EQL Wiki with classic comparison,Current EQL values populated from exact item/NPC pages or official patch notes. Classic fields populated only for matched classic-retained items.,EQL-LOOT-1.0,loot,Active,,B19-NAJ-009,,,Yes,Yes,,,,,,,,,,,,,Najena,,,,,,,Indoor Dungeon / Laboratory / Prison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,,,,,Confirmed,Unconfirmed,,Keep,Current EQL and classic restrictions compared.,,,B19-NAJ,
B19-NAJ-010,19,Antonica,Najena,Flowing Black Robe,Equipment,Chest,Yes,No,,,,,,,NEC WIZ MAG ENC,All,,,,,Focus: Reanimation Efficiency I,Najena,,,,,,,,,,,,,,,,,Classic-retained,,Current EQL research batch,,,,,,,,"Notable equipment, access item, quest component, tradeskill item, or EQL-added drop.",Exact documented source,Core,High for active rows; incomplete or disputed rows quarantined,https://eqlwiki.com/Category%3ANajena,https://eqlwiki.com/Najena_(NPC); classic EverQuest baseline,,Yes,1,AC 8; STA 5; INT 3,AC 8; STA 5; INT 3,NEC WIZ MAG ENC,All,,,Current EQL documentation audited,Add,,Yes,Yes,,Compared,Compared,Compared,,,,,2026-07-28,,,,Yes,,Reviewed,No direct-build observation,C,Exact current item/source relationship with mandatory completeness audit.,None identified,,Classic-retained,,Official EQL patches and current EQL Wiki with classic comparison,Current EQL values populated from exact item/NPC pages or official patch notes. Classic fields populated only for matched classic-retained items.,EQL-LOOT-1.0,loot,Active,,B19-NAJ-010,,,Yes,Yes,,,,,,,,,,,,,Najena,,,,,,,Indoor Dungeon / Laboratory / Prison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,,,,,Confirmed,Unconfirmed,,Keep,Current EQL and classic restrictions compared.,,,B19-NAJ,
