record_id,batch,continent,zone,item_name,item_category,slot,equippable,inventory_only,magic,lore,no_drop,quest_item,weight,size,classes_classic,races_classic,stats_raw,damage,delay,weapon_skill,proc_click_focus,source_npc,source_npc_level,source_npc_class,source_npc_race_type,placeholder,placeholder_level_range,nearby_enemy_level_range,spawn_type,spawn_location,respawn_timer,time_condition,special_abilities,social_or_add_risk,faction_consequences,drop_frequency,drop_rate_reported,drop_notes,era_status,tlp_status,legends_status,best_for_classes,best_for_archetypes,general_value_notes,personal_build_notes,effect_transfer_value,target_priority_general,duplicate_item_group,inclusion_reason,source_scope,core_or_supplemental,data_confidence,source_primary,source_secondary,research_notes,approved,revision,stats_classic,stats_eql,classes_eql,races_eql,source_npc_level_classic,source_npc_level_eql,eql_verification_status,eql_audit_action,eql_npc_confirmed,eql_item_confirmed,eql_drop_source_confirmed,eql_stats_match,eql_classes_match,eql_races_match,eql_effect_match,eql_spawn_match,eql_era_status,eql_wiki_source,eql_official_source,eql_last_checked,eql_changes_summary,eql_verification_notes,official_override_status,official_source_checked,eql_wiki_listing_status,eql_wiki_verification_state,current_build_confirmed,evidence_grade,evidence_strength,conflict_status,classic_original_launch,classic_historical_era,last_directly_observed,primary_evidence_layer,per_field_provenance_notes
B10-TOX-001,10,Odus,Toxxulia Forest,Troll Head,Quest item,Inventory,No,Yes,,Yes,Yes,Yes,,,,,,,,,,Troll-related quest target,Unverified,,Troll,,,,Outdoor quest target,,,,,,,,,,,,,,,,,,High,Troll Head,Headline Toxxulia quest item,Outdoor quest drop,Core,Medium-High,https://eqlwiki.com/Toxxulia_Forest,,,Yes,4,,,,,Unverified,Unverified,EQL Wiki Listed — Exact source requires normalization,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Toxxulia_Forest,,2026-07-22,,,No applicable official item-specific statement found,Yes,"Direct zone/NPC/item, quest, or ground-spawn linkage where documented",Verification state unclear,No public direct observation found,D,Zone-unique item; exact source requires normalization,Exact source unresolved,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B10-TOX-002,10,Odus,Toxxulia Forest,Poacher's Head,Quest item,Inventory,No,Yes,,,Yes,Yes,,,,,,,,,,Toxxulia poachers,Varies,,,,,,Outdoor poacher population,,,,,,,,,,,,,,,,,,High,Poacher's Head,Bounty quest item,Outdoor humanoid drop,Core,High,https://eqlwiki.com/Toxxulia_Forest,,,Yes,4,,,,,Varies,Varies,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Toxxulia_Forest,,2026-07-22,,,No applicable official item-specific statement found,Yes,"Direct zone/NPC/item, quest, or ground-spawn linkage where documented",Verification state unclear,No public direct observation found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B10-TOX-003,10,Odus,Toxxulia Forest,Mining Cap,Quest reward armor,Head,Yes,No,,,,,,,,,,,,,,Mining Caps quest,Quest reward,,,,,,Toxxulia-started quest reward,,,,,,,,,,,,,,,,,,Medium-High,Mining Cap,Notable zone-started quest reward,Quest reward,Core,Medium-High,https://eqlwiki.com/Toxxulia_Forest,,,Yes,4,,,,,Quest reward,Quest reward,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Toxxulia_Forest,,2026-07-22,,,No applicable official item-specific statement found,Yes,"Direct zone/NPC/item, quest, or ground-spawn linkage where documented",Verification state unclear,No public direct observation found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B10-TOX-004,10,Odus,Toxxulia Forest,Kejaar Totem,Charged utility item,Inventory,No,Yes,Yes,Yes,,,,,,,,,,,5 instant charges: Spirit of Cat,First Test of Kejaar quest chain,Quest reward,,,,,,Cross-zone quest reward,,,,,,,,,,,,,,,,,Very High,Very High,Kejaar Totem,Charged movement/stat utility item,Quest reward,Core,High,https://eqlwiki.com/Toxxulia_Forest,,,Yes,4,,,None,None,Quest reward,Quest reward,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Toxxulia_Forest,,2026-07-22,,,No applicable official item-specific statement found,Yes,"Direct zone/NPC/item, quest, or ground-spawn linkage where documented",Verification state unclear,No public direct observation found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B10-TOX-005,10,Odus,Toxxulia Forest,Sejah Ghulam Bracer,Quest reward armor,Wrist,Yes,No,Yes,,,,,,,,AC 5; DEX +5; STA +3,,,,,Second Test of Kejaar quest chain,Quest reward,,,,,,Cross-zone quest reward,,,,,,,,,,,,,,,,,,High,Sejah Ghulam Bracer,Strong quest bracer,Quest reward,Core,High,https://eqlwiki.com/Toxxulia_Forest,,,Yes,4,AC 5; DEX +5; STA +3,AC 5; DEX +5; STA +3,"All except NEC, WIZ, MAG, ENC",,Quest reward,Quest reward,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Toxxulia_Forest,,2026-07-22,,,No applicable official item-specific statement found,Yes,"Direct zone/NPC/item, quest, or ground-spawn linkage where documented",Verification state unclear,No public direct observation found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B10-TOX-006,10,Odus,Toxxulia Forest,Icon of the Penitent,Quest item,Inventory,No,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,Heretic/Kerra-linked quest chain,Quest reward or component,,,,,,Cross-zone quest chain,,,,,,,,,,,,,Shadow Knight,,,,,Very High,Icon of the Penitent,Major Shadow Knight quest item,Cross-zone quest component,Core,Medium-High,https://eqlwiki.com/Toxxulia_Forest,,,Yes,4,,,,,Quest reward or component,Quest reward or component,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Toxxulia_Forest,,2026-07-22,,,No applicable official item-specific statement found,Yes,"Direct zone/NPC/item, quest, or ground-spawn linkage where documented",Verification state unclear,No public direct observation found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B10-TOX-007,10,Odus,Toxxulia Forest,Sentinel Creot Quest Component,Quest item,Inventory,No,Yes,,,,Yes,,,,,,,,,,Sentinel Creot,Unverified,,,,,,Faction-sensitive quest NPC,,,,,,,,,,,,,,,,,,Medium-High,Sentinel Creot Quest Component,Preserves known quest-source relationship pending exact item-name normalization,Faction NPC quest drop,Core,Low-Medium,https://eqlwiki.com/Toxxulia_Forest,,,Yes,4,,,,,Unverified,Unverified,Research placeholder — Exact item name requires normalization,Add,Yes,No,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Toxxulia_Forest,,2026-07-22,,,No applicable official item-specific statement found,Yes,"Direct zone/NPC/item, quest, or ground-spawn linkage where documented",Verification state unclear,No public direct observation found,D,NPC/quest relationship known; exact item identity unresolved,Exact item name unresolved,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B10-KER-001,10,Odus,Kerra Island,Cat o' Nine Tails,Weapon / proc item,Primary / Secondary,Yes,No,Yes,,,,,,,,9 damage / 36 delay,9,36,1HS,Combat proc: Feet like Cat; level 20,Kerran Tiger Spahi,Unverified,,Kerran,,,,Faction-sensitive Kerran population,,,,,,Significant Kerran faction loss,,,,,,,,,,,High,Very High,Cat o' Nine Tails,Named Kerran proc weapon,Faction-sensitive outdoor drop,Core,High item / Medium level,https://eqlwiki.com/Kerra_Island,,,Yes,4,9 damage / 36 delay,9 damage / 36 delay,"WAR, PAL, RNG, SHD, BRD, ROG",,Unverified,Unverified,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Kerra_Island,,2026-07-22,,,No applicable official item-specific statement found,Yes,"Direct zone/NPC/item, quest, or ground-spawn linkage where documented",Verification state unclear,No public direct observation found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B10-KER-002,10,Odus,Kerra Island,Fishbone Necklace,Quest reward jewelry,Neck,Yes,No,,,,,,,,,AC 3; AGI +2,,,,,Rat Teeth quest,Quest reward,,,,,,Quest reward,,,,,,,,,,,,,,,,,,Medium-High,Fishbone Necklace,Notable Kerran quest necklace,Quest reward,Core,High,https://eqlwiki.com/Kerra_Island,,,Yes,4,AC 3; AGI +2,AC 3; AGI +2,,,Quest reward,Quest reward,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Kerra_Island,,2026-07-22,,,No applicable official item-specific statement found,Yes,"Direct zone/NPC/item, quest, or ground-spawn linkage where documented",Verification state unclear,No public direct observation found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
B10-KER-003,10,Odus,Kerra Island,Gorilla Hide Mask,Armor,Face,Yes,No,Yes,,,,,,,,AC 3; STR +2; AGI +3; CHA -8,,,,,Lord Gongo,20,,Gorilla,,,,Named outdoor gorilla,,,,,,,,,,,,,,,,,,High,Gorilla Hide Mask,Named stat face armor,Named outdoor drop,Core,High,https://eqlwiki.com/Kerra_Island,,,Yes,4,AC 3; STR +2; AGI +3; CHA -8,AC 3; STR +2; AGI +3; CHA -8,,,20,20,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Kerra_Island,,2026-07-22,,,No applicable official item-specific statement found,Yes,"Direct zone/NPC/item, quest, or ground-spawn linkage where documented",Verification state unclear,No public direct observation found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from EQL Wiki linkage; classic sources retained for later comparison.
