index,record_id,batch,continent,zone,item_name,item_category,slot,equippable,inventory_only,magic,lore,no_drop,quest_item,weight,size,classes_classic,races_classic,stats_raw,damage,delay,weapon_skill,proc_click_focus,source_npc,source_npc_level,source_npc_class,source_npc_race_type,placeholder,placeholder_level_range,nearby_enemy_level_range,spawn_type,spawn_location,respawn_timer,time_condition,special_abilities,social_or_add_risk,faction_consequences,drop_frequency,drop_rate_reported,drop_notes,era_status,tlp_status,legends_status,best_for_classes,best_for_archetypes,general_value_notes,personal_build_notes,effect_transfer_value,target_priority_general,duplicate_item_group,inclusion_reason,source_scope,core_or_supplemental,data_confidence,source_primary,source_secondary,research_notes,approved,revision,stats_classic,stats_eql,classes_eql,races_eql,source_npc_level_classic,source_npc_level_eql,eql_verification_status,eql_audit_action,eql_npc_confirmed,eql_item_confirmed,eql_drop_source_confirmed,eql_stats_match,eql_classes_match,eql_races_match,eql_effect_match,eql_spawn_match,eql_era_status,eql_wiki_source,eql_official_source,eql_last_checked,eql_changes_summary,eql_verification_notes,official_override_status,official_source_checked,eql_wiki_listing_status,eql_wiki_verification_state,current_build_confirmed,evidence_grade,evidence_strength,conflict_status,classic_original_launch,classic_historical_era,last_directly_observed,primary_evidence_layer,per_field_provenance_notes,schema_version,record_type,record_status,source_record_id,canonical_record_id,parent_record_id,related_record_ids,display_default,searchable,record_notes,faction_risk_level,faction_hits_known,faction_gains_known,city_access_risk,merchant_access_risk,quest_access_risk,initial_disposition,protected_npc_type,faction_behavior_notes,creature_family,creature_subfamily,normalized_source_name,source_name_aliases,shared_loot_family,family_faction,family_hostility,family_zone_scope,source_variant_notes,zone_type,zone_subarea,zone_wing,zone_floor,camp_or_room,location_coordinates,location_description,navigation_notes,escape_or_exit_risk,environmental_hazards,encounter_name,encounter_type,encounter_tier,encounter_group_size,encounter_raid_size,encounter_difficulty,encounter_trigger,encounter_scripted,encounter_phases,encounter_adds,encounter_failure_condition,encounter_reset_behavior,encounter_notes,placeholder_npc,placeholder_cycle,spawn_probability,spawn_count,spawn_window,respawn_variance,despawn_condition,spawn_dependencies,spawn_guaranteed,spawn_mechanics_notes,instance_status,instance_type,instance_name,instance_entry_method,instance_reuse_timer,loot_lockout_type,loot_lockout_duration,lockout_scope,lockout_applies_per_npc,lockout_applies_per_instance,lockout_bypass_conditions,instance_notes,loot_delivery_method,loot_container_name,loot_table_name,loot_table_tier,loot_pool_type,loot_roll_type,loot_quantity_min,loot_quantity_max,loot_slots_reported,loot_selection_behavior,shared_loot_notes,currency_drop,loot_delivery_notes,drop_rate_type,drop_rate_numerator,drop_rate_denominator,drop_rate_sample_size,drop_rate_pool_probability,drop_rate_item_probability,drop_rate_source,drop_rate_confidence,drop_rate_conditions,access_requirement,access_key_item,access_key_consumed,access_quest,minimum_recommended_level,minimum_group_size,minimum_raid_size,class_role_requirements,door_or_lock_requirement,levitation_required,underwater_required,resist_requirements,corpse_recovery_difficulty,bind_or_reentry_notes,access_notes,encounter_hp,encounter_ac,damage_per_hit_min,damage_per_hit_max,attacks_per_round,aoe_effects,single_target_effects,debuffs,summons_players,enrages,rampage,flurry,banishes,mem_blur,charm,fear,death_touch,resist_profile,immunity_profile,combat_mechanics_notes,raid_target,raid_classification,raid_progression_role,raid_prerequisite,contested_status,racing_or_engagement_rules,racing_line,open_world_competition,recommended_composition,raid_notes,quest_name,quest_step,quest_role,epic_class,progression_category,required_for_access,required_for_spawn,required_for_turn_in,reward_type,quest_dependency_notes,content_availability,availability_context,availability_start,availability_end,availability_condition,beta_availability_status,launch_availability_status,instance_availability_status,compatibility_action,compatibility_reason,custom_tags,alternate_names,content_group_id,data_extension_json
1,B21-MMC-001,21,Faydwer,Mistmoore Castle,Bloodstone Eyepatch,Armor,FACE,Yes,No,Yes,,,,0.1,SMALL,ALL except NEC WIZ MAG ENC,ALL,AC 4; WIS +3; AGI +3,,,,,an imp familiar,29-35,Summoned Familiar,Summoned Creature,,,,Rare spawn,Imp familiar camp,,,,,,,,,Classic Era,,Current EQL Wiki-listed,,,,,,,,"Notable equipment, quest item, utility item, or progression relationship.",Zone-specific,Core,Medium,https://eqlwiki.com/Mistmoore_Castle,https://wiki.project1999.com/Mistmoore_Castle,,Yes,1,AC 4; WIS +3; AGI +3,AC 4; WIS +3; AGI +3,ALL except NEC WIZ MAG ENC,ALL,29-35,29-35,Current EQL Wiki-listed; direct-build unconfirmed,Add,Wiki,Wiki,Wiki,No identified change,No identified change,No identified change,No identified change,Unverified,Classic-retained,https://eqlwiki.com/Mistmoore_Castle,,2026-07-28,,,,Yes,Listed,Current Wiki evidence,No,C,Current EQL Wiki item/zone listing with classic comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki zone/item/NPC pages; classic fields from Project 1999/classic-era baseline.,EQL-LOOT-1.0,loot,Active,,B21-MMC-001,,,Yes,Yes,,,Agents of Mistmoore -30; Mayong Mistmoore -30,King Tearis Thex +10; League of Antonican Bards +10; Ring of Scale +10,,,,Hostile,,,Summoned Creature,,an imp familiar,,,Agents of Mistmoore / Mayong Mistmoore,Hostile,Mistmoore Castle,,Open-world indoor/outdoor dungeon,Graveyard,,,Imp familiar camp,,,,,,an imp familiar,Named / notable source,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Current EQL beta-era content,,,,Confirmed,Unconfirmed,,,,,,B21-MMC,
2,B21-MMC-002,21,Faydwer,Mistmoore Castle,Sacrificial Dagger,Weapon,PRIMARY SECONDARY,Yes,No,Yes,,,,2.5,MEDIUM,ALL except CLR PAL DRU MNK SHM,ALL,INT +5; BACKSTAB +5,5,21,Piercing,,an imp familiar,29-35,Summoned Familiar,Summoned Creature,,,,Rare spawn,Imp familiar camp,,,,,,,,,Classic Era,,Current EQL Wiki-listed,,,Weapon ratio 0.238,,,,,"Notable equipment, quest item, utility item, or progression relationship.",Zone-specific,Core,Medium,https://eqlwiki.com/Mistmoore_Castle,https://wiki.project1999.com/Mistmoore_Castle,,Yes,1,,INT +5; BACKSTAB +5,ALL except CLR PAL DRU MNK SHM,ALL,29-35,29-35,Current EQL Wiki-listed; direct-build unconfirmed,Add,Wiki,Wiki,Wiki,Changed,No identified change,No identified change,No identified change,Unverified,Classic-retained with EQL changes,https://eqlwiki.com/Mistmoore_Castle,,2026-07-28,Probable EQL stat addition: Backstab +5.,,,Yes,Listed,Current Wiki evidence,No,C,Current EQL Wiki item/zone listing with classic comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki zone/item/NPC pages; classic fields from Project 1999/classic-era baseline.,EQL-LOOT-1.0,loot,Active,,B21-MMC-002,,,Yes,Yes,,,Agents of Mistmoore -30; Mayong Mistmoore -30,King Tearis Thex +10; League of Antonican Bards +10; Ring of Scale +10,,,,Hostile,,,Summoned Creature,,an imp familiar,,,Agents of Mistmoore / Mayong Mistmoore,Hostile,Mistmoore Castle,,Open-world indoor/outdoor dungeon,Graveyard,,,Imp familiar camp,,,,,,an imp familiar,Named / notable source,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Current EQL beta-era content,,,,Confirmed,Unconfirmed,,,,,,B21-MMC,
3,B21-MMC-003,21,Faydwer,Mistmoore Castle,Crested Mistmoore Shield,Shield,SECONDARY,Yes,No,Yes,Yes,,,6.5,MEDIUM,WAR CLR PAL RNG SHD DRU BRD ROG SHM,ALL,AC 10; DEX +6; SV DISEASE +10; SV MAGIC +10; SV POISON +10,,,,,a glyphed ghoul,27-32,Warrior,Undead Ghoul,,,,,Glyphed ghoul camp,,,,,,,,,Classic Era,,Current EQL Wiki-listed,,,,,,,,"Notable equipment, quest item, utility item, or progression relationship.",Zone-specific,Core,Medium,https://eqlwiki.com/Mistmoore_Castle,https://wiki.project1999.com/Mistmoore_Castle,,Yes,1,AC 10; DEX +6; SV DISEASE +10; SV MAGIC +10; SV POISON +10,AC 10; DEX +6; SV DISEASE +10; SV MAGIC +10; SV POISON +10,WAR CLR PAL RNG SHD DRU BRD ROG SHM,ALL,27-32,27-32,Current EQL Wiki-listed; direct-build unconfirmed,Add,Wiki,Wiki,Wiki,No identified change,No identified change,No identified change,No identified change,,Classic-retained,https://eqlwiki.com/Mistmoore_Castle,,2026-07-28,,,,Yes,Listed,Current Wiki evidence,No,C,Current EQL Wiki item/zone listing with classic comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki zone/item/NPC pages; classic fields from Project 1999/classic-era baseline.,EQL-LOOT-1.0,loot,Active,,B21-MMC-003,,,Yes,Yes,,,Agents of Mistmoore -30; Mayong Mistmoore -30,King Tearis Thex +10; League of Antonican Bards +10; Ring of Scale +10,,,,Hostile,,,Undead Ghoul,,a glyphed ghoul,,,Agents of Mistmoore / Mayong Mistmoore,Hostile,Mistmoore Castle,,Open-world indoor/outdoor dungeon,Graveyard,,,Glyphed ghoul camp,,,,,,a glyphed ghoul,Named / notable source,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Current EQL beta-era content,,,,Confirmed,Unconfirmed,,,,,,B21-MMC,
4,B21-MMC-004,21,Faydwer,Mistmoore Castle,Crested Helm,Armor,HEAD,Yes,No,Yes,,,,5.0,SMALL,WAR CLR PAL RNG SHD BRD ROG,ALL except IKS,AC 10; STR +6; CHA +3,,,,,an avenging caitiff,30-33,Warrior,Undead Retainer,,,,Named / placeholder cycle,Jail stairs,23:00,,,,,,,,Classic Era,,Current EQL Wiki-listed,,,,,,,,"Notable equipment, quest item, utility item, or progression relationship.",Zone-specific,Core,Medium,https://eqlwiki.com/Mistmoore_Castle,https://wiki.project1999.com/Mistmoore_Castle,,Yes,1,AC 10; STR +6; CHA +3,AC 10; STR +6; CHA +3,WAR CLR PAL RNG SHD BRD ROG,ALL except IKS,30-33,30-33,Current EQL Wiki-listed; direct-build unconfirmed,Add,Wiki,Wiki,Wiki,No identified change,No identified change,No identified change,No identified change,Unverified,Classic-retained,https://eqlwiki.com/Mistmoore_Castle,,2026-07-28,,,,Yes,Listed,Current Wiki evidence,No,C,Current EQL Wiki item/zone listing with classic comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki zone/item/NPC pages; classic fields from Project 1999/classic-era baseline.,EQL-LOOT-1.0,loot,Active,,B21-MMC-004,,,Yes,Yes,,,,,,,,Hostile,,,Undead Retainer,,an avenging caitiff,,,Faction exception under audit,Hostile,Mistmoore Castle,,Open-world indoor/outdoor dungeon,Castle lower level,,,Jail stairs,,,,,,an avenging caitiff,Named / notable source,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Current EQL beta-era content,,,,Confirmed,Unconfirmed,,,,,,B21-MMC,
5,B21-MMC-005,21,Faydwer,Mistmoore Castle,Crested Spaulders,Armor,SHOULDERS,Yes,No,Yes,,,,4.5,SMALL,WAR CLR PAL RNG SHD BRD ROG,ALL,AC 11; STA +6,,,,,an avenging caitiff,30-33,Warrior,Undead Retainer,,,,Named / placeholder cycle,Jail stairs,23:00,,,,,,,,Classic Era,,Current EQL Wiki-listed,,,,,,,,"Notable equipment, quest item, utility item, or progression relationship.",Zone-specific,Core,Medium,https://eqlwiki.com/Mistmoore_Castle,https://wiki.project1999.com/Mistmoore_Castle,,Yes,1,AC 11; STA +6,AC 11; STA +6,WAR CLR PAL RNG SHD BRD ROG,ALL,30-33,30-33,Current EQL Wiki-listed; direct-build unconfirmed,Add,Wiki,Wiki,Wiki,No identified change,No identified change,No identified change,No identified change,Unverified,Classic-retained,https://eqlwiki.com/Mistmoore_Castle,,2026-07-28,,,,Yes,Listed,Current Wiki evidence,No,C,Current EQL Wiki item/zone listing with classic comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki zone/item/NPC pages; classic fields from Project 1999/classic-era baseline.,EQL-LOOT-1.0,loot,Active,,B21-MMC-005,,,Yes,Yes,,,,,,,,Hostile,,,Undead Retainer,,an avenging caitiff,,,Faction exception under audit,Hostile,Mistmoore Castle,,Open-world indoor/outdoor dungeon,Castle lower level,,,Jail stairs,,,,,,an avenging caitiff,Named / notable source,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Current EQL beta-era content,,,,Confirmed,Unconfirmed,,,,,,B21-MMC,
6,B21-MMC-006,21,Faydwer,Mistmoore Castle,Hooded Black Cloak,Armor,BACK,Yes,No,Yes,Yes,,,2.5,MEDIUM,ALL,ALL,AC 10; STR +5; HP +45,,,,,a cloaked dhampyre,33,Shadow Knight,Undead Vampire,,,,Day/night-sensitive named,Fountain,22:00,Refreshes at approximately 06:00 and 20:00 game time,,,,,,,Classic Era,,Current EQL Wiki-listed,,,,,,,,"Notable equipment, quest item, utility item, or progression relationship.",Zone-specific,Core,Medium,https://eqlwiki.com/Mistmoore_Castle,https://wiki.project1999.com/Mistmoore_Castle,,Yes,1,AC 10; STR +5; HP +45,AC 10; STR +5; HP +45,ALL,ALL,33,33,Current EQL Wiki-listed; direct-build unconfirmed,Add,Wiki,Wiki,Wiki,No identified change,No identified change,No identified change,No identified change,Unverified,Classic-retained,https://eqlwiki.com/Mistmoore_Castle,,2026-07-28,,,,Yes,Listed,Current Wiki evidence,No,C,Current EQL Wiki item/zone listing with classic comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki zone/item/NPC pages; classic fields from Project 1999/classic-era baseline.,EQL-LOOT-1.0,loot,Active,,B21-MMC-006,,,Yes,Yes,,,Agents of Mistmoore -30; Mayong Mistmoore -30,King Tearis Thex +10; League of Antonican Bards +10; Ring of Scale +10,,,,Hostile,,,Undead Vampire,,a cloaked dhampyre,,,Agents of Mistmoore / Mayong Mistmoore,Hostile,Mistmoore Castle,,Open-world indoor/outdoor dungeon,Courtyard,,,Fountain,,,,,,a cloaked dhampyre,Named / notable source,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Current EQL beta-era content,,,,Confirmed,Unconfirmed,,,,,,B21-MMC,
7,B21-MMC-007,21,Faydwer,Mistmoore Castle,Noble's Robes,Armor,CHEST,Yes,No,Yes,Yes,,,5.2,MEDIUM,CLR NEC WIZ MAG ENC,HUM ERU HIE DEF GNM IKS,AC 6; CHA +5; SV FIRE +6; SV DISEASE +3; SV COLD +6; SV MAGIC +3; SV POISON +3,,,,,a fallen noble,28,Cleric,Undead Noble,,,,Rare / time-sensitive,,,,,,,,,,Classic Era,,Current EQL Wiki-listed,,,,,,,,"Notable equipment, quest item, utility item, or progression relationship.",Zone-specific,Core,Medium,https://eqlwiki.com/Mistmoore_Castle,https://wiki.project1999.com/Mistmoore_Castle,,Yes,1,AC 6; CHA +5; SV FIRE +6; SV DISEASE +3; SV COLD +6; SV MAGIC +3; SV POISON +3,AC 6; CHA +5; SV FIRE +6; SV DISEASE +3; SV COLD +6; SV MAGIC +3; SV POISON +3,CLR NEC WIZ MAG ENC,ALL,28,28,Current EQL Wiki-listed; direct-build unconfirmed,Add,Wiki,Wiki,Wiki,Changed,No identified change,Changed,No identified change,Unverified,Classic-retained with EQL changes,https://eqlwiki.com/Mistmoore_Castle,,2026-07-28,Current EQL race eligibility appears expanded to ALL.,,,Yes,Listed,Current Wiki evidence,No,C,Current EQL Wiki item/zone listing with classic comparison.,Race eligibility requires current item-page priority,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki zone/item/NPC pages; classic fields from Project 1999/classic-era baseline.,EQL-LOOT-1.0,loot,Active,,B21-MMC-007,,,Yes,Yes,,,,,,,,Hostile,,,Undead Noble,,a fallen noble,,,Agents of Mistmoore / Mayong Mistmoore,Hostile,Mistmoore Castle,,Open-world indoor/outdoor dungeon,Castle / night population,,,,,,,,,a fallen noble,Named / notable source,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Current EQL beta-era content,,,,Confirmed,Unconfirmed,,,,,,B21-MMC,
8,B21-MMC-008,21,Faydwer,Mistmoore Castle,Glowing Iron Pike,Weapon,PRIMARY,Yes,No,Yes,,,,8.0,LARGE,WAR RNG SHD BRD ROG,ALL,,9,36,Piercing,,Garton Viswin,34-36,Warrior,Humanoid Dark Elf,,,,,Garton tower,,,,,,,,,Classic Era,,Current EQL Wiki-listed,,,Weapon ratio 0.250,,,,,"Notable equipment, quest item, utility item, or progression relationship.",Zone-specific,Core,Medium,https://eqlwiki.com/Mistmoore_Castle,https://wiki.project1999.com/Mistmoore_Castle,,Yes,1,,,WAR RNG SHD BRD ROG,ALL,34-36,34-36,Current EQL Wiki-listed; direct-build unconfirmed,Add,Wiki,Wiki,Wiki,No identified change,No identified change,No identified change,No identified change,,Classic-retained,https://eqlwiki.com/Mistmoore_Castle,,2026-07-28,,,,Yes,Listed,Current Wiki evidence,No,C,Current EQL Wiki item/zone listing with classic comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki zone/item/NPC pages; classic fields from Project 1999/classic-era baseline.,EQL-LOOT-1.0,loot,Active,,B21-MMC-008,,,Yes,Yes,,,Agents of Mistmoore -30; Mayong Mistmoore -30,King Tearis Thex +10; League of Antonican Bards +10; Ring of Scale +10,,,,Hostile,,,Humanoid Dark Elf,,Garton Viswin,,,Agents of Mistmoore / Mayong Mistmoore,Hostile,Mistmoore Castle,,Open-world indoor/outdoor dungeon,Castle upper level,,,Garton tower,,,,,,Garton Viswin,Named / notable source,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Current EQL beta-era content,,,,Confirmed,Unconfirmed,,,,,,B21-MMC,
9,B21-MMC-009,21,Faydwer,Mistmoore Castle,Chestplate of the Dark Flame,Armor,CHEST,Yes,No,Yes,Yes,,,15.0,LARGE,WAR PAL SHD,ALL except IKS,AC 19; STR +9,,,,,Garton Viswin,34-36,Warrior,Humanoid Dark Elf,,,,,Garton tower,,,,,,,,,Classic Era,,Current EQL Wiki-listed,,,,,,,,"Notable equipment, quest item, utility item, or progression relationship.",Zone-specific,Core,Medium,https://eqlwiki.com/Mistmoore_Castle,https://wiki.project1999.com/Mistmoore_Castle,,Yes,1,AC 19; STR +9,AC 19; STR +9,WAR PAL SHD,ALL except IKS,34-36,34-36,Current EQL Wiki-listed; direct-build unconfirmed,Add,Wiki,Wiki,Wiki,No identified change,No identified change,No identified change,No identified change,,Classic-retained,https://eqlwiki.com/Mistmoore_Castle,,2026-07-28,,,,Yes,Listed,Current Wiki evidence,No,C,Current EQL Wiki item/zone listing with classic comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki zone/item/NPC pages; classic fields from Project 1999/classic-era baseline.,EQL-LOOT-1.0,loot,Active,,B21-MMC-009,,,Yes,Yes,,,Agents of Mistmoore -30; Mayong Mistmoore -30,King Tearis Thex +10; League of Antonican Bards +10; Ring of Scale +10,,,,Hostile,,,Humanoid Dark Elf,,Garton Viswin,,,Agents of Mistmoore / Mayong Mistmoore,Hostile,Mistmoore Castle,,Open-world indoor/outdoor dungeon,Castle upper level,,,Garton tower,,,,,,Garton Viswin,Named / notable source,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Current EQL beta-era content,,,,Confirmed,Unconfirmed,,,,,,B21-MMC,
10,B21-MMC-010,21,Faydwer,Mistmoore Castle,Cape of Midnight Mist,Jewelry,NECK,Yes,No,Yes,,,,0.1,SMALL,CLR DRU BRD SHM NEC WIZ MAG ENC,ALL,AC 2; STR +5; SV MAGIC +7,,,,Focus: Enhancement Haste I,Butler Syncall,32-35,Rogue / Vampire Servant,Undead Vampire,,,,Named with deathly usher placeholder,Butler servant area,,,,,,,,,Classic Era,,Current EQL Wiki-listed,,,,,,,,"Notable equipment, quest item, utility item, or progression relationship.",Zone-specific,Core,Medium,https://eqlwiki.com/Mistmoore_Castle,https://wiki.project1999.com/Mistmoore_Castle,,Yes,1,AC 2; STR +5; SV MAGIC +7,AC 2; STR +5; SV MAGIC +7,CLR DRU BRD SHM NEC WIZ MAG ENC,ALL,32-35,32-35,Current EQL Wiki-listed; direct-build unconfirmed,Add,Wiki,Wiki,Wiki,Changed,No identified change,No identified change,Changed,Unverified,Classic-retained with EQL changes,https://eqlwiki.com/Mistmoore_Castle,,2026-07-28,EQL focus addition: Enhancement Haste I.,,,Yes,Listed,Current Wiki evidence,No,C,Current EQL Wiki item/zone listing with classic comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki zone/item/NPC pages; classic fields from Project 1999/classic-era baseline.,EQL-LOOT-1.0,loot,Active,,B21-MMC-010,,,Yes,Yes,,,Agents of Mistmoore -30; Mayong Mistmoore -30,King Tearis Thex +10; League of Antonican Bards +10; Ring of Scale +10,,,,Hostile,,,Undead Vampire,,Butler Syncall,,,Agents of Mistmoore / Mayong Mistmoore,Hostile,Mistmoore Castle,,Open-world indoor/outdoor dungeon,Castle interior,,,Butler servant area,,,,,,Butler Syncall,Named / notable source,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Current EQL beta-era content,,,,Confirmed,Unconfirmed,,,,,,B21-MMC,
