index,record_id,batch,continent,zone,item_name,item_category,slot,equippable,inventory_only,magic,lore,no_drop,quest_item,weight,size,classes_classic,races_classic,stats_raw,damage,delay,weapon_skill,proc_click_focus,source_npc,source_npc_level,source_npc_class,source_npc_race_type,placeholder,placeholder_level_range,nearby_enemy_level_range,spawn_type,spawn_location,respawn_timer,time_condition,special_abilities,social_or_add_risk,faction_consequences,drop_frequency,drop_rate_reported,drop_notes,era_status,tlp_status,legends_status,best_for_classes,best_for_archetypes,general_value_notes,personal_build_notes,effect_transfer_value,target_priority_general,duplicate_item_group,inclusion_reason,source_scope,core_or_supplemental,data_confidence,source_primary,source_secondary,research_notes,approved,revision,stats_classic,stats_eql,classes_eql,races_eql,source_npc_level_classic,source_npc_level_eql,eql_verification_status,eql_audit_action,eql_npc_confirmed,eql_item_confirmed,eql_drop_source_confirmed,eql_stats_match,eql_classes_match,eql_races_match,eql_effect_match,eql_spawn_match,eql_era_status,eql_wiki_source,eql_official_source,eql_last_checked,eql_changes_summary,eql_verification_notes,official_override_status,official_source_checked,eql_wiki_listing_status,eql_wiki_verification_state,current_build_confirmed,evidence_grade,evidence_strength,conflict_status,classic_original_launch,classic_historical_era,last_directly_observed,primary_evidence_layer,per_field_provenance_notes,schema_version,record_type,record_status,source_record_id,canonical_record_id,parent_record_id,related_record_ids,display_default,searchable,record_notes,faction_risk_level,faction_hits_known,faction_gains_known,city_access_risk,merchant_access_risk,quest_access_risk,initial_disposition,protected_npc_type,faction_behavior_notes,creature_family,creature_subfamily,normalized_source_name,source_name_aliases,shared_loot_family,family_faction,family_hostility,family_zone_scope,source_variant_notes,zone_type,zone_subarea,zone_wing,zone_floor,camp_or_room,location_coordinates,location_description,navigation_notes,escape_or_exit_risk,environmental_hazards,encounter_name,encounter_type,encounter_tier,encounter_group_size,encounter_raid_size,encounter_difficulty,encounter_trigger,encounter_scripted,encounter_phases,encounter_adds,encounter_failure_condition,encounter_reset_behavior,encounter_notes,placeholder_npc,placeholder_cycle,spawn_probability,spawn_count,spawn_window,respawn_variance,despawn_condition,spawn_dependencies,spawn_guaranteed,spawn_mechanics_notes,instance_status,instance_type,instance_name,instance_entry_method,instance_reuse_timer,loot_lockout_type,loot_lockout_duration,lockout_scope,lockout_applies_per_npc,lockout_applies_per_instance,lockout_bypass_conditions,instance_notes,loot_delivery_method,loot_container_name,loot_table_name,loot_table_tier,loot_pool_type,loot_roll_type,loot_quantity_min,loot_quantity_max,loot_slots_reported,loot_selection_behavior,shared_loot_notes,currency_drop,loot_delivery_notes,drop_rate_type,drop_rate_numerator,drop_rate_denominator,drop_rate_sample_size,drop_rate_pool_probability,drop_rate_item_probability,drop_rate_source,drop_rate_confidence,drop_rate_conditions,access_requirement,access_key_item,access_key_consumed,access_quest,minimum_recommended_level,minimum_group_size,minimum_raid_size,class_role_requirements,door_or_lock_requirement,levitation_required,underwater_required,resist_requirements,corpse_recovery_difficulty,bind_or_reentry_notes,access_notes,encounter_hp,encounter_ac,damage_per_hit_min,damage_per_hit_max,attacks_per_round,aoe_effects,single_target_effects,debuffs,summons_players,enrages,rampage,flurry,banishes,mem_blur,charm,fear,death_touch,resist_profile,immunity_profile,combat_mechanics_notes,raid_target,raid_classification,raid_progression_role,raid_prerequisite,contested_status,racing_or_engagement_rules,racing_line,open_world_competition,recommended_composition,raid_notes,quest_name,quest_step,quest_role,epic_class,progression_category,required_for_access,required_for_spawn,required_for_turn_in,reward_type,quest_dependency_notes,content_availability,availability_context,availability_start,availability_end,availability_condition,beta_availability_status,launch_availability_status,instance_availability_status,compatibility_action,compatibility_reason,custom_tags,alternate_names,content_group_id,data_extension_json
1,B24B-UNDEAD-001,24B,Antonica,Lower Guk,Skull-shaped Barbute,Armor,HEAD,Yes,No,Yes,,,,5.0,SMALL,WAR CLR PAL SHD BRD,ALL,AC 13; HP +35; SV MAGIC +10,,,,,the ghoul lord,47,Shadowknight,Undead Froglok,Guk/Bok ghoul guards,,,,Ghoul Lord room,9:00 page-reported; conflicts with classic framework,,,,,,,,Classic / historical,,Current EQL Wiki-listed,,,,,,,,Notable exact-source undead-side equipment or container relationship.,Zone subdivision-specific,Core,High,https://eqlwiki.com/Category:Lower_Guk,https://wiki.project1999.com/Ruins_of_Old_Guk,,Yes,1,AC 13; HP +35; SV MAGIC +10,AC 13; HP +35; SV MAGIC +10,WAR CLR PAL SHD BRD,ALL,47,47,Current EQL Wiki-listed; direct-build confirmation incomplete,Add,Wiki,Wiki,Wiki,No identified change,No identified change,No identified change,No identified change,Encounter-specific page value / unresolved framework,Classic-retained,https://eqlwiki.com/Category:Lower_Guk,,2026-07-28,,,,Yes,Listed,Current Wiki evidence,No,B,Current EQL item/NPC evidence with classic Lower Guk comparison.,Major timer conflict,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki; classic fields from Project 1999/classic baseline; undead-side placement audited separately from live side.,EQL-LOOT-1.0,loot,Active,,B24B-UNDEAD-001,,,Yes,Yes,,,Undead Frogloks of Guk -30,Frogloks of Guk +10,,,,Hostile,,,Undead Froglok,,the ghoul lord,,,Undead Frogloks of Guk,Hostile,Lower Guk — Undead Side,,Open-world indoor dungeon,Lord wing,,,Ghoul Lord room,,,,,,the ghoul lord,Named / notable undead-side source,,,,,,,,,,,Classic timer: Approximately 28 minutes.,Guk/Bok ghoul guards,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Lower Guk undead-side content group; live side excluded,,,,Confirmed,Unconfirmed,,,,,,B24B-LGUK-UNDEAD,
2,B24B-UNDEAD-002,24B,Antonica,Lower Guk,Short Sword of the Ykesha,Weapon,PRIMARY SECONDARY,Yes,No,Yes,,,,4.5,MEDIUM,WAR PAL RNG SHD BRD ROG,ALL,,9,24,1H Slashing,Proc: Ykesha (level 37),the ghoul lord,47,Shadowknight,Undead Froglok,Guk/Bok ghoul guards,,,,Ghoul Lord room,9:00 page-reported; conflicts with classic framework,,,,,,,,Classic / historical,,Current EQL Wiki-listed,,,Weapon ratio 0.375,,,,,Notable exact-source undead-side equipment or container relationship.,Zone subdivision-specific,Core,High,https://eqlwiki.com/Category:Lower_Guk,https://wiki.project1999.com/Ruins_of_Old_Guk,,Yes,1,,,WAR PAL RNG SHD BRD ROG,ALL,47,47,Current EQL Wiki-listed; direct-build confirmation incomplete,Add,Wiki,Wiki,Wiki,No identified change,No identified change,No identified change,No identified change,Encounter-specific page value / unresolved framework,Classic-retained,https://eqlwiki.com/Category:Lower_Guk,,2026-07-28,,,,Yes,Listed,Current Wiki evidence,No,B,Current EQL item/NPC evidence with classic Lower Guk comparison.,Major timer conflict,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki; classic fields from Project 1999/classic baseline; undead-side placement audited separately from live side.,EQL-LOOT-1.0,loot,Active,,B24B-UNDEAD-002,,,Yes,Yes,,,Undead Frogloks of Guk -30,Frogloks of Guk +10,,,,Hostile,,,Undead Froglok,,the ghoul lord,,,Undead Frogloks of Guk,Hostile,Lower Guk — Undead Side,,Open-world indoor dungeon,Lord wing,,,Ghoul Lord room,,,,,,the ghoul lord,Named / notable undead-side source,,,,,,,,,,,Classic timer: Approximately 28 minutes.,Guk/Bok ghoul guards,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Lower Guk undead-side content group; live side excluded,,,,Confirmed,Unconfirmed,,,,,,B24B-LGUK-UNDEAD,
3,B24B-UNDEAD-003,24B,Antonica,Lower Guk,Shining Metallic Robes,Armor,CHEST,Yes,No,Yes,,,,3.5,MEDIUM,NEC WIZ MAG ENC,ALL,AC 10; INT +9; SV FIRE +8; SV COLD +8,,,,Focus: Spell Haste II,the ghoul arch magi,45,Wizard,Undead Froglok,Jin Ghoul Wizard / Kor Ghoul Wizard,,,,Arch Magi room,,,,,,,,,Classic / historical,,Current EQL Wiki-listed,,,,,,,,Notable exact-source undead-side equipment or container relationship.,Zone subdivision-specific,Core,High,https://eqlwiki.com/Category:Lower_Guk,https://wiki.project1999.com/Ruins_of_Old_Guk,,Yes,1,AC 10; INT +9; SV FIRE +8; SV COLD +8,AC 10; INT +9; SV FIRE +8; SV COLD +8,NEC WIZ MAG ENC,ALL,45,45,Current EQL Wiki-listed; direct-build confirmation incomplete,Add,Wiki,Wiki,Wiki,Changed or newly surfaced,No identified change,No identified change,Changed,Encounter-specific page value / unresolved framework,Classic-retained with EQL changes,https://eqlwiki.com/Category:Lower_Guk,,2026-07-28,EQL focus addition: Spell Haste II.,,,Yes,Listed,Current Wiki evidence,No,B,Current EQL item/NPC evidence with classic Lower Guk comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki; classic fields from Project 1999/classic baseline; undead-side placement audited separately from live side.,EQL-LOOT-1.0,loot,Active,,B24B-UNDEAD-003,,,Yes,Yes,,,Undead Frogloks of Guk -30,Frogloks of Guk +10,,,,Hostile,,,Undead Froglok,,the ghoul arch magi,,,Undead Frogloks of Guk,Hostile,Lower Guk — Undead Side,,Open-world indoor dungeon,Magi branch,,,Arch Magi room,,,,,,the ghoul arch magi,Named / notable undead-side source,,,,,,,,,,,,Jin Ghoul Wizard / Kor Ghoul Wizard,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,Enchanter Epic; Rogue Epic; Shiny Robe of the Underfoot,,Later quest dependencies; drop relationship stored separately,,,,,,,,Available,Lower Guk undead-side content group; live side excluded,,,,Confirmed,Unconfirmed,,,,,,B24B-LGUK-UNDEAD,
4,B24B-UNDEAD-004,24B,Antonica,Lower Guk,Silversilk Leggings,Armor,LEGS,Yes,No,Yes,,,,0.7,MEDIUM,CLR DRU BRD SHM NEC WIZ MAG ENC,ALL,AC 4; AGI +4; HP +12,,,,,the ghoul arch magi,45,Wizard,Undead Froglok,Jin Ghoul Wizard / Kor Ghoul Wizard,,,,Arch Magi room,,,,,,,,,Classic / historical,,Current EQL Wiki-listed,,,,,,,,Notable exact-source undead-side equipment or container relationship.,Zone subdivision-specific,Core,High,https://eqlwiki.com/Category:Lower_Guk,https://wiki.project1999.com/Ruins_of_Old_Guk,,Yes,1,AC 4; AGI +4; HP +12,AC 4; AGI +4; HP +12,CLR DRU BRD SHM NEC WIZ MAG ENC,ALL,45,45,Current EQL Wiki-listed; direct-build confirmation incomplete,Add,Wiki,Wiki,Wiki,No identified change,No identified change,No identified change,No identified change,Encounter-specific page value / unresolved framework,Classic-retained,https://eqlwiki.com/Category:Lower_Guk,,2026-07-28,,,,Yes,Listed,Current Wiki evidence,No,B,Current EQL item/NPC evidence with classic Lower Guk comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki; classic fields from Project 1999/classic baseline; undead-side placement audited separately from live side.,EQL-LOOT-1.0,loot,Active,,B24B-UNDEAD-004,,,Yes,Yes,,,Undead Frogloks of Guk -30,Frogloks of Guk +10,,,,Hostile,,,Undead Froglok,,the ghoul arch magi,,,Undead Frogloks of Guk,Hostile,Lower Guk — Undead Side,,Open-world indoor dungeon,Magi branch,,,Arch Magi room,,,,,,the ghoul arch magi,Named / notable undead-side source,,,,,,,,,,,,Jin Ghoul Wizard / Kor Ghoul Wizard,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Lower Guk undead-side content group; live side excluded,,,,Confirmed,Unconfirmed,,,,,,B24B-LGUK-UNDEAD,
5,B24B-UNDEAD-005,24B,Antonica,Lower Guk,Flowing Black Silk Sash,Armor,WAIST,Yes,No,Yes,Yes,,,0.1,SMALL,ALL,ALL,HASTE +21%,,,,,a frenzied ghoul,42,Warrior,Undead Froglok,,,,,Frenzied room,28:00 page-reported,,,,,,,,Classic / historical,,Current EQL Wiki-listed,,,,,,,,Notable exact-source undead-side equipment or container relationship.,Zone subdivision-specific,Core,High,https://eqlwiki.com/Category:Lower_Guk,https://wiki.project1999.com/Ruins_of_Old_Guk,,Yes,1,HASTE +21%,HASTE +21%,ALL,ALL,42,42,Current EQL Wiki-listed; direct-build confirmation incomplete,Add,Wiki,Wiki,Wiki,No identified change,No identified change,No identified change,No identified change,Encounter-specific page value / unresolved framework,Classic-retained,https://eqlwiki.com/Category:Lower_Guk,,2026-07-28,,,,Yes,Listed,Current Wiki evidence,No,B,Current EQL item/NPC evidence with classic Lower Guk comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki; classic fields from Project 1999/classic baseline; undead-side placement audited separately from live side.,EQL-LOOT-1.0,loot,Active,,B24B-UNDEAD-005,,,Yes,Yes,,,Undead Frogloks of Guk -30,Frogloks of Guk +10,,,,Hostile,,,Undead Froglok,,a frenzied ghoul,,,Undead Frogloks of Guk,Hostile,Lower Guk — Undead Side,,Open-world indoor dungeon,Frenzied branch,,,Frenzied room,,,,,,a frenzied ghoul,Named / notable undead-side source,,,,,,,,,,,Classic timer: Approximately 28 minutes.,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Lower Guk undead-side content group; live side excluded,,,,Confirmed,Unconfirmed,,,,,,B24B-LGUK-UNDEAD,
6,B24B-UNDEAD-006,24B,Antonica,Lower Guk,Moonstone Ring,Jewelry,FINGER,Yes,No,Yes,,,,0.1,TINY,ALL,ALL,STR +3; MANA +30,,,,Focus: Extended Range II,a frenzied ghoul,42,Warrior,Undead Froglok,,,,,Frenzied room,28:00 page-reported,,,,,,,,Classic / historical,,Current EQL Wiki-listed,,,,,,,,Notable exact-source undead-side equipment or container relationship.,Zone subdivision-specific,Core,High,https://eqlwiki.com/Category:Lower_Guk,https://wiki.project1999.com/Ruins_of_Old_Guk,,Yes,1,STR +3; MANA +30,STR +3; MANA +30,ALL,ALL,42,42,Current EQL Wiki-listed; direct-build confirmation incomplete,Add,Wiki,Wiki,Wiki,Changed or newly surfaced,No identified change,No identified change,Changed,Encounter-specific page value / unresolved framework,Classic-retained with EQL changes,https://eqlwiki.com/Category:Lower_Guk,,2026-07-28,EQL focus addition: Extended Range II.,,,Yes,Listed,Current Wiki evidence,No,B,Current EQL item/NPC evidence with classic Lower Guk comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki; classic fields from Project 1999/classic baseline; undead-side placement audited separately from live side.,EQL-LOOT-1.0,loot,Active,,B24B-UNDEAD-006,,,Yes,Yes,,,Undead Frogloks of Guk -30,Frogloks of Guk +10,,,,Hostile,,,Undead Froglok,,a frenzied ghoul,,,Undead Frogloks of Guk,Hostile,Lower Guk — Undead Side,,Open-world indoor dungeon,Frenzied branch,,,Frenzied room,,,,,,a frenzied ghoul,Named / notable undead-side source,,,,,,,,,,,Classic timer: Approximately 28 minutes.,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Lower Guk undead-side content group; live side excluded,,,,Confirmed,Unconfirmed,,,,,,B24B-LGUK-UNDEAD,
7,B24B-UNDEAD-007,24B,Antonica,Lower Guk,Adamantite Band,Jewelry,FINGER,Yes,No,Yes,,,,0.1,TINY,ALL,ALL,HP +75; SV MAGIC -10,,,,Focus: Summoning Haste I,a reanimated hand,39-41,Wizard,Reanimated Hand,,,,,Reanimated Hand room,,,,,,,,,Classic / historical,,Current EQL Wiki-listed,,,,,,,,Notable exact-source undead-side equipment or container relationship.,Zone subdivision-specific,Core,High,https://eqlwiki.com/Category:Lower_Guk,https://wiki.project1999.com/Ruins_of_Old_Guk,,Yes,1,HP +75; SV MAGIC -10,HP +75; SV MAGIC -10,ALL,ALL,39-41,39-41,Current EQL Wiki-listed; direct-build confirmation incomplete,Add,Wiki,Wiki,Wiki,Changed or newly surfaced,No identified change,No identified change,Changed,,Classic-retained with EQL changes,https://eqlwiki.com/Category:Lower_Guk,,2026-07-28,EQL focus addition: Summoning Haste I.,,,Yes,Listed,Current Wiki evidence,No,B,Current EQL item/NPC evidence with classic Lower Guk comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki; classic fields from Project 1999/classic baseline; undead-side placement audited separately from live side.,EQL-LOOT-1.0,loot,Active,,B24B-UNDEAD-007,,,Yes,Yes,,,Undead Frogloks of Guk -30,Frogloks of Guk +10,,,,Hostile,,,Reanimated Hand,,a reanimated hand,,,Undead Frogloks of Guk,Hostile,Lower Guk — Undead Side,,Open-world indoor dungeon,Hand branch,,,Reanimated Hand room,,,,,,a reanimated hand,Named / notable undead-side source,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,Call of Flame,,Later quest dependency,,,,,,,,Available,Lower Guk undead-side content group; live side excluded,,,,Confirmed,Unconfirmed,,,,,,B24B-LGUK-UNDEAD,
8,B24B-UNDEAD-008,24B,Antonica,Lower Guk,Embroidered Black Sleeves,Armor,ARMS,Yes,No,Yes,,,,0.4,SMALL,CLR DRU BRD SHM NEC WIZ MAG ENC,ALL,AC 4; HP +10; MANA +25,,,,Focus: Summoning Efficiency II,a ghoul ritualist,34,Necromancer,Undead Froglok,,,,,Ritualist room,Approximately 28 minutes,,,,,,,,Classic / historical,,Current EQL Wiki-listed,,,,,,,,Notable exact-source undead-side equipment or container relationship.,Zone subdivision-specific,Core,High,https://eqlwiki.com/Category:Lower_Guk,https://wiki.project1999.com/Ruins_of_Old_Guk,,Yes,1,AC 4; HP +10; MANA +25,AC 4; HP +10; MANA +25,CLR DRU BRD SHM NEC WIZ MAG ENC,ALL,34,34,Current EQL Wiki-listed; direct-build confirmation incomplete,Add,Wiki,Wiki,Wiki,Changed or newly surfaced,No identified change,No identified change,Changed,,Classic-retained with EQL changes,https://eqlwiki.com/Category:Lower_Guk,,2026-07-28,EQL focus addition: Summoning Efficiency II.,,,Yes,Listed,Current Wiki evidence,No,B,Current EQL item/NPC evidence with classic Lower Guk comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki; classic fields from Project 1999/classic baseline; undead-side placement audited separately from live side.,EQL-LOOT-1.0,loot,Active,,B24B-UNDEAD-008,,,Yes,Yes,,,Undead Frogloks of Guk -30,Frogloks of Guk +10,,,,Hostile,,,Undead Froglok,,a ghoul ritualist,,,Undead Frogloks of Guk,Hostile,Lower Guk — Undead Side,,Open-world indoor dungeon,Ritualist branch,,,Ritualist room,,,,,,a ghoul ritualist,Named / notable undead-side source,,,,,,,,,,,Classic timer: Approximately 28 minutes.,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Lower Guk undead-side content group; live side excluded,,,,Confirmed,Unconfirmed,,,,,,B24B-LGUK-UNDEAD,
9,B24B-UNDEAD-009,24B,Antonica,Lower Guk,Embroidered Black Cape,Armor,SHOULDERS,Yes,No,Yes,,,,0.3,SMALL,CLR DRU BRD SHM NEC WIZ MAG ENC,ALL,AC 4; HP +15; MANA +20,,,,,a ghoul ritualist,34,Necromancer,Undead Froglok,,,,,Ritualist room,Approximately 28 minutes,,,,,,,,Classic / historical,,Current EQL Wiki-listed,,,,,,,,Notable exact-source undead-side equipment or container relationship.,Zone subdivision-specific,Core,High,https://eqlwiki.com/Category:Lower_Guk,https://wiki.project1999.com/Ruins_of_Old_Guk,,Yes,1,AC 4; HP +15; MANA +20,AC 4; HP +15; MANA +20,CLR DRU BRD SHM NEC WIZ MAG ENC,ALL,34,34,Current EQL Wiki-listed; direct-build confirmation incomplete,Add,Wiki,Wiki,Wiki,No identified change,No identified change,No identified change,No identified change,,Classic-retained,https://eqlwiki.com/Category:Lower_Guk,,2026-07-28,,,,Yes,Listed,Current Wiki evidence,No,B,Current EQL item/NPC evidence with classic Lower Guk comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki; classic fields from Project 1999/classic baseline; undead-side placement audited separately from live side.,EQL-LOOT-1.0,loot,Active,,B24B-UNDEAD-009,,,Yes,Yes,,,Undead Frogloks of Guk -30,Frogloks of Guk +10,,,,Hostile,,,Undead Froglok,,a ghoul ritualist,,,Undead Frogloks of Guk,Hostile,Lower Guk — Undead Side,,Open-world indoor dungeon,Ritualist branch,,,Ritualist room,,,,,,a ghoul ritualist,Named / notable undead-side source,,,,,,,,,,,Classic timer: Approximately 28 minutes.,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Lower Guk undead-side content group; live side excluded,,,,Confirmed,Unconfirmed,,,,,,B24B-LGUK-UNDEAD,
10,B24B-UNDEAD-010,24B,Antonica,Lower Guk,Dark Mail Gauntlets,Armor,HANDS,Yes,No,Yes,,,,4.5,SMALL,WAR PAL RNG SHD BRD ROG,ALL,AC 10; DEX +5; MANA +50,,,,,a ghoul sentinel,42,Warrior,Undead Froglok,,,,,Ghoul Sentinel hallway,,,,,,,,,Classic / historical,,Current EQL Wiki-listed,,,,,,,,Notable exact-source undead-side equipment or container relationship.,Zone subdivision-specific,Core,High,https://eqlwiki.com/Category:Lower_Guk,https://wiki.project1999.com/Ruins_of_Old_Guk,,Yes,1,AC 10; DEX +5; MANA +50,AC 10; DEX +5; MANA +50,WAR PAL RNG SHD BRD ROG,ALL,42,42,Current EQL Wiki-listed; direct-build confirmation incomplete,Add,Wiki,Wiki,Wiki,No identified change,No identified change,No identified change,No identified change,,Classic-retained,https://eqlwiki.com/Category:Lower_Guk,,2026-07-28,,,,Yes,Listed,Current Wiki evidence,No,B,Current EQL item/NPC evidence with classic Lower Guk comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki; classic fields from Project 1999/classic baseline; undead-side placement audited separately from live side.,EQL-LOOT-1.0,loot,Active,,B24B-UNDEAD-010,,,Yes,Yes,,,Undead Frogloks of Guk -30,Frogloks of Guk +10,,,,Hostile,,,Undead Froglok,,a ghoul sentinel,,,Undead Frogloks of Guk,Hostile,Lower Guk — Undead Side,,Open-world indoor dungeon,Sentinel branch,,,Ghoul Sentinel hallway,,,,,,a ghoul sentinel,Named / notable undead-side source,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Lower Guk undead-side content group; live side excluded,,,,Confirmed,Unconfirmed,,,,,,B24B-LGUK-UNDEAD,
