index,record_id,batch,continent,zone,item_name,item_category,slot,equippable,inventory_only,magic,lore,no_drop,quest_item,weight,size,classes_classic,races_classic,stats_raw,damage,delay,weapon_skill,proc_click_focus,source_npc,source_npc_level,source_npc_class,source_npc_race_type,placeholder,placeholder_level_range,nearby_enemy_level_range,spawn_type,spawn_location,respawn_timer,time_condition,special_abilities,social_or_add_risk,faction_consequences,drop_frequency,drop_rate_reported,drop_notes,era_status,tlp_status,legends_status,best_for_classes,best_for_archetypes,general_value_notes,personal_build_notes,effect_transfer_value,target_priority_general,duplicate_item_group,inclusion_reason,source_scope,core_or_supplemental,data_confidence,source_primary,source_secondary,research_notes,approved,revision,stats_classic,stats_eql,classes_eql,races_eql,source_npc_level_classic,source_npc_level_eql,eql_verification_status,eql_audit_action,eql_npc_confirmed,eql_item_confirmed,eql_drop_source_confirmed,eql_stats_match,eql_classes_match,eql_races_match,eql_effect_match,eql_spawn_match,eql_era_status,eql_wiki_source,eql_official_source,eql_last_checked,eql_changes_summary,eql_verification_notes,official_override_status,official_source_checked,eql_wiki_listing_status,eql_wiki_verification_state,current_build_confirmed,evidence_grade,evidence_strength,conflict_status,classic_original_launch,classic_historical_era,last_directly_observed,primary_evidence_layer,per_field_provenance_notes,schema_version,record_type,record_status,source_record_id,canonical_record_id,parent_record_id,related_record_ids,display_default,searchable,record_notes,faction_risk_level,faction_hits_known,faction_gains_known,city_access_risk,merchant_access_risk,quest_access_risk,initial_disposition,protected_npc_type,faction_behavior_notes,creature_family,creature_subfamily,normalized_source_name,source_name_aliases,shared_loot_family,family_faction,family_hostility,family_zone_scope,source_variant_notes,zone_type,zone_subarea,zone_wing,zone_floor,camp_or_room,location_coordinates,location_description,navigation_notes,escape_or_exit_risk,environmental_hazards,encounter_name,encounter_type,encounter_tier,encounter_group_size,encounter_raid_size,encounter_difficulty,encounter_trigger,encounter_scripted,encounter_phases,encounter_adds,encounter_failure_condition,encounter_reset_behavior,encounter_notes,placeholder_npc,placeholder_cycle,spawn_probability,spawn_count,spawn_window,respawn_variance,despawn_condition,spawn_dependencies,spawn_guaranteed,spawn_mechanics_notes,instance_status,instance_type,instance_name,instance_entry_method,instance_reuse_timer,loot_lockout_type,loot_lockout_duration,lockout_scope,lockout_applies_per_npc,lockout_applies_per_instance,lockout_bypass_conditions,instance_notes,loot_delivery_method,loot_container_name,loot_table_name,loot_table_tier,loot_pool_type,loot_roll_type,loot_quantity_min,loot_quantity_max,loot_slots_reported,loot_selection_behavior,shared_loot_notes,currency_drop,loot_delivery_notes,drop_rate_type,drop_rate_numerator,drop_rate_denominator,drop_rate_sample_size,drop_rate_pool_probability,drop_rate_item_probability,drop_rate_source,drop_rate_confidence,drop_rate_conditions,access_requirement,access_key_item,access_key_consumed,access_quest,minimum_recommended_level,minimum_group_size,minimum_raid_size,class_role_requirements,door_or_lock_requirement,levitation_required,underwater_required,resist_requirements,corpse_recovery_difficulty,bind_or_reentry_notes,access_notes,encounter_hp,encounter_ac,damage_per_hit_min,damage_per_hit_max,attacks_per_round,aoe_effects,single_target_effects,debuffs,summons_players,enrages,rampage,flurry,banishes,mem_blur,charm,fear,death_touch,resist_profile,immunity_profile,combat_mechanics_notes,raid_target,raid_classification,raid_progression_role,raid_prerequisite,contested_status,racing_or_engagement_rules,racing_line,open_world_competition,recommended_composition,raid_notes,quest_name,quest_step,quest_role,epic_class,progression_category,required_for_access,required_for_spawn,required_for_turn_in,reward_type,quest_dependency_notes,content_availability,availability_context,availability_start,availability_end,availability_condition,beta_availability_status,launch_availability_status,instance_availability_status,compatibility_action,compatibility_reason,custom_tags,alternate_names,content_group_id,data_extension_json
1,B24A-LIVE-001,24A,Antonica,Lower Guk,Chrysoberyl Talisman,Jewelry,NECK,Yes,No,Yes,Yes,,,1.0,SMALL,ALL,ALL,AC 5; WIS +3; MANA +20,,,,Focus: Affliction Haste II,a minotaur elder,33,Cleric-like caster,Minotaur,,,,,Minotaur Elder pit,,,,,,,,,Classic / historical,,Current EQL Wiki-listed,,,,,,,,"Notable exact-source live-side equipment, container, or progression relationship.",Zone subdivision-specific,Core,Medium,https://eqlwiki.com/Category:Lower_Guk,https://wiki.project1999.com/Ruins_of_Old_Guk,,Yes,1,AC 5; WIS +3; MANA +20,AC 5; WIS +3; MANA +20,ALL,ALL,33,33,Current EQL Wiki-listed; direct-build confirmation incomplete,Add,Wiki,Wiki,Historical plus current indexing,Changed,No identified change,No identified change,Changed,,Classic-retained with EQL changes,https://eqlwiki.com/Category:Lower_Guk,,2026-07-28,EQL focus addition: Affliction Haste II.,,,Yes,Listed,Current Wiki evidence,No,C,Current EQL Wiki item/NPC/category evidence with Project 1999 historical comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki; classic fields from Project 1999/classic baseline; live-side placement audited separately from undead side.,EQL-LOOT-1.0,loot,Active,,B24A-LIVE-001,,,Yes,Yes,,,Frogloks of Guk -30,,,,,Hostile,,,Minotaur,,a minotaur elder,,,Frogloks of Guk,Hostile,Lower Guk — Live Side,,Open-world indoor dungeon,Elder branch,,,Minotaur Elder pit,,,,,,a minotaur elder,Named / notable live-side source,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Lower Guk live-side content group; undead side excluded,,,,Confirmed,Unconfirmed,,,,,,B24A-LGUK-LIVE,
2,B24A-LIVE-002,24A,Antonica,Lower Guk,Carved Ivory Mask,Armor,FACE,Yes,No,Yes,,,,0.9,SMALL,ALL,ALL,AC 2; AGI +4; HP +10,,,,Focus: Reanimation Haste I,a minotaur elder,33,Cleric-like caster,Minotaur,,,,,Minotaur Elder pit,,,,,,,,,Classic / historical,,Current EQL Wiki-listed,,,,,,,,"Notable exact-source live-side equipment, container, or progression relationship.",Zone subdivision-specific,Core,Medium,https://eqlwiki.com/Category:Lower_Guk,https://wiki.project1999.com/Ruins_of_Old_Guk,,Yes,1,AC 2; AGI +4; HP +10,AC 2; AGI +4; HP +10,ALL,ALL,33,33,Current EQL Wiki-listed; direct-build confirmation incomplete,Add,Wiki,Wiki,Historical plus current indexing,Changed,No identified change,No identified change,Changed,,Classic-retained with EQL changes,https://eqlwiki.com/Category:Lower_Guk,,2026-07-28,EQL focus addition: Reanimation Haste I.,,,Yes,Listed,Current Wiki evidence,No,C,Current EQL Wiki item/NPC/category evidence with Project 1999 historical comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki; classic fields from Project 1999/classic baseline; live-side placement audited separately from undead side.,EQL-LOOT-1.0,loot,Active,,B24A-LIVE-002,,,Yes,Yes,,,Frogloks of Guk -30,,,,,Hostile,,,Minotaur,,a minotaur elder,,,Frogloks of Guk,Hostile,Lower Guk — Live Side,,Open-world indoor dungeon,Elder branch,,,Minotaur Elder pit,,,,,,a minotaur elder,Named / notable live-side source,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Lower Guk live-side content group; undead side excluded,,,,Confirmed,Unconfirmed,,,,,,B24A-LGUK-LIVE,
3,B24A-LIVE-003,24A,Antonica,Lower Guk,Azure Sleeves,Armor,ARMS,Yes,No,Yes,,,,0.6,SMALL,ALL,ALL,AC 12,,,,Focus: Improved Damage I,a minotaur patriarch,34,Ranger,Minotaur,,,,,Minotaur Patriarch route,Approximately 28 minutes,,,,,,,,Classic / historical,,Current EQL Wiki-listed,,,,,,,,"Notable exact-source live-side equipment, container, or progression relationship.",Zone subdivision-specific,Core,High,https://eqlwiki.com/Category:Lower_Guk,https://wiki.project1999.com/Ruins_of_Old_Guk,,Yes,1,AC 12,AC 12,ALL,ALL,34,34,Current EQL Wiki-listed; direct-build confirmation incomplete,Add,Wiki,Wiki,Wiki,Changed,No identified change,No identified change,Changed,Current page-listed / unresolved details,Classic-retained with EQL changes,https://eqlwiki.com/Category:Lower_Guk,,2026-07-28,EQL focus addition: Improved Damage I.,,,Yes,Listed,Current Wiki evidence,No,B,Current EQL Wiki item/NPC/category evidence with Project 1999 historical comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki; classic fields from Project 1999/classic baseline; live-side placement audited separately from undead side.,EQL-LOOT-1.0,loot,Active,,B24A-LIVE-003,,,Yes,Yes,,,Frogloks of Guk -30,,,,,Hostile,,,Minotaur,,a minotaur patriarch,,,Frogloks of Guk,Hostile,Lower Guk — Live Side,,Open-world indoor dungeon,Minotaur maze,,,Minotaur Patriarch route,,,,,,a minotaur patriarch,Named / notable live-side source,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Lower Guk live-side content group; undead side excluded,,,,Confirmed,Unconfirmed,,,,,,B24A-LGUK-LIVE,
4,B24A-LIVE-004,24A,Antonica,Lower Guk,Ebony Bladed Sword,Weapon,PRIMARY SECONDARY,Yes,No,Yes,,,,2.0,MEDIUM,RNG,HUM ELF HEF HFL,,7,24,1H Slashing,Proc: Ensnaring Roots (level 25),a minotaur patriarch,34,Ranger,Minotaur,,,,,Minotaur Patriarch route,Approximately 28 minutes,,,,,,,,Classic / historical,,Current EQL Wiki-listed,,,Weapon ratio 0.292,,,,,"Notable exact-source live-side equipment, container, or progression relationship.",Zone subdivision-specific,Core,High,https://eqlwiki.com/Category:Lower_Guk,https://wiki.project1999.com/Ruins_of_Old_Guk,,Yes,1,,,RNG,HUM ELF HEF HFL,34,34,Current EQL Wiki-listed; direct-build confirmation incomplete,Add,Wiki,Wiki,Wiki,No identified change,No identified change,No identified change,No identified change,Current page-listed / unresolved details,Classic-retained,https://eqlwiki.com/Category:Lower_Guk,,2026-07-28,,,,Yes,Listed,Current Wiki evidence,No,B,Current EQL Wiki item/NPC/category evidence with Project 1999 historical comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki; classic fields from Project 1999/classic baseline; live-side placement audited separately from undead side.,EQL-LOOT-1.0,loot,Active,,B24A-LIVE-004,,,Yes,Yes,,,Frogloks of Guk -30,,,,,Hostile,,,Minotaur,,a minotaur patriarch,,,Frogloks of Guk,Hostile,Lower Guk — Live Side,,Open-world indoor dungeon,Minotaur maze,,,Minotaur Patriarch route,,,,,,a minotaur patriarch,Named / notable live-side source,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Lower Guk live-side content group; undead side excluded,,,,Confirmed,Unconfirmed,,,,,,B24A-LGUK-LIVE,
5,B24A-LIVE-005,24A,Antonica,Lower Guk,Silver-Plated Leggings,Armor,LEGS,Yes,No,,,,,5.5,MEDIUM,WAR CLR PAL RNG SHD BRD ROG SHM,ALL except IKS,AC 10; STR +3; AGI +5,,,,,a froglok yun priest,38,Cleric,Froglok,,,,,Yun Priest middle floor,,,,,,,,,Classic / historical,,Current EQL Wiki-listed,,,,,,,,"Notable exact-source live-side equipment, container, or progression relationship.",Zone subdivision-specific,Core,High,https://eqlwiki.com/Category:Lower_Guk,https://wiki.project1999.com/Ruins_of_Old_Guk,,Yes,1,AC 10; STR +3; AGI +5,AC 10; STR +3; AGI +5,WAR CLR PAL RNG SHD BRD ROG SHM,ALL except IKS,38,38,Current EQL Wiki-listed; direct-build confirmation incomplete,Add,Wiki,Wiki,Wiki,No identified change,No identified change,No identified change,No identified change,,Classic-retained,https://eqlwiki.com/Category:Lower_Guk,,2026-07-28,,,,Yes,Listed,Current Wiki evidence,No,B,Current EQL Wiki item/NPC/category evidence with Project 1999 historical comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki; classic fields from Project 1999/classic baseline; live-side placement audited separately from undead side.,EQL-LOOT-1.0,loot,Active,,B24A-LIVE-005,,,Yes,Yes,,,Frogloks of Guk -30,,,,,Hostile,,,Froglok,,a froglok yun priest,,,Frogloks of Guk,Hostile,Lower Guk — Live Side,,Open-world indoor dungeon,Live Keep,,,Yun Priest middle floor,,,,,,a froglok yun priest,Named / notable live-side source,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Lower Guk live-side content group; undead side excluded,,,,Confirmed,Unconfirmed,,,,,,B24A-LGUK-LIVE,
6,B24A-LIVE-006,24A,Antonica,Lower Guk,Amethyst Bracelet,Armor,WRIST,Yes,No,Yes,,,,0.8,SMALL,ALL,ALL,AC 5; WIS +3; HP +15,,,,Focus: Reagent Conservation II,a froglok yun priest,38,Cleric,Froglok,,,,,Yun Priest middle floor,,,,,,,,,Classic / historical,,Current EQL Wiki-listed,,,,,,,,"Notable exact-source live-side equipment, container, or progression relationship.",Zone subdivision-specific,Core,High,https://eqlwiki.com/Category:Lower_Guk,https://wiki.project1999.com/Ruins_of_Old_Guk,,Yes,1,AC 5; WIS +3; HP +15,AC 5; WIS +3; HP +15,ALL,ALL,38,38,Current EQL Wiki-listed; direct-build confirmation incomplete,Add,Wiki,Wiki,Wiki,Changed,No identified change,No identified change,Changed,,Classic-retained with EQL changes,https://eqlwiki.com/Category:Lower_Guk,,2026-07-28,EQL focus addition: Reagent Conservation II.,,,Yes,Listed,Current Wiki evidence,No,B,Current EQL Wiki item/NPC/category evidence with Project 1999 historical comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki; classic fields from Project 1999/classic baseline; live-side placement audited separately from undead side.,EQL-LOOT-1.0,loot,Active,,B24A-LIVE-006,,,Yes,Yes,,,Frogloks of Guk -30,,,,,Hostile,,,Froglok,,a froglok yun priest,,,Frogloks of Guk,Hostile,Lower Guk — Live Side,,Open-world indoor dungeon,Live Keep,,,Yun Priest middle floor,,,,,,a froglok yun priest,Named / notable live-side source,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Lower Guk live-side content group; undead side excluded,,,,Confirmed,Unconfirmed,,,,,,B24A-LGUK-LIVE,
7,B24A-LIVE-007,24A,Antonica,Lower Guk,Mithril-Runed Tunic,Armor,CHEST,Yes,No,Yes,,,,2.5,MEDIUM,ALL except NEC WIZ MAG ENC,ALL,AC 10; STA +3; WIS +5,,,,Focus: Spell Haste II,a froglok crusader,,Paladin,Froglok,,,,,Crusader lower floor,,,,,,,,,Classic / historical,,Current EQL Wiki-listed,,,,,,,,"Notable exact-source live-side equipment, container, or progression relationship.",Zone subdivision-specific,Core,High,https://eqlwiki.com/Category:Lower_Guk,https://wiki.project1999.com/Ruins_of_Old_Guk,,Yes,1,AC 10; STA +3; WIS +5,AC 10; STA +3; WIS +5,ALL except NEC WIZ MAG ENC,ALL,,,Current EQL Wiki-listed; direct-build confirmation incomplete,Add,Wiki,Wiki,Wiki,Changed,No identified change,No identified change,Changed,,Classic-retained with EQL changes,https://eqlwiki.com/Category:Lower_Guk,,2026-07-28,EQL focus addition: Spell Haste II.,,,Yes,Listed,Current Wiki evidence,No,B,Current EQL Wiki item/NPC/category evidence with Project 1999 historical comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki; classic fields from Project 1999/classic baseline; live-side placement audited separately from undead side.,EQL-LOOT-1.0,loot,Active,,B24A-LIVE-007,,,Yes,Yes,,,Frogloks of Guk -30,,,,,Hostile,,,Froglok,,a froglok crusader,,,Frogloks of Guk,Hostile,Lower Guk — Live Side,,Open-world indoor dungeon,Live Keep,,,Crusader lower floor,,,,,,a froglok crusader,Named / notable live-side source,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Lower Guk live-side content group; undead side excluded,,,,Confirmed,Unconfirmed,,,,,,B24A-LGUK-LIVE,
8,B24A-LIVE-008,24A,Antonica,Lower Guk,Crown of the Froglok Kings,Armor,HEAD,Yes,No,Yes,Yes,,,0.5,SMALL,ALL,ALL,AC 12; SV FIRE +20; SV COLD +20,,,,,the froglok king,47,Paladin,Froglok,High-rank Guk guards / King-room cycle,,,,Froglok King room,Approximately 28 minutes,,,,,,,,Classic / historical,,Current EQL Wiki-listed,,,,,,,,"Notable exact-source live-side equipment, container, or progression relationship.",Zone subdivision-specific,Core,High,https://eqlwiki.com/Category:Lower_Guk,https://wiki.project1999.com/Ruins_of_Old_Guk,,Yes,1,AC 12; SV FIRE +20; SV COLD +20,AC 12; SV FIRE +20; SV COLD +20,ALL,ALL,47,47,Current EQL Wiki-listed; direct-build confirmation incomplete,Add,Wiki,Wiki,Wiki,No identified change,No identified change,No identified change,No identified change,Current page-listed / unresolved details,Classic-retained,https://eqlwiki.com/Category:Lower_Guk,,2026-07-28,,,,Yes,Listed,Current Wiki evidence,No,B,Current EQL Wiki item/NPC/category evidence with Project 1999 historical comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki; classic fields from Project 1999/classic baseline; live-side placement audited separately from undead side.,EQL-LOOT-1.0,loot,Active,,B24A-LIVE-008,,,Yes,Yes,,,Frogloks of Guk -30,,,,,Hostile,,,Froglok,,the froglok king,,,Frogloks of Guk,Hostile,Lower Guk — Live Side,,Open-world indoor dungeon,King wing,,,Froglok King room,,,,,,the froglok king,Named / notable live-side source,,,,,,,,,,,,High-rank Guk guards / King-room cycle,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Lower Guk live-side content group; undead side excluded,,,,Confirmed,Unconfirmed,,,,,,B24A-LGUK-LIVE,
9,B24A-LIVE-009,24A,Antonica,Lower Guk,Mithril Two-Handed Sword,Weapon,PRIMARY,Yes,No,Yes,Yes,,,8.5,LARGE,WAR PAL SHD,ALL,HASTE +31%,21,40,2H Slashing,,the froglok king,47,Paladin,Froglok,High-rank Guk guards / King-room cycle,,,,Froglok King room,Approximately 28 minutes,,,,,,,,Classic / historical,,Current EQL Wiki-listed,,,Weapon ratio 0.525,,,,,"Notable exact-source live-side equipment, container, or progression relationship.",Zone subdivision-specific,Core,High,https://eqlwiki.com/Category:Lower_Guk,https://wiki.project1999.com/Ruins_of_Old_Guk,,Yes,1,,HASTE +31%,WAR PAL SHD,ALL,47,47,Current EQL Wiki-listed; direct-build confirmation incomplete,Add,Wiki,Wiki,Wiki,Changed,No identified change,No identified change,No identified change,Current page-listed / unresolved details,Classic-retained with EQL changes,https://eqlwiki.com/Category:Lower_Guk,,2026-07-28,Current EQL item carries Haste +31%.,,,Yes,Listed,Current Wiki evidence,No,B,Current EQL Wiki item/NPC/category evidence with Project 1999 historical comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki; classic fields from Project 1999/classic baseline; live-side placement audited separately from undead side.,EQL-LOOT-1.0,loot,Active,,B24A-LIVE-009,,,Yes,Yes,,,Frogloks of Guk -30,,,,,Hostile,,,Froglok,,the froglok king,,,Frogloks of Guk,Hostile,Lower Guk — Live Side,,Open-world indoor dungeon,King wing,,,Froglok King room,,,,,,the froglok king,Named / notable live-side source,,,,,,,,,,,,High-rank Guk guards / King-room cycle,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,Rogue Epic,,Later quest dependency; drop relationship stored separately,,,,,,,,Available,Lower Guk live-side content group; undead side excluded,,,,Confirmed,Unconfirmed,,,,,,B24A-LGUK-LIVE,
10,B24A-LIVE-010,24A,Antonica,Lower Guk,Bag of Sewn Evil-Eye,Container,,No,Yes,,,,,,,ALL,ALL,,,,,,an evil eye,34-36,Wizard,Evil Eye,a froglok urd shaman,,,,Evil Eye ledge,28 minutes,,,,,,,Current signature container drop; guaranteed claim remains unverified.,Classic / historical,,Current EQL Wiki-listed,,,,,,,,"Notable exact-source live-side equipment, container, or progression relationship.",Zone subdivision-specific,Core,High,https://eqlwiki.com/Category:Lower_Guk,https://wiki.project1999.com/Ruins_of_Old_Guk,,Yes,1,,,ALL,ALL,34-36,34-36,Current EQL Wiki-listed; direct-build confirmation incomplete,Add,Wiki,Wiki,Wiki,No identified change,No identified change,No identified change,No identified change,Current page-listed / unresolved details,Classic-retained,https://eqlwiki.com/Category:Lower_Guk,,2026-07-28,,,,Yes,Listed,Current Wiki evidence,No,B,Current EQL Wiki item/NPC/category evidence with Project 1999 historical comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki; classic fields from Project 1999/classic baseline; live-side placement audited separately from undead side.,EQL-LOOT-1.0,loot,Active,,B24A-LIVE-010,,,Yes,Yes,,,Frogloks of Guk -30,,,,,Hostile,,,Evil Eye,,an evil eye,,,Frogloks of Guk,Hostile,Lower Guk — Live Side,,Open-world indoor dungeon,Evil Eye branch,,,Evil Eye ledge,,,,,,an evil eye,Named / notable live-side source,,,,,,,,,,,,a froglok urd shaman,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Lower Guk live-side content group; undead side excluded,,,,Confirmed,Unconfirmed,,,,,,B24A-LGUK-LIVE,
