record_id,batch,continent,zone,item_name,item_category,slot,equippable,inventory_only,magic,lore,no_drop,quest_item,weight,size,classes_classic,races_classic,stats_raw,damage,delay,weapon_skill,proc_click_focus,source_npc,source_npc_level,source_npc_class,source_npc_race_type,placeholder,placeholder_level_range,nearby_enemy_level_range,spawn_type,spawn_location,respawn_timer,time_condition,special_abilities,social_or_add_risk,faction_consequences,drop_frequency,drop_rate_reported,drop_notes,era_status,tlp_status,legends_status,best_for_classes,best_for_archetypes,general_value_notes,personal_build_notes,effect_transfer_value,target_priority_general,duplicate_item_group,inclusion_reason,source_scope,core_or_supplemental,data_confidence,source_primary,source_secondary,research_notes,approved,revision,stats_classic,stats_eql,classes_eql,races_eql,source_npc_level_classic,source_npc_level_eql,eql_verification_status,eql_audit_action,eql_npc_confirmed,eql_item_confirmed,eql_drop_source_confirmed,eql_stats_match,eql_classes_match,eql_races_match,eql_effect_match,eql_spawn_match,eql_era_status,eql_wiki_source,eql_official_source,eql_last_checked,eql_changes_summary,eql_verification_notes,official_override_status,official_source_checked,eql_wiki_listing_status,eql_wiki_verification_state,current_build_confirmed,evidence_grade,evidence_strength,conflict_status,classic_original_launch,classic_historical_era,last_directly_observed,primary_evidence_layer,per_field_provenance_notes
B02-NEK-001,2,Antonica,Nektulos Forest,Eye of Shadow,Temporary utility item,Inventory,No,Yes,Yes,Yes,,No,0.1,,All,All,Temporary; 1 instant charge of Deadeye,,,,Click: Deadeye; 1 charge; instant,a shadowed man,24-26,"Warrior, Monk, Cleric, or Necromancer variants",Shadowed man,,,24-26,Fixed social camp / shared loot pool,,Most spawns approximately 6:40,,"Runs unusually fast, even while snared",Social group of roughly 4-7 enemies,,Unknown,,Large shared temporary-item table,Classic,Likely,Candidate,All,Utility; exploration; see-invisibility,Instant see-invisibility without mana or spell memorization,Useful to all three proposed classes,Potentially high if clicks are transferable,Medium,Eye of Shadow,Universal click utility from a notable outdoor camp,Shared outdoor camp drop,Core,Medium-High,https://wiki.project1999.com/Nektulos_Forest,,,Yes,4,Temporary; 1 instant charge of Deadeye,Temporary; 1 instant charge of Deadeye,All,All,24-26,24-26,EQL Wiki Linked — Verification State Unclear,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/Nektulos_Forest,,2026-07-21,,,No applicable official statement found,Yes,Direct zone/NPC/item linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic,,EQL Wiki,Official EQL sources checked with no item-specific override found; EQL Wiki used for current working data; P99 retained as classic baseline.
B02-NEK-002,2,Antonica,Nektulos Forest,Hand of Shadow,Temporary utility item,Inventory,No,Yes,Yes,Yes,,,2.0,,All,All,Temporary; 1 charge of Grim Aura,,,,Click: Grim Aura; 1 charge,a shadowed man,24-26,"Warrior, Monk, Cleric, or Necromancer variants",Shadowed man,,,24-26,Fixed social camp / shared loot pool,,Most spawns approximately 6:40,,"Runs unusually fast, even while snared",Social group of roughly 4-7 enemies,,Unknown,,Large shared temporary-item table,Classic,Likely,Candidate,All,Melee utility; temporary buff,Disposable universal melee-buff click,Useful but heavy for Monk,Potentially useful if clicks are transferable,Low-Medium,Hand of Shadow,Universal click utility from a notable outdoor camp,Shared outdoor camp drop,Core,Medium-High,https://wiki.project1999.com/Nektulos_Forest,,,Yes,4,Temporary; 1 charge of Grim Aura,Temporary; 1 charge of Grim Aura,All,All,24-26,24-26,EQL Wiki Linked — Verification State Unclear,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/Nektulos_Forest,,2026-07-21,,,No applicable official statement found,Yes,Direct zone/NPC/item linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic,,EQL Wiki,Official EQL sources checked with no item-specific override found; EQL Wiki used for current working data; P99 retained as classic baseline.
B02-NEK-003,2,Antonica,Nektulos Forest,A Shining Stone,Quest item,Inventory,No,Yes,Yes,Yes,Yes,Yes,0.1,,All,All,,,,,,a shadowed man,24-26,,Shadowed man,,,,Fixed social camp / shared loot pool,,Most spawns approximately 6:40,,,Social group of roughly 4-7 enemies,,Rare / uncertain,Generated table about 9%,,Classic,Likely,Unknown,Quest users,Quest progression,Recognizable shadowed-man quest component,No direct equipment value,None,Low,A Shining Stone,Distinctive quest component from a notable camp,Shared outdoor camp drop,Core,Medium,https://wiki.project1999.com/Nektulos_Forest,,,Yes,4,,,All,All,24-26,24-26,EQL Wiki Linked — Verification State Unclear,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/Nektulos_Forest,,2026-07-21,,,No applicable official statement found,Yes,Direct zone/NPC/item linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic,,EQL Wiki,Official EQL sources checked with no item-specific override found; EQL Wiki used for current working data; P99 retained as classic baseline.
B02-NEK-004,2,Antonica,Nektulos Forest,Robe of Discord,Armor,Chest,Yes,No,Yes,,,,3.5,,"NEC, WIZ, MAG, ENC",,AC 8; STA +5; INT +3,,,,,Outdoor Nektulos source unclear,Unverified,,,,,,Unverified,,,,,,,Unknown,,,Classic candidate,Unverified,Unknown,"Necromancer, Wizard, Magician, Enchanter",INT caster,Strong low-level caster robe if outdoor source is confirmed,Relevant to Necromancer side,None known,Medium if confirmed,Robe of Discord,Notable caster robe listed in zone records,Source requires verification,Core,Low-Medium,https://wiki.project1999.com/Nektulos_Forest,,Exact outdoor source must be confirmed before final publication,Yes,4,AC 8; STA +5; INT +3,AC 8; STA +5; INT +3,"NEC, WIZ, MAG, ENC",,Unverified,Unverified,Item confirmed — source unverified,Quarantine,Yes,Yes,No,Yes,Yes,Yes,Yes,Unverified,Confirmed in current EQL Wiki,https://eqlwiki.com/Nektulos_Forest,,2026-07-21,EQL Wiki confirms item data but does not identify a reliable outdoor Nektulos source.,"Keep classic row, but hide from EQL-confirmed source filters.",No applicable official statement found,Yes,Direct zone/NPC/item linkage where documented,Verification state unclear,No public direct evidence found,D,Item data wiki-listed; source unresolved,Exact source unknown,Unverified,Classic candidate,,EQL Wiki,EQL Wiki provides item data but no reliable source. Retain as quarantined research.
B02-NEK-005,2,Antonica,Nektulos Forest,Leatherfoot Short Bow,Weapon,Range,Yes,No,,,,,3.5,,"WAR, PAL, RNG, SHD, ROG",,4 damage / 41 delay; Range 50,4,41,Archery,,Snitch,9,Rogue,Halfling,,,,Named outdoor NPC,,,,,,,Unknown,,,Classic,Likely,Candidate,"Warrior, Paladin, Ranger, Shadow Knight, Rogue",Ranged martial,Early outdoor ranged weapon,No direct relevance,None known,Low-Medium,Leatherfoot Short Bow,Distinctive outdoor bow source,Named outdoor drop,Core,Medium,https://wiki.project1999.com/Nektulos_Forest,,,Yes,4,4 damage / 41 delay; Range 50,4 damage / 41 delay; Range 50,"WAR, PAL, RNG, SHD, ROG",,Unverified,9,EQL Wiki Linked — Verification State Unclear,Correct,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/Nektulos_Forest,,2026-07-21,EQL Wiki confirms Snitch as a level 9 Rogue.,,No applicable official statement found,Yes,Direct zone/NPC/item linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic,,EQL Wiki,Official EQL sources checked with no item-specific override found; EQL Wiki used for current working data; P99 retained as classic baseline.
B02-NEK-006,2,Antonica,Nektulos Forest,Sealed Letter,Quest item,Inventory,No,Yes,Yes,Yes,Yes,Yes,0.0,,All,All,,,,,,orc runner,7,,Orc,,,,Roaming courier,Several reported Nektulos routes,,,,,,Quest-specific,,,Classic,Likely,Unknown,Quest users,Quest progression,Crude Stein quest-chain component,Indirect value only,None,Medium,Sealed Letter,Recognizable courier quest drop,Roaming outdoor NPC drop,Core,High,https://wiki.project1999.com/Nektulos_Forest,,,Yes,4,,,All,All,7,7,EQL Wiki Linked — Verification State Unclear,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/Nektulos_Forest,,2026-07-21,,,No applicable official statement found,Yes,Direct zone/NPC/item linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic,,EQL Wiki,Official EQL sources checked with no item-specific override found; EQL Wiki used for current working data; P99 retained as classic baseline.
B02-NEK-007,2,Antonica,Nektulos Forest,Runner Pouch,Quest item,Inventory,No,Yes,,Yes,Yes,Yes,2.5,,All,All,,,,,,orc runner,7,,Orc,,,,Roaming courier,,,,,,,Unknown,,,Classic,Likely,Unknown,Quest users,Quest progression,Distinctive courier drop; not confirmed as a functional container,No direct gear value,None,Low,Runner Pouch,Named courier quest item,Roaming outdoor NPC drop,Core,Medium-High,https://wiki.project1999.com/Nektulos_Forest,,,Yes,4,,,All,All,7,7,EQL Wiki Linked — Verification State Unclear,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/Nektulos_Forest,,2026-07-21,,,No applicable official statement found,Yes,Direct zone/NPC/item linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic,,EQL Wiki,Official EQL sources checked with no item-specific override found; EQL Wiki used for current working data; P99 retained as classic baseline.
B02-NEK-008,2,Antonica,Nektulos Forest,Lock of Zombie Hair,Quest item,Inventory,No,Yes,Yes,Yes,Yes,Yes,0.5,,All,All,,,,,,a rotting citizen,Unverified,,Undead,,,,Outdoor undead spawn,,,,,,,Unknown,,,Classic,Likely,Unknown,Quest users,Quest progression,Distinctive outdoor undead quest component,No direct gear value,None,Low,Lock of Zombie Hair,Unique quest drop from outdoor undead,Outdoor undead drop,Core,Medium,https://wiki.project1999.com/Nektulos_Forest,,,Yes,4,,,All,All,Unverified,Unverified,Out-of-era / current availability unclear,Quarantine,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Wiki notes a March 2002 Nektulos addition,https://eqlwiki.com/Nektulos_Forest,,2026-07-21,Source appears tied to a later Nektulos revamp; current EQL availability needs direct verification.,Do not present as launch-era confirmed.,No applicable official statement found,Yes,Direct zone/NPC/item linkage where documented,Verification state unclear,No public direct evidence found,D,"EQL Wiki direct source linkage, but later-era population",Current-era availability unresolved,No,March 2002 Nektulos revamp,,EQL Wiki,"Rotting citizen source is directly wiki-linked, but the population is tied to later Nektulos revamp data."
B02-NEK-009,2,Antonica,Nektulos Forest,Halfling Druid Master's Head,Quest item,Inventory,No,Yes,,Yes,Yes,Yes,0.7,,None,None,,,,,,Master Whoopal,13,Druid,Halfling,,,,Faction NPC target,,,,,,,Quest-specific,,,Classic,Likely,Unknown,Quest users,Faction and quest progression,Narrow but distinctive faction-NPC quest drop,No direct gear value,None,Low,Halfling Druid Master's Head,Unique faction-target quest item,Faction NPC drop,Core,Medium,https://wiki.project1999.com/Nektulos_Forest,,,Yes,4,,,None,None,Unverified,13,EQL Wiki Linked — Verification State Unclear,Correct,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/Nektulos_Forest,,2026-07-21,EQL Wiki confirms Master Whoopal as a level 13 Druid.,,No applicable official statement found,Yes,Direct zone/NPC/item linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic,,EQL Wiki,Official EQL sources checked with no item-specific override found; EQL Wiki used for current working data; P99 retained as classic baseline.
B02-LAV-001,2,Antonica,Lavastorm Mountains,Glowing Torch,Utility offhand,Primary / Secondary,Yes,No,Yes,,,,0.1,,All,All,AC 7; CHA +5; light source,,,,Passive light source,Tisella,Approximately 12-14,Warrior,Human,,,,Roaming named,Between Najena entrance and nearby goblin areas,,,,,,Unknown,,,Classic,Likely,Candidate,All,All; defensive offhand; light source,Outstanding universal low-weight AC offhand,Excellent for all three classes,Low unless light-source effects matter,Very High,Glowing Torch,Strong universal stat item from a named outdoor target,Named outdoor drop,Core,High,https://wiki.project1999.com/Lavastorm_Mountains,,,Yes,4,AC 7; CHA +5; light source,AC 7; CHA +5; light source,All,All,Approximately 12-14,Approximately 12-14,EQL Wiki Linked — Verification State Unclear,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/Lavastorm_Mountains,,2026-07-21,,,No applicable official statement found,Yes,Direct zone/NPC/item linkage where documented,Verification state unclear,No public direct evidence found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic,,EQL Wiki,Official EQL sources checked with no item-specific override found; EQL Wiki used for current working data; P99 retained as classic baseline.
