index,record_id,batch,continent,zone,item_name,item_category,slot,equippable,inventory_only,magic,lore,no_drop,quest_item,weight,size,classes_classic,races_classic,stats_raw,damage,delay,weapon_skill,proc_click_focus,source_npc,source_npc_level,source_npc_class,source_npc_race_type,placeholder,placeholder_level_range,nearby_enemy_level_range,spawn_type,spawn_location,respawn_timer,time_condition,special_abilities,social_or_add_risk,faction_consequences,drop_frequency,drop_rate_reported,drop_notes,era_status,tlp_status,legends_status,best_for_classes,best_for_archetypes,general_value_notes,personal_build_notes,effect_transfer_value,target_priority_general,duplicate_item_group,inclusion_reason,source_scope,core_or_supplemental,data_confidence,source_primary,source_secondary,research_notes,approved,revision,stats_classic,stats_eql,classes_eql,races_eql,source_npc_level_classic,source_npc_level_eql,eql_verification_status,eql_audit_action,eql_npc_confirmed,eql_item_confirmed,eql_drop_source_confirmed,eql_stats_match,eql_classes_match,eql_races_match,eql_effect_match,eql_spawn_match,eql_era_status,eql_wiki_source,eql_official_source,eql_last_checked,eql_changes_summary,eql_verification_notes,official_override_status,official_source_checked,eql_wiki_listing_status,eql_wiki_verification_state,current_build_confirmed,evidence_grade,evidence_strength,conflict_status,classic_original_launch,classic_historical_era,last_directly_observed,primary_evidence_layer,per_field_provenance_notes,schema_version,record_type,record_status,source_record_id,canonical_record_id,parent_record_id,related_record_ids,display_default,searchable,record_notes,faction_risk_level,faction_hits_known,faction_gains_known,city_access_risk,merchant_access_risk,quest_access_risk,initial_disposition,protected_npc_type,faction_behavior_notes,creature_family,creature_subfamily,normalized_source_name,source_name_aliases,shared_loot_family,family_faction,family_hostility,family_zone_scope,source_variant_notes,zone_type,zone_subarea,zone_wing,zone_floor,camp_or_room,location_coordinates,location_description,navigation_notes,escape_or_exit_risk,environmental_hazards,encounter_name,encounter_type,encounter_tier,encounter_group_size,encounter_raid_size,encounter_difficulty,encounter_trigger,encounter_scripted,encounter_phases,encounter_adds,encounter_failure_condition,encounter_reset_behavior,encounter_notes,placeholder_npc,placeholder_cycle,spawn_probability,spawn_count,spawn_window,respawn_variance,despawn_condition,spawn_dependencies,spawn_guaranteed,spawn_mechanics_notes,instance_status,instance_type,instance_name,instance_entry_method,instance_reuse_timer,loot_lockout_type,loot_lockout_duration,lockout_scope,lockout_applies_per_npc,lockout_applies_per_instance,lockout_bypass_conditions,instance_notes,loot_delivery_method,loot_container_name,loot_table_name,loot_table_tier,loot_pool_type,loot_roll_type,loot_quantity_min,loot_quantity_max,loot_slots_reported,loot_selection_behavior,shared_loot_notes,currency_drop,loot_delivery_notes,drop_rate_type,drop_rate_numerator,drop_rate_denominator,drop_rate_sample_size,drop_rate_pool_probability,drop_rate_item_probability,drop_rate_source,drop_rate_confidence,drop_rate_conditions,access_requirement,access_key_item,access_key_consumed,access_quest,minimum_recommended_level,minimum_group_size,minimum_raid_size,class_role_requirements,door_or_lock_requirement,levitation_required,underwater_required,resist_requirements,corpse_recovery_difficulty,bind_or_reentry_notes,access_notes,encounter_hp,encounter_ac,damage_per_hit_min,damage_per_hit_max,attacks_per_round,aoe_effects,single_target_effects,debuffs,summons_players,enrages,rampage,flurry,banishes,mem_blur,charm,fear,death_touch,resist_profile,immunity_profile,combat_mechanics_notes,raid_target,raid_classification,raid_progression_role,raid_prerequisite,contested_status,racing_or_engagement_rules,racing_line,open_world_competition,recommended_composition,raid_notes,quest_name,quest_step,quest_role,epic_class,progression_category,required_for_access,required_for_spawn,required_for_turn_in,reward_type,quest_dependency_notes,content_availability,availability_context,availability_start,availability_end,availability_condition,beta_availability_status,launch_availability_status,instance_availability_status,compatibility_action,compatibility_reason,custom_tags,alternate_names,content_group_id,data_extension_json
1,B23-UGUK-001,23,Antonica,Upper Guk,Collar of Undead Protection,Jewelry,NECK,Yes,No,Yes,,,,0.2,TINY,ALL,ALL,AC 5; SV DISEASE +7; SV POISON +7,,,,,a froglok gaz squire,17,Warrior,Froglok,a froglok gaz knight,,,,Gaz Squire ramp room,,,,,,,,,Classic / historical,,Current EQL Wiki-listed,,,,,,,,"Notable exact-source equipment, utility, quest, or progression relationship.",Zone-specific,Core,High,https://eqlwiki.com/Upper_Guk,https://wiki.project1999.com/Upper_Guk,,Yes,1,AC 5; SV DISEASE +7; SV POISON +7,AC 5; SV DISEASE +7; SV POISON +7,ALL,ALL,17,17,Current EQL Wiki-listed; direct-build confirmation incomplete,Add,Wiki,Wiki,Wiki,No identified change,No identified change,No identified change,No identified change,Unresolved / conflicted,Classic-retained,https://eqlwiki.com/Upper_Guk,,2026-07-28,,,,Yes,Listed,Current Wiki evidence,No,B,Current EQL Wiki item/source page with Project 1999 historical comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki zone/item/NPC pages; classic fields from Project 1999/classic baseline.,EQL-LOOT-1.0,loot,Active,,B23-UGUK-001,,,Yes,Yes,,,Frogloks of Guk -30,,,,,Hostile,,,Froglok,,a froglok gaz squire,,,Frogloks of Guk,Hostile,Upper Guk,,Open-world indoor dungeon,Gaz wing,,,Gaz Squire ramp room,,,,,,a froglok gaz squire,Named / notable source,,,,,,,,,,,,a froglok gaz knight,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Current EQL zone; no comprehensive revamp officially established,,,,Confirmed,Unconfirmed,,,,,,B23-UGUK,
2,B23-UGUK-002,23,Antonica,Upper Guk,Runed Bone Fork,Weapon,RANGE PRIMARY SECONDARY,Yes,No,No,Yes,,,4.5,MEDIUM,WAR RNG SHD BRD ROG,ALL,BACKSTAB +5; SV FIRE +10; SV COLD +10; SV MAGIC +10,5,29,Piercing,,a froglok gaz squire,17,Warrior,Froglok,a froglok gaz knight,,,,Gaz Squire ramp room,,,,,,,,,Classic / historical,,Current EQL Wiki-listed,,,Weapon ratio 0.172,,,,,"Notable exact-source equipment, utility, quest, or progression relationship.",Zone-specific,Core,High,https://eqlwiki.com/Upper_Guk,https://wiki.project1999.com/Upper_Guk,,Yes,1,SV FIRE +10; SV COLD +10; SV MAGIC +10,BACKSTAB +5; SV FIRE +10; SV COLD +10; SV MAGIC +10,WAR RNG SHD BRD ROG,ALL,17,17,Current EQL Wiki-listed; direct-build confirmation incomplete,Add,Wiki,Wiki,Wiki,Changed or newly surfaced,No identified change,No identified change,No identified change,Unresolved / conflicted,Classic-retained with EQL changes,https://eqlwiki.com/Upper_Guk,,2026-07-28,Current EQL presentation includes Backstab +5.,,,Yes,Listed,Current Wiki evidence,No,B,Current EQL Wiki item/source page with Project 1999 historical comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki zone/item/NPC pages; classic fields from Project 1999/classic baseline.,EQL-LOOT-1.0,loot,Active,,B23-UGUK-002,,,Yes,Yes,,,Frogloks of Guk -30,,,,,Hostile,,,Froglok,,a froglok gaz squire,,,Frogloks of Guk,Hostile,Upper Guk,,Open-world indoor dungeon,Gaz wing,,,Gaz Squire ramp room,,,,,,a froglok gaz squire,Named / notable source,,,,,,,,,,,,a froglok gaz knight,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Current EQL zone; no comprehensive revamp officially established,,,,Confirmed,Unconfirmed,,,,,,B23-UGUK,
3,B23-UGUK-003,23,Antonica,Upper Guk,Moss Mask,Armor / Charged Utility,FACE,Yes,No,Yes,,,,0.2,TINY,ALL,ALL,AC 2,,,,Click: Enduring Breath (10 charges),a froglok idealist,20,Shaman,Froglok,,,,,Idealist / Tonta Knight room,,,,,,,,,Classic / historical,,Current EQL Wiki-listed,,,,,,,,"Notable exact-source equipment, utility, quest, or progression relationship.",Zone-specific,Core,High,https://eqlwiki.com/Upper_Guk,https://wiki.project1999.com/Upper_Guk,,Yes,1,AC 2,AC 2,ALL,ALL,20,20,Current EQL Wiki-listed; direct-build confirmation incomplete,Add,Wiki,Wiki,Wiki,No identified change,No identified change,No identified change,No identified change,,Classic-retained,https://eqlwiki.com/Upper_Guk,,2026-07-28,,,,Yes,Listed,Current Wiki evidence,No,B,Current EQL Wiki item/source page with Project 1999 historical comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki zone/item/NPC pages; classic fields from Project 1999/classic baseline.,EQL-LOOT-1.0,loot,Active,,B23-UGUK-003,,,Yes,Yes,,,Frogloks of Guk -30,,,,,Hostile,,,Froglok,,a froglok idealist,,,Frogloks of Guk,Hostile,Upper Guk,,Open-world indoor dungeon,Temple branch,,,Idealist / Tonta Knight room,,,,,,a froglok idealist,Named / notable source,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Current EQL zone; no comprehensive revamp officially established,,,,Confirmed,Unconfirmed,,,,,,B23-UGUK,
4,B23-UGUK-004,23,Antonica,Upper Guk,Reed Ring,Jewelry,FINGER,Yes,No,Yes,,,,0.1,TINY,ALL,ALL,DEX +2; HP +10,,,,,a froglok realist,22,Shaman,Froglok,,,,,Realist room,,,,,,,,,Classic / historical,,Current EQL Wiki-listed,,,,,,,,"Notable exact-source equipment, utility, quest, or progression relationship.",Zone-specific,Core,High,https://eqlwiki.com/Upper_Guk,https://wiki.project1999.com/Upper_Guk,,Yes,1,DEX +2; HP +10,DEX +2; HP +10,ALL,ALL,22,22,Current EQL Wiki-listed; direct-build confirmation incomplete,Add,Wiki,Wiki,Wiki,No identified change,No identified change,No identified change,No identified change,,Classic-retained,https://eqlwiki.com/Upper_Guk,,2026-07-28,,,,Yes,Listed,Current Wiki evidence,No,B,Current EQL Wiki item/source page with Project 1999 historical comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki zone/item/NPC pages; classic fields from Project 1999/classic baseline.,EQL-LOOT-1.0,loot,Active,,B23-UGUK-004,,,Yes,Yes,,,Frogloks of Guk -30,,,,,Hostile,,,Froglok,,a froglok realist,,,Frogloks of Guk,Hostile,Upper Guk,,Open-world indoor dungeon,Temple branch,,,Realist room,,,,,,a froglok realist,Named / notable source,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Current EQL zone; no comprehensive revamp officially established,,,,Confirmed,Unconfirmed,,,,,,B23-UGUK,
5,B23-UGUK-005,23,Antonica,Upper Guk,Soiled Boots,Armor / Quest Item,FEET,Yes,No,,Yes,Yes,Yes,1.0,SMALL,MAG,HUM ERU HIE DEF GNM,AC 4,,,,,a froglok tonta knight,28,Knight,Froglok,,,,,Idealist / Tonta Knight room,,,,,,,,,Classic / historical,,Current EQL Wiki-listed,,,,,,,,"Notable exact-source equipment, utility, quest, or progression relationship.",Zone-specific,Core,High,https://eqlwiki.com/Upper_Guk,https://wiki.project1999.com/Upper_Guk,,Yes,1,AC 4,AC 4,MAG,ALL,28,28,Current EQL Wiki-listed; direct-build confirmation incomplete,Add,Wiki,Wiki,Wiki,Changed or newly surfaced,No identified change,Changed,No identified change,,Classic-retained with EQL changes,https://eqlwiki.com/Upper_Guk,,2026-07-28,Race eligibility expanded to ALL.,,,Yes,Listed,Current Wiki evidence,No,B,Current EQL Wiki item/source page with Project 1999 historical comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki zone/item/NPC pages; classic fields from Project 1999/classic baseline.,EQL-LOOT-1.0,loot,Active,,B23-UGUK-005,,,Yes,Yes,,,Frogloks of Guk -30,,,,,Hostile,,,Froglok,,a froglok tonta knight,,,Frogloks of Guk,Hostile,Upper Guk,,Open-world indoor dungeon,Temple branch,,,Idealist / Tonta Knight room,,,,,,a froglok tonta knight,Named / notable source,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,Earthen Boots,,Quest component,,,,,,,,Available,Current EQL zone; no comprehensive revamp officially established,,,,Confirmed,Unconfirmed,,,,,,B23-UGUK,
6,B23-UGUK-006,23,Antonica,Upper Guk,A Shimmering Orb,Caster Item,SECONDARY,Yes,No,Yes,Yes,,,0.2,TINY,BRD NEC WIZ MAG ENC,ALL,AC 15; HP +20,,,,Focus: Summoning Haste I,a froglok scryer,21,Enchanter,Froglok,,,,,Scryer temple,,,,,,,,,Classic / historical,,Current EQL Wiki-listed,,,,,,,,"Notable exact-source equipment, utility, quest, or progression relationship.",Zone-specific,Core,High,https://eqlwiki.com/Upper_Guk,https://wiki.project1999.com/Upper_Guk,,Yes,1,AC 15; HP +20,AC 15; HP +20,BRD NEC WIZ MAG ENC,ALL,21,21,Current EQL Wiki-listed; direct-build confirmation incomplete,Add,Wiki,Wiki,Wiki,Changed or newly surfaced,No identified change,No identified change,Changed,,Classic-retained with EQL changes,https://eqlwiki.com/Upper_Guk,,2026-07-28,EQL focus addition: Summoning Haste I.,,,Yes,Listed,Current Wiki evidence,No,B,Current EQL Wiki item/source page with Project 1999 historical comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki zone/item/NPC pages; classic fields from Project 1999/classic baseline.,EQL-LOOT-1.0,loot,Active,,B23-UGUK-006,,,Yes,Yes,,,Frogloks of Guk -30,,,,,Hostile,,,Froglok,,a froglok scryer,,,Frogloks of Guk,Hostile,Upper Guk,,Open-world indoor dungeon,Temple branch,,,Scryer temple,,,,,,a froglok scryer,Named / notable source,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Current EQL zone; no comprehensive revamp officially established,,,,Confirmed,Unconfirmed,,,,,,B23-UGUK,
7,B23-UGUK-007,23,Antonica,Upper Guk,Glowing Mask,Armor,FACE,Yes,No,,Yes,Yes,,0.2,TINY,ENC,HUM ERU HIE DEF GNM,AC 2,,,,,a froglok scryer,21,Enchanter,Froglok,,,,,Scryer temple,,,,,,,,,Classic / historical,,Current EQL Wiki-listed,,,,,,,,"Notable exact-source equipment, utility, quest, or progression relationship.",Zone-specific,Core,High,https://eqlwiki.com/Upper_Guk,https://wiki.project1999.com/Upper_Guk,,Yes,1,AC 2,AC 2,ENC,ALL,21,21,Current EQL Wiki-listed; direct-build confirmation incomplete,Add,Wiki,Wiki,Wiki,Changed or newly surfaced,No identified change,Changed,No identified change,,Classic-retained with EQL changes,https://eqlwiki.com/Upper_Guk,,2026-07-28,Race eligibility expanded to ALL.,,,Yes,Listed,Current Wiki evidence,No,B,Current EQL Wiki item/source page with Project 1999 historical comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki zone/item/NPC pages; classic fields from Project 1999/classic baseline.,EQL-LOOT-1.0,loot,Active,,B23-UGUK-007,,,Yes,Yes,,,Frogloks of Guk -30,,,,,Hostile,,,Froglok,,a froglok scryer,,,Frogloks of Guk,Hostile,Upper Guk,,Open-world indoor dungeon,Temple branch,,,Scryer temple,,,,,,a froglok scryer,Named / notable source,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Current EQL zone; no comprehensive revamp officially established,,,,Confirmed,Unconfirmed,,,,,,B23-UGUK,
8,B23-UGUK-008,23,Antonica,Upper Guk,Bracelet of Woven Grass,Armor,WRIST,Yes,No,Yes,,,,0.2,TINY,ALL,ALL,AC 1; INT +3; HP +12,,,,Focus: Spell Haste I,a froglok scryer,21,Enchanter,Froglok,,,,,Scryer temple,,,,,,,,,Classic / historical,,Current EQL Wiki-listed,,,,,,,,"Notable exact-source equipment, utility, quest, or progression relationship.",Zone-specific,Core,High,https://eqlwiki.com/Upper_Guk,https://wiki.project1999.com/Upper_Guk,,Yes,1,AC 1; INT +3; HP +12,AC 1; INT +3; HP +12,ALL,ALL,21,21,Current EQL Wiki-listed; direct-build confirmation incomplete,Add,Wiki,Wiki,Wiki,Changed or newly surfaced,No identified change,No identified change,Changed,,Classic-retained with EQL changes,https://eqlwiki.com/Upper_Guk,,2026-07-28,EQL focus addition: Spell Haste I.,,,Yes,Listed,Current Wiki evidence,No,B,Current EQL Wiki item/source page with Project 1999 historical comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki zone/item/NPC pages; classic fields from Project 1999/classic baseline.,EQL-LOOT-1.0,loot,Active,,B23-UGUK-008,,,Yes,Yes,,,Frogloks of Guk -30,,,,,Hostile,,,Froglok,,a froglok scryer,,,Frogloks of Guk,Hostile,Upper Guk,,Open-world indoor dungeon,Temple branch,,,Scryer temple,,,,,,a froglok scryer,Named / notable source,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Current EQL zone; no comprehensive revamp officially established,,,,Confirmed,Unconfirmed,,,,,,B23-UGUK,
9,B23-UGUK-009,23,Antonica,Upper Guk,Elf-Hide Gloves,Armor,HANDS,Yes,No,Yes,,,,1.0,SMALL,BRD ROG,ALL,AC 4; DEX +5; AGI +5,,,,,the froglok warden,25,Rogue,Froglok,,,,,Warden room,16:30 individual-page listed; conflicts with 8:00 zone timer,,,,,,,,Classic / historical,,Current EQL Wiki-listed,,,,,,,,"Notable exact-source equipment, utility, quest, or progression relationship.",Zone-specific,Core,High,https://eqlwiki.com/Upper_Guk,https://wiki.project1999.com/Upper_Guk,,Yes,1,AC 4; DEX +5; AGI +5,AC 4; DEX +5; AGI +5,BRD ROG,ALL,25,25,Current EQL Wiki-listed; direct-build confirmation incomplete,Add,Wiki,Wiki,Wiki,No identified change,No identified change,No identified change,No identified change,Unresolved / conflicted,Classic-retained,https://eqlwiki.com/Upper_Guk,,2026-07-28,,,,Yes,Listed,Current Wiki evidence,No,B,Current EQL Wiki item/source page with Project 1999 historical comparison.,Major timer conflict,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki zone/item/NPC pages; classic fields from Project 1999/classic baseline.,EQL-LOOT-1.0,loot,Active,,B23-UGUK-009,,,Yes,Yes,,,Frogloks of Guk -30,,,,,Hostile,,,Froglok,,the froglok warden,,,Frogloks of Guk,Hostile,Upper Guk,,Open-world indoor dungeon,Underwater branch,,,Warden room,,,,,,the froglok warden,Named / notable source,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Current EQL zone; no comprehensive revamp officially established,,,,Confirmed,Unconfirmed,,,,,,B23-UGUK,
10,B23-UGUK-010,23,Antonica,Upper Guk,Troll-Hide Belt,Armor,WAIST,Yes,No,Yes,,,,1.0,SMALL,BRD ROG,ALL,AC 5; STR +5; STA +5,,,,,the froglok warden,25,Rogue,Froglok,,,,,Warden room,16:30 individual-page listed; conflicts with 8:00 zone timer,,,,,,,,Classic / historical,,Current EQL Wiki-listed,,,,,,,,"Notable exact-source equipment, utility, quest, or progression relationship.",Zone-specific,Core,High,https://eqlwiki.com/Upper_Guk,https://wiki.project1999.com/Upper_Guk,,Yes,1,AC 5; STR +5; STA +5,AC 5; STR +5; STA +5,BRD ROG,ALL,25,25,Current EQL Wiki-listed; direct-build confirmation incomplete,Add,Wiki,Wiki,Wiki,No identified change,No identified change,No identified change,No identified change,Unresolved / conflicted,Classic-retained,https://eqlwiki.com/Upper_Guk,,2026-07-28,,,,Yes,Listed,Current Wiki evidence,No,B,Current EQL Wiki item/source page with Project 1999 historical comparison.,Major timer conflict,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki zone/item/NPC pages; classic fields from Project 1999/classic baseline.,EQL-LOOT-1.0,loot,Active,,B23-UGUK-010,,,Yes,Yes,,,Frogloks of Guk -30,,,,,Hostile,,,Froglok,,the froglok warden,,,Frogloks of Guk,Hostile,Upper Guk,,Open-world indoor dungeon,Underwater branch,,,Warden room,,,,,,the froglok warden,Named / notable source,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Current EQL zone; no comprehensive revamp officially established,,,,Confirmed,Unconfirmed,,,,,,B23-UGUK,
