index,record_id,batch,continent,zone,item_name,item_category,slot,equippable,inventory_only,magic,lore,no_drop,quest_item,weight,size,classes_classic,races_classic,stats_raw,damage,delay,weapon_skill,proc_click_focus,source_npc,source_npc_level,source_npc_class,source_npc_race_type,placeholder,placeholder_level_range,nearby_enemy_level_range,spawn_type,spawn_location,respawn_timer,time_condition,special_abilities,social_or_add_risk,faction_consequences,drop_frequency,drop_rate_reported,drop_notes,era_status,tlp_status,legends_status,best_for_classes,best_for_archetypes,general_value_notes,personal_build_notes,effect_transfer_value,target_priority_general,duplicate_item_group,inclusion_reason,source_scope,core_or_supplemental,data_confidence,source_primary,source_secondary,research_notes,approved,revision,stats_classic,stats_eql,classes_eql,races_eql,source_npc_level_classic,source_npc_level_eql,eql_verification_status,eql_audit_action,eql_npc_confirmed,eql_item_confirmed,eql_drop_source_confirmed,eql_stats_match,eql_classes_match,eql_races_match,eql_effect_match,eql_spawn_match,eql_era_status,eql_wiki_source,eql_official_source,eql_last_checked,eql_changes_summary,eql_verification_notes,official_override_status,official_source_checked,eql_wiki_listing_status,eql_wiki_verification_state,current_build_confirmed,evidence_grade,evidence_strength,conflict_status,classic_original_launch,classic_historical_era,last_directly_observed,primary_evidence_layer,per_field_provenance_notes,schema_version,record_type,record_status,source_record_id,canonical_record_id,parent_record_id,related_record_ids,display_default,searchable,record_notes,faction_risk_level,faction_hits_known,faction_gains_known,city_access_risk,merchant_access_risk,quest_access_risk,initial_disposition,protected_npc_type,faction_behavior_notes,creature_family,creature_subfamily,normalized_source_name,source_name_aliases,shared_loot_family,family_faction,family_hostility,family_zone_scope,source_variant_notes,zone_type,zone_subarea,zone_wing,zone_floor,camp_or_room,location_coordinates,location_description,navigation_notes,escape_or_exit_risk,environmental_hazards,encounter_name,encounter_type,encounter_tier,encounter_group_size,encounter_raid_size,encounter_difficulty,encounter_trigger,encounter_scripted,encounter_phases,encounter_adds,encounter_failure_condition,encounter_reset_behavior,encounter_notes,placeholder_npc,placeholder_cycle,spawn_probability,spawn_count,spawn_window,respawn_variance,despawn_condition,spawn_dependencies,spawn_guaranteed,spawn_mechanics_notes,instance_status,instance_type,instance_name,instance_entry_method,instance_reuse_timer,loot_lockout_type,loot_lockout_duration,lockout_scope,lockout_applies_per_npc,lockout_applies_per_instance,lockout_bypass_conditions,instance_notes,loot_delivery_method,loot_container_name,loot_table_name,loot_table_tier,loot_pool_type,loot_roll_type,loot_quantity_min,loot_quantity_max,loot_slots_reported,loot_selection_behavior,shared_loot_notes,currency_drop,loot_delivery_notes,drop_rate_type,drop_rate_numerator,drop_rate_denominator,drop_rate_sample_size,drop_rate_pool_probability,drop_rate_item_probability,drop_rate_source,drop_rate_confidence,drop_rate_conditions,access_requirement,access_key_item,access_key_consumed,access_quest,minimum_recommended_level,minimum_group_size,minimum_raid_size,class_role_requirements,door_or_lock_requirement,levitation_required,underwater_required,resist_requirements,corpse_recovery_difficulty,bind_or_reentry_notes,access_notes,encounter_hp,encounter_ac,damage_per_hit_min,damage_per_hit_max,attacks_per_round,aoe_effects,single_target_effects,debuffs,summons_players,enrages,rampage,flurry,banishes,mem_blur,charm,fear,death_touch,resist_profile,immunity_profile,combat_mechanics_notes,raid_target,raid_classification,raid_progression_role,raid_prerequisite,contested_status,racing_or_engagement_rules,racing_line,open_world_competition,recommended_composition,raid_notes,quest_name,quest_step,quest_role,epic_class,progression_category,required_for_access,required_for_spawn,required_for_turn_in,reward_type,quest_dependency_notes,content_availability,availability_context,availability_start,availability_end,availability_condition,beta_availability_status,launch_availability_status,instance_availability_status,compatibility_action,compatibility_reason,custom_tags,alternate_names,content_group_id,data_extension_json
1,B25-SOLA-001,25,Antonica,Solusek's Eye,Charred Boots,Armor,FEET,Yes,No,Yes,,,,5.5,MEDIUM,WAR CLR PAL SHD BRD,ALL except IKS,AC 6; AGI +3; SV FIRE +5; SV POISON +5,,,,,an inferno goblin captain,29,Warrior,Goblin,,,,,Inferno Goblin Captain room,18:00 zone-level listing,,,,,,,,Classic,,Current EQL Wiki-listed,,,,,,,,"Notable exact-source Sol A equipment, utility, container, or narrow-family relationship.",Zone-specific,Core,High,https://eqlwiki.com/Solusek%27s_Eye,https://wiki.project1999.com/Solusek%27s_Eye,,Yes,1,AC 6; AGI +3; SV FIRE +5; SV POISON +5,AC 6; AGI +3; SV FIRE +5; SV POISON +5,WAR CLR PAL SHD BRD,ALL except IKS,29,29,Current EQL Wiki-listed; direct-build confirmation incomplete,Add,Wiki,Wiki,Wiki,No identified change,No identified change,No identified change,No identified change,Current page-listed / unresolved special cycle,Classic,https://eqlwiki.com/Solusek%27s_Eye,,2026-07-28,,,,Yes,Listed,Current Wiki evidence,No,B,Current EQL Sol A item/NPC evidence with classic historical comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki; classic fields from Project 1999/classic baseline; Sol B sources excluded.,EQL-LOOT-1.0,loot,Active,,B25-SOLA-001,,,Yes,Yes,,,Goblins of Fire Peak -30,,,,,Hostile,,,Goblin,,an inferno goblin captain,,,Goblins of Fire Peak,Hostile,Solusek's Eye / Sol A,,Open-world indoor dungeon,Goblin halls,,,Inferno Goblin Captain room,,,,,,an inferno goblin captain,Named / notable source,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Current EQL Solusek's Eye / Sol A; Nagafen's Lair sources excluded,,,,Confirmed,Unconfirmed,,,,,,B25-SOLA,
2,B25-SOLA-002,25,Antonica,Solusek's Eye,Charred Gauntlets,Armor,HANDS,Yes,No,Yes,Yes,,,4.5,SMALL,WAR CLR PAL SHD BRD,ALL except IKS,AC 7; DEX +3; INT +5,,,,,an inferno goblin captain,29,Warrior,Goblin,,,,,Inferno Goblin Captain room,18:00 zone-level listing,,,,,,,,Classic,,Current EQL Wiki-listed,,,,,,,,"Notable exact-source Sol A equipment, utility, container, or narrow-family relationship.",Zone-specific,Core,High,https://eqlwiki.com/Solusek%27s_Eye,https://wiki.project1999.com/Solusek%27s_Eye,,Yes,1,AC 7; DEX +3; INT +5,AC 7; DEX +3; INT +5,WAR CLR PAL SHD BRD,ALL except IKS,29,29,Current EQL Wiki-listed; direct-build confirmation incomplete,Add,Wiki,Wiki,Wiki,No identified change,No identified change,No identified change,No identified change,Current page-listed / unresolved special cycle,Classic,https://eqlwiki.com/Solusek%27s_Eye,,2026-07-28,,,,Yes,Listed,Current Wiki evidence,No,B,Current EQL Sol A item/NPC evidence with classic historical comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki; classic fields from Project 1999/classic baseline; Sol B sources excluded.,EQL-LOOT-1.0,loot,Active,,B25-SOLA-002,,,Yes,Yes,,,Goblins of Fire Peak -30,,,,,Hostile,,,Goblin,,an inferno goblin captain,,,Goblins of Fire Peak,Hostile,Solusek's Eye / Sol A,,Open-world indoor dungeon,Goblin halls,,,Inferno Goblin Captain room,,,,,,an inferno goblin captain,Named / notable source,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Current EQL Solusek's Eye / Sol A; Nagafen's Lair sources excluded,,,,Confirmed,Unconfirmed,,,,,,B25-SOLA,
3,B25-SOLA-003,25,Antonica,Solusek's Eye,Obsidian Ring,Jewelry,FINGER,Yes,No,Yes,,,,0.1,TINY,ALL,ALL,AC 3; DEX +3; HP +10,,,,,Kindle,26,Rogue,Fire Imp,,,,,Kindle room,18:00 zone-level listing,,,,,,,,Classic,,Current EQL Wiki-listed,,,,,,,,"Notable exact-source Sol A equipment, utility, container, or narrow-family relationship.",Zone-specific,Core,High,https://eqlwiki.com/Solusek%27s_Eye,https://wiki.project1999.com/Solusek%27s_Eye,,Yes,1,AC 3; DEX +3; HP +10,AC 3; DEX +3; HP +10,ALL,ALL,26,26,Current EQL Wiki-listed; direct-build confirmation incomplete,Add,Wiki,Wiki,Wiki,No identified change,No identified change,No identified change,No identified change,Current page-listed / unresolved special cycle,Classic,https://eqlwiki.com/Solusek%27s_Eye,,2026-07-28,,,,Yes,Listed,Current Wiki evidence,No,B,Current EQL Sol A item/NPC evidence with classic historical comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki; classic fields from Project 1999/classic baseline; Sol B sources excluded.,EQL-LOOT-1.0,loot,Active,,B25-SOLA-003,,,Yes,Yes,,,,,,,,Hostile,,,Fire Imp,,Kindle,,,,Hostile,Solusek's Eye / Sol A,,Open-world indoor dungeon,Kindle branch,,,Kindle room,,,,,,Kindle,Named / notable source,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Current EQL Solusek's Eye / Sol A; Nagafen's Lair sources excluded,,,,Confirmed,Unconfirmed,,,,,,B25-SOLA,
4,B25-SOLA-004,25,Antonica,Solusek's Eye,Impskin Gloves,Armor,HANDS,Yes,No,Yes,,,,1.5,SMALL,ALL,ALL,AC 2; INT +5; MANA +10,,,,Focus: Affliction Efficiency I,Kindle,26,Rogue,Fire Imp,,,,,Kindle room,18:00 zone-level listing,,,,,,,,Classic,,Current EQL Wiki-listed,,,,,,,,"Notable exact-source Sol A equipment, utility, container, or narrow-family relationship.",Zone-specific,Core,High,https://eqlwiki.com/Solusek%27s_Eye,https://wiki.project1999.com/Solusek%27s_Eye,,Yes,1,AC 2; INT +5; MANA +10,AC 2; INT +5; MANA +10,ALL,ALL,26,26,Current EQL Wiki-listed; direct-build confirmation incomplete,Add,Wiki,Wiki,Wiki,Changed or newly surfaced,No identified change,No identified change,Changed,Current page-listed / unresolved special cycle,Classic-retained with EQL changes,https://eqlwiki.com/Solusek%27s_Eye,,2026-07-28,EQL focus addition: Affliction Efficiency I.,,,Yes,Listed,Current Wiki evidence,No,B,Current EQL Sol A item/NPC evidence with classic historical comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki; classic fields from Project 1999/classic baseline; Sol B sources excluded.,EQL-LOOT-1.0,loot,Active,,B25-SOLA-004,,,Yes,Yes,,,,,,,,Hostile,,,Fire Imp,,Kindle,,,,Hostile,Solusek's Eye / Sol A,,Open-world indoor dungeon,Kindle branch,,,Kindle room,,,,,,Kindle,Named / notable source,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Current EQL Solusek's Eye / Sol A; Nagafen's Lair sources excluded,,,,Confirmed,Unconfirmed,,,,,,B25-SOLA,
5,B25-SOLA-005,25,Antonica,Solusek's Eye,Platinum Armband,Armor,ARMS,Yes,No,Yes,,,,0.3,SMALL,ALL,ALL,STR +3; WIS +3,,,,Focus: Mana Preservation I,a reckless efreeti,26,Warrior,Efreeti,Stationary Blazing Elemental,,,,Reckless Efreeti room,Approximately 70 minutes for stationary placeholder,,,,,,,,Classic,,Current EQL Wiki-listed,,,,,,,,"Notable exact-source Sol A equipment, utility, container, or narrow-family relationship.",Zone-specific,Core,High,https://eqlwiki.com/Solusek%27s_Eye,https://wiki.project1999.com/Solusek%27s_Eye,,Yes,1,STR +3; WIS +3,STR +3; WIS +3,ALL,ALL,26,26,Current EQL Wiki-listed; direct-build confirmation incomplete,Add,Wiki,Wiki,Wiki,Changed or newly surfaced,No identified change,No identified change,Changed,Current page-listed / unresolved special cycle,Classic-retained with EQL changes,https://eqlwiki.com/Solusek%27s_Eye,,2026-07-28,EQL focus addition: Mana Preservation I.,,,Yes,Listed,Current Wiki evidence,No,B,Current EQL Sol A item/NPC evidence with classic historical comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki; classic fields from Project 1999/classic baseline; Sol B sources excluded.,EQL-LOOT-1.0,loot,Active,,B25-SOLA-005,,,Yes,Yes,,,,,,,,Hostile,,,Efreeti,,a reckless efreeti,,,,Hostile,Solusek's Eye / Sol A,,Open-world indoor dungeon,Elemental branch,,,Reckless Efreeti room,,,,,,a reckless efreeti,Named / notable source,,,,,,,,,,,Classic timer: Approximately 70 minutes for stationary placeholder.,Stationary Blazing Elemental,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Current EQL Solusek's Eye / Sol A; Nagafen's Lair sources excluded,,,,Confirmed,Unconfirmed,,,,,,B25-SOLA,
6,B25-SOLA-006,25,Antonica,Solusek's Eye,Obsidian Flamberge,Weapon,PRIMARY,Yes,No,Yes,Yes,Yes,,9.0,MEDIUM,WAR PAL SHD,ALL,,20,50,2H Slashing,Proc: Obsidian Shatter (level 17),a reckless efreeti,26,Warrior,Efreeti,Stationary Blazing Elemental,,,,Reckless Efreeti room,Approximately 70 minutes for stationary placeholder,,,,,,,,Classic,,Current EQL Wiki-listed,,,Weapon ratio 0.400,,,,,"Notable exact-source Sol A equipment, utility, container, or narrow-family relationship.",Zone-specific,Core,High,https://eqlwiki.com/Solusek%27s_Eye,https://wiki.project1999.com/Solusek%27s_Eye,,Yes,1,,,WAR PAL SHD,ALL,26,26,Current EQL Wiki-listed; direct-build confirmation incomplete,Add,Wiki,Wiki,Wiki,No identified change,No identified change,No identified change,No identified change,Current page-listed / unresolved special cycle,Classic,https://eqlwiki.com/Solusek%27s_Eye,,2026-07-28,,,,Yes,Listed,Current Wiki evidence,No,B,Current EQL Sol A item/NPC evidence with classic historical comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki; classic fields from Project 1999/classic baseline; Sol B sources excluded.,EQL-LOOT-1.0,loot,Active,,B25-SOLA-006,,,Yes,Yes,,,,,,,,Hostile,,,Efreeti,,a reckless efreeti,,,,Hostile,Solusek's Eye / Sol A,,Open-world indoor dungeon,Elemental branch,,,Reckless Efreeti room,,,,,,a reckless efreeti,Named / notable source,,,,,,,,,,,Classic timer: Approximately 70 minutes for stationary placeholder.,Stationary Blazing Elemental,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Current EQL Solusek's Eye / Sol A; Nagafen's Lair sources excluded,,,,Confirmed,Unconfirmed,,,,,,B25-SOLA,
7,B25-SOLA-007,25,Antonica,Solusek's Eye,Runed Lava Pendant,Jewelry,NECK,Yes,No,Yes,Yes,,,0.2,SMALL,ALL,ALL,AC 5; STR +6; SV FIRE +5,,,,,a lava elemental,35,Warrior,Elemental,CWG Model MB,,,,Lava Elemental path,18:00 zone-level listing,,,,,,,,Classic,,Current EQL Wiki-listed,,,,,,,,"Notable exact-source Sol A equipment, utility, container, or narrow-family relationship.",Zone-specific,Core,High,https://eqlwiki.com/Solusek%27s_Eye,https://wiki.project1999.com/Solusek%27s_Eye,,Yes,1,AC 5; STR +6; SV FIRE +5,AC 5; STR +6; SV FIRE +5,ALL,ALL,35,35,Current EQL Wiki-listed; direct-build confirmation incomplete,Add,Wiki,Wiki,Wiki,No identified change,No identified change,No identified change,No identified change,Current page-listed / unresolved special cycle,Classic,https://eqlwiki.com/Solusek%27s_Eye,,2026-07-28,,,,Yes,Listed,Current Wiki evidence,No,B,Current EQL Sol A item/NPC evidence with classic historical comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki; classic fields from Project 1999/classic baseline; Sol B sources excluded.,EQL-LOOT-1.0,loot,Active,,B25-SOLA-007,,,Yes,Yes,,,,,,,,Hostile,,,Elemental,,a lava elemental,,,,Hostile,Solusek's Eye / Sol A,,Open-world indoor dungeon,Deep elemental branch,,,Lava Elemental path,,,,,,a lava elemental,Named / notable source,,,,,,,,,,,,CWG Model MB,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Current EQL Solusek's Eye / Sol A; Nagafen's Lair sources excluded,,,,Confirmed,Unconfirmed,,,,,,B25-SOLA,
8,B25-SOLA-008,25,Antonica,Solusek's Eye,Gnomish Environment Suit,Armor,CHEST,Yes,No,Yes,,,,3.5,MEDIUM,ALL except NEC WIZ MAG ENC,ALL,AC 9; SV FIRE +10; SV COLD +10; SV POISON +10,,,,,Captain Bipnubble,40,Warrior,Gnome,,,,,Captain Bipnubble room,18:00 zone-level listing,,,,,,,,Classic,,Current EQL Wiki-listed,,,,,,,,"Notable exact-source Sol A equipment, utility, container, or narrow-family relationship.",Zone-specific,Core,High,https://eqlwiki.com/Solusek%27s_Eye,https://wiki.project1999.com/Solusek%27s_Eye,,Yes,1,AC 9; SV FIRE +10; SV COLD +10; SV POISON +10,AC 9; SV FIRE +10; SV COLD +10; SV POISON +10,ALL except NEC WIZ MAG ENC,ALL,40,40,Current EQL Wiki-listed; direct-build confirmation incomplete,Add,Wiki,Wiki,Wiki,No identified change,No identified change,No identified change,No identified change,Current page-listed / unresolved special cycle,Classic,https://eqlwiki.com/Solusek%27s_Eye,,2026-07-28,,,,Yes,Listed,Current Wiki evidence,No,B,Current EQL Sol A item/NPC evidence with classic historical comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki; classic fields from Project 1999/classic baseline; Sol B sources excluded.,EQL-LOOT-1.0,loot,Active,,B25-SOLA-008,,,Yes,Yes,,,,,,,,Hostile,,,Gnome,,Captain Bipnubble,,,Solusek Mining Company,Hostile,Solusek's Eye / Sol A,,Open-world indoor dungeon,Gnome fort,,,Captain Bipnubble room,,,,,,Captain Bipnubble,Named / notable source,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Current EQL Solusek's Eye / Sol A; Nagafen's Lair sources excluded,,,,Confirmed,Unconfirmed,,,,,,B25-SOLA,
9,B25-SOLA-009,25,Antonica,Solusek's Eye,Obsidian Bead Hoop,Jewelry,EAR,Yes,No,Yes,,,,0.1,TINY,ALL,ALL,AC 2; INT +3; AGI +3,,,,,Singe,28,Warrior,Drake,Cinder Goblin,,,,Singe route,18:00 zone-level listing,,,,,,,,Classic,,Current EQL Wiki-listed,,,,,,,,"Notable exact-source Sol A equipment, utility, container, or narrow-family relationship.",Zone-specific,Core,High,https://eqlwiki.com/Solusek%27s_Eye,https://wiki.project1999.com/Solusek%27s_Eye,,Yes,1,AC 2; INT +3; AGI +3,AC 2; INT +3; AGI +3,ALL,ALL,28,28,Current EQL Wiki-listed; direct-build confirmation incomplete,Add,Wiki,Wiki,Wiki,No identified change,No identified change,No identified change,No identified change,Current page-listed / unresolved special cycle,Classic,https://eqlwiki.com/Solusek%27s_Eye,,2026-07-28,,,,Yes,Listed,Current Wiki evidence,No,B,Current EQL Sol A item/NPC evidence with classic historical comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki; classic fields from Project 1999/classic baseline; Sol B sources excluded.,EQL-LOOT-1.0,loot,Active,,B25-SOLA-009,,,Yes,Yes,,,,,,,,Hostile,,,Drake,,Singe,,,,Hostile,Solusek's Eye / Sol A,,Open-world indoor dungeon,Goblin halls,,,Singe route,,,,,,Singe,Named / notable source,,,,,,,,,,,Classic timer: Approximately 18 minutes.,Cinder Goblin,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Current EQL Solusek's Eye / Sol A; Nagafen's Lair sources excluded,,,,Confirmed,Unconfirmed,,,,,,B25-SOLA,
10,B25-SOLA-010,25,Antonica,Solusek's Eye,Drakescale Belt,Armor,WAIST,Yes,No,,,,,1.0,SMALL,ALL,ALL,AC 5; DEX +3; SV FIRE +10,,,,Focus: Extended Enhancement II,Singe,28,Warrior,Drake,Cinder Goblin,,,,Singe route,18:00 zone-level listing,,,,,,,,Classic,,Current EQL Wiki-listed,,,,,,,,"Notable exact-source Sol A equipment, utility, container, or narrow-family relationship.",Zone-specific,Core,High,https://eqlwiki.com/Solusek%27s_Eye,https://wiki.project1999.com/Solusek%27s_Eye,,Yes,1,AC 5; DEX +3; SV FIRE +10,AC 5; DEX +3; SV FIRE +10,ALL,ALL,28,28,Current EQL Wiki-listed; direct-build confirmation incomplete,Add,Wiki,Wiki,Wiki,Changed or newly surfaced,No identified change,No identified change,Changed,Current page-listed / unresolved special cycle,Classic-retained with EQL changes,https://eqlwiki.com/Solusek%27s_Eye,,2026-07-28,EQL focus addition: Extended Enhancement II.,,,Yes,Listed,Current Wiki evidence,No,B,Current EQL Sol A item/NPC evidence with classic historical comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki; classic fields from Project 1999/classic baseline; Sol B sources excluded.,EQL-LOOT-1.0,loot,Active,,B25-SOLA-010,,,Yes,Yes,,,,,,,,Hostile,,,Drake,,Singe,,,,Hostile,Solusek's Eye / Sol A,,Open-world indoor dungeon,Goblin halls,,,Singe route,,,,,,Singe,Named / notable source,,,,,,,,,,,Classic timer: Approximately 18 minutes.,Cinder Goblin,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Current EQL Solusek's Eye / Sol A; Nagafen's Lair sources excluded,,,,Confirmed,Unconfirmed,,,,,,B25-SOLA,
