record_id,batch,continent,zone,item_name,item_category,slot,equippable,inventory_only,magic,lore,no_drop,quest_item,weight,size,classes_classic,races_classic,stats_raw,damage,delay,weapon_skill,proc_click_focus,source_npc,source_npc_level,source_npc_class,source_npc_race_type,placeholder,placeholder_level_range,nearby_enemy_level_range,spawn_type,spawn_location,respawn_timer,time_condition,special_abilities,social_or_add_risk,faction_consequences,drop_frequency,drop_rate_reported,drop_notes,era_status,tlp_status,legends_status,best_for_classes,best_for_archetypes,general_value_notes,personal_build_notes,effect_transfer_value,target_priority_general,duplicate_item_group,inclusion_reason,source_scope,core_or_supplemental,data_confidence,source_primary,source_secondary,research_notes,approved,revision,stats_classic,stats_eql,classes_eql,races_eql,source_npc_level_classic,source_npc_level_eql,eql_verification_status,eql_audit_action,eql_npc_confirmed,eql_item_confirmed,eql_drop_source_confirmed,eql_stats_match,eql_classes_match,eql_races_match,eql_effect_match,eql_spawn_match,eql_era_status,eql_wiki_source,eql_official_source,eql_last_checked,eql_changes_summary,eql_verification_notes,official_override_status,official_source_checked,eql_wiki_listing_status,eql_wiki_verification_state,current_build_confirmed,evidence_grade,evidence_strength,conflict_status,classic_original_launch,classic_historical_era,last_directly_observed,primary_evidence_layer,per_field_provenance_notes,schema_version,record_type,record_status,source_record_id,canonical_record_id,parent_record_id,related_record_ids,display_default,searchable,record_notes,faction_risk_level,faction_hits_known,faction_gains_known,city_access_risk,merchant_access_risk,quest_access_risk,initial_disposition,protected_npc_type,faction_behavior_notes,creature_family,creature_subfamily,normalized_source_name,source_name_aliases,shared_loot_family,family_faction,family_hostility,family_zone_scope,source_variant_notes,zone_type,zone_subarea,zone_wing,zone_floor,camp_or_room,location_coordinates,location_description,navigation_notes,escape_or_exit_risk,environmental_hazards,encounter_name,encounter_type,encounter_tier,encounter_group_size,encounter_raid_size,encounter_difficulty,encounter_trigger,encounter_scripted,encounter_phases,encounter_adds,encounter_failure_condition,encounter_reset_behavior,encounter_notes,placeholder_npc,placeholder_cycle,spawn_probability,spawn_count,spawn_window,respawn_variance,despawn_condition,spawn_dependencies,spawn_guaranteed,spawn_mechanics_notes,instance_status,instance_type,instance_name,instance_entry_method,instance_reuse_timer,loot_lockout_type,loot_lockout_duration,lockout_scope,lockout_applies_per_npc,lockout_applies_per_instance,lockout_bypass_conditions,instance_notes,loot_delivery_method,loot_container_name,loot_table_name,loot_table_tier,loot_pool_type,loot_roll_type,loot_quantity_min,loot_quantity_max,loot_slots_reported,loot_selection_behavior,shared_loot_notes,currency_drop,loot_delivery_notes,drop_rate_type,drop_rate_numerator,drop_rate_denominator,drop_rate_sample_size,drop_rate_pool_probability,drop_rate_item_probability,drop_rate_source,drop_rate_confidence,drop_rate_conditions,access_requirement,access_key_item,access_key_consumed,access_quest,minimum_recommended_level,minimum_group_size,minimum_raid_size,class_role_requirements,door_or_lock_requirement,levitation_required,underwater_required,resist_requirements,corpse_recovery_difficulty,bind_or_reentry_notes,access_notes,encounter_hp,encounter_ac,damage_per_hit_min,damage_per_hit_max,attacks_per_round,aoe_effects,single_target_effects,debuffs,summons_players,enrages,rampage,flurry,banishes,mem_blur,charm,fear,death_touch,resist_profile,immunity_profile,combat_mechanics_notes,raid_target,raid_classification,raid_progression_role,raid_prerequisite,contested_status,racing_or_engagement_rules,racing_line,open_world_competition,recommended_composition,raid_notes,quest_name,quest_step,quest_role,epic_class,progression_category,required_for_access,required_for_spawn,required_for_turn_in,reward_type,quest_dependency_notes,content_availability,availability_context,availability_start,availability_end,availability_condition,beta_availability_status,launch_availability_status,instance_availability_status,compatibility_action,compatibility_reason,custom_tags,alternate_names,content_group_id,data_extension_json
B13-COR-001,13,,,,,,,,,,,,,,,,,,,,,goblin net master,,,,,,,,,,,,,,,,,,,,,,,,,,,Normalize an approved source to the locked creature-family hierarchy without creating a duplicate display record.,Supplemental correction,Supplemental,,,,,Yes,1,,,,,,,,Correct,,,,,,,,,,,,2026-07-27,,,,,,,,C,Exact or zone-specific source relationship normalized from approved prior record.,None identified,,,,EQL Wiki,,EQL-LOOT-1.0,correction,Active,B04-LAK-009,B04-LAK-009,,,No,No,Batch 13 taxonomy/source normalization; merge only nonblank fields into source_record_id.,,,,,,,,,,Goblin,Aqua Goblin,goblin net master,net master,Deepwater Goblin Net source group,,Hostile,Lake Rathetear,Canonical legacy row assigned to the named goblin net master; separate deepwater-goblin source added in Batch 13.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B13-COR-002,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normalize an approved source to the locked creature-family hierarchy without creating a duplicate display record.,Supplemental correction,Supplemental,,,,,Yes,1,,,,,,,,Correct,,,,,,,,,,,,2026-07-27,,,,,,,,C,Exact or zone-specific source relationship normalized from approved prior record.,None identified,,,,EQL Wiki,,EQL-LOOT-1.0,correction,Active,B08-BBM-001,B08-BBM-001,,,No,No,Batch 13 taxonomy/source normalization; merge only nonblank fields into source_record_id.,,,,,,,,,,Goblin,Aqua Goblin / Named,Glubbsink,Glubb Sink,,Riptide Goblins,Hostile,Butcherblock Mountains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B13-COR-003,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normalize an approved source to the locked creature-family hierarchy without creating a duplicate display record.,Supplemental correction,Supplemental,,,,,Yes,1,,,,,,,,Correct,,,,,,,,,,,,2026-07-27,,,,,,,,C,Exact or zone-specific source relationship normalized from approved prior record.,None identified,,,,EQL Wiki,,EQL-LOOT-1.0,correction,Active,B09-DAG-009,B09-DAG-009,,,No,No,Batch 13 taxonomy/source normalization; merge only nonblank fields into source_record_id.,,,,,,,,,,Goblin,Aqua Goblin Shaman,aqua goblin shaman,,,Riptide Goblins,Hostile,Dagnor's Cauldron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B13-COR-004,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normalize an approved source to the locked creature-family hierarchy without creating a duplicate display record.,Supplemental correction,Supplemental,,,,,Yes,1,,,,,,,,Correct,,,,,,,,,,,,2026-07-27,,,,,,,,C,Exact or zone-specific source relationship normalized from approved prior record.,None identified,,,,EQL Wiki,,EQL-LOOT-1.0,correction,Active,B09-DAG-010,B09-DAG-010,,,No,No,Batch 13 taxonomy/source normalization; merge only nonblank fields into source_record_id.,,,,,,,,,,Goblin,Aqua Goblin Tidal Lord,aqua goblin tidal lord,tidal lord; aqua-goblin tidal lord,,Riptide Goblins,Hostile,Dagnor's Cauldron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B13-COR-005,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normalize an approved source to the locked creature-family hierarchy without creating a duplicate display record.,Supplemental correction,Supplemental,,,,,Yes,1,,,,,,,,Correct,,,,,,,,,,,,2026-07-27,,,,,,,,C,Exact or zone-specific source relationship normalized from approved prior record.,None identified,,,,EQL Wiki,,EQL-LOOT-1.0,correction,Active,B09-DAG-011,B09-DAG-011,,,No,No,Batch 13 taxonomy/source normalization; merge only nonblank fields into source_record_id.,,,,,,,,,,Goblin,Aqua Goblin Tidal Lord,aqua goblin tidal lord,tidal lord; aqua-goblin tidal lord,,Riptide Goblins,Hostile,Dagnor's Cauldron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B13-COR-006,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normalize an approved source to the locked creature-family hierarchy without creating a duplicate display record.,Supplemental correction,Supplemental,,,,,Yes,1,,,,,,,,Correct,,,,,,,,,,,,2026-07-27,,,,,,,,D,Exact or zone-specific source relationship normalized from approved prior record.,Unresolved,,,,EQL Wiki,,EQL-LOOT-1.0,correction,Active,B11-OOT-016,B11-OOT-016,,,No,No,Batch 13 taxonomy/source normalization; merge only nonblank fields into source_record_id.,,,,,,,,,,Goblin,Aqua Goblin Caster,aqua goblin caster population,,,,Hostile,Ocean of Tears,Exact caster variants and exact item mapping remain unresolved.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B13-COR-007,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normalize an approved source to the locked creature-family hierarchy without creating a duplicate display record.,Supplemental correction,Supplemental,,,,,Yes,1,,,,,,,,Correct,,,,,,,,,,,,2026-07-27,,,,,,,,C,Exact or zone-specific source relationship normalized from approved prior record.,None identified,,,,EQL Wiki,,EQL-LOOT-1.0,correction,Active,B11-MTH-008,B11-MTH-008,,,No,No,Batch 13 taxonomy/source normalization; merge only nonblank fields into source_record_id.,,,,,,,,,,Goblin,RunnyEye Goblin,RunnyEye goblin population,,,Clan RunnyEye,Hostile,Misty Thicket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B13-COR-008,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normalize an approved source to the locked creature-family hierarchy without creating a duplicate display record.,Supplemental correction,Supplemental,,,,,Yes,1,,,,,,,,Correct,,,,,,,,,,,,2026-07-27,,,,,,,,C,Exact or zone-specific source relationship normalized from approved prior record.,None identified,,,,EQL Wiki,,EQL-LOOT-1.0,correction,Active,B11-GOX-003,B11-GOX-003,,,No,No,Batch 13 taxonomy/source normalization; merge only nonblank fields into source_record_id.,,,,,,,,,,Goblin,Pickclaw Goblin Alchemist,goblin alchemist,,,Pickclaw Goblins,Hostile,Gorge of King Xorbb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B13-COR-009,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normalize an approved source to the locked creature-family hierarchy without creating a duplicate display record.,Supplemental correction,Supplemental,,,,,Yes,1,,,,,,,,Correct,,,,,,,,,,,,2026-07-27,,,,,,,,C,Exact or zone-specific source relationship normalized from approved prior record.,None identified,,,,EQL Wiki,,EQL-LOOT-1.0,correction,Active,B07-EVF-018,B07-EVF-018,,,No,No,Batch 13 taxonomy/source normalization; merge only nonblank fields into source_record_id.,,,,,,,,,,Goblin,Ice Goblin Caster,ice goblin caster population,Ice-goblin caster population,,,Hostile,Everfrost Peaks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B13-COR-010,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normalize an approved source to the locked creature-family hierarchy without creating a duplicate display record.,Supplemental correction,Supplemental,,,,,Yes,1,,,,,,,,Correct,,,,,,,,,,,,2026-07-27,,,,,,,,C,Exact or zone-specific source relationship normalized from approved prior record.,None identified,,,,EQL Wiki,,EQL-LOOT-1.0,correction,Active,B07-QHY-018,B07-QHY-018,,,No,No,Batch 13 taxonomy/source normalization; merge only nonblank fields into source_record_id.,,,,,,,,,,Gnoll,Blackburrow Gnoll,"gnoll hunter, watcher, or avenger",,,Blackburrow Gnolls,Hostile,Qeynos Hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
