index,record_id,batch,continent,zone,item_name,item_category,slot,equippable,inventory_only,magic,lore,no_drop,quest_item,weight,size,classes_classic,races_classic,stats_raw,damage,delay,weapon_skill,proc_click_focus,source_npc,source_npc_level,source_npc_class,source_npc_race_type,placeholder,placeholder_level_range,nearby_enemy_level_range,spawn_type,spawn_location,respawn_timer,time_condition,special_abilities,social_or_add_risk,faction_consequences,drop_frequency,drop_rate_reported,drop_notes,era_status,tlp_status,legends_status,best_for_classes,best_for_archetypes,general_value_notes,personal_build_notes,effect_transfer_value,target_priority_general,duplicate_item_group,inclusion_reason,source_scope,core_or_supplemental,data_confidence,source_primary,source_secondary,research_notes,approved,revision,stats_classic,stats_eql,classes_eql,races_eql,source_npc_level_classic,source_npc_level_eql,eql_verification_status,eql_audit_action,eql_npc_confirmed,eql_item_confirmed,eql_drop_source_confirmed,eql_stats_match,eql_classes_match,eql_races_match,eql_effect_match,eql_spawn_match,eql_era_status,eql_wiki_source,eql_official_source,eql_last_checked,eql_changes_summary,eql_verification_notes,official_override_status,official_source_checked,eql_wiki_listing_status,eql_wiki_verification_state,current_build_confirmed,evidence_grade,evidence_strength,conflict_status,classic_original_launch,classic_historical_era,last_directly_observed,primary_evidence_layer,per_field_provenance_notes,schema_version,record_type,record_status,source_record_id,canonical_record_id,parent_record_id,related_record_ids,display_default,searchable,record_notes,faction_risk_level,faction_hits_known,faction_gains_known,city_access_risk,merchant_access_risk,quest_access_risk,initial_disposition,protected_npc_type,faction_behavior_notes,creature_family,creature_subfamily,normalized_source_name,source_name_aliases,shared_loot_family,family_faction,family_hostility,family_zone_scope,source_variant_notes,zone_type,zone_subarea,zone_wing,zone_floor,camp_or_room,location_coordinates,location_description,navigation_notes,escape_or_exit_risk,environmental_hazards,encounter_name,encounter_type,encounter_tier,encounter_group_size,encounter_raid_size,encounter_difficulty,encounter_trigger,encounter_scripted,encounter_phases,encounter_adds,encounter_failure_condition,encounter_reset_behavior,encounter_notes,placeholder_npc,placeholder_cycle,spawn_probability,spawn_count,spawn_window,respawn_variance,despawn_condition,spawn_dependencies,spawn_guaranteed,spawn_mechanics_notes,instance_status,instance_type,instance_name,instance_entry_method,instance_reuse_timer,loot_lockout_type,loot_lockout_duration,lockout_scope,lockout_applies_per_npc,lockout_applies_per_instance,lockout_bypass_conditions,instance_notes,loot_delivery_method,loot_container_name,loot_table_name,loot_table_tier,loot_pool_type,loot_roll_type,loot_quantity_min,loot_quantity_max,loot_slots_reported,loot_selection_behavior,shared_loot_notes,currency_drop,loot_delivery_notes,drop_rate_type,drop_rate_numerator,drop_rate_denominator,drop_rate_sample_size,drop_rate_pool_probability,drop_rate_item_probability,drop_rate_source,drop_rate_confidence,drop_rate_conditions,access_requirement,access_key_item,access_key_consumed,access_quest,minimum_recommended_level,minimum_group_size,minimum_raid_size,class_role_requirements,door_or_lock_requirement,levitation_required,underwater_required,resist_requirements,corpse_recovery_difficulty,bind_or_reentry_notes,access_notes,encounter_hp,encounter_ac,damage_per_hit_min,damage_per_hit_max,attacks_per_round,aoe_effects,single_target_effects,debuffs,summons_players,enrages,rampage,flurry,banishes,mem_blur,charm,fear,death_touch,resist_profile,immunity_profile,combat_mechanics_notes,raid_target,raid_classification,raid_progression_role,raid_prerequisite,contested_status,racing_or_engagement_rules,racing_line,open_world_competition,recommended_composition,raid_notes,quest_name,quest_step,quest_role,epic_class,progression_category,required_for_access,required_for_spawn,required_for_turn_in,reward_type,quest_dependency_notes,content_availability,availability_context,availability_start,availability_end,availability_condition,beta_availability_status,launch_availability_status,instance_availability_status,compatibility_action,compatibility_reason,custom_tags,alternate_names,content_group_id,data_extension_json
1,B20-UNR-001,20,Faydwer,The Estate of Unrest,Bloodstained Mantle,Armor,SHOULDERS,Yes,No,Yes,,,,3.5,SMALL,WAR CLR PAL RNG SHD BRD ROG SHM,ALL,AC 6; STR +3; SV MAGIC +10,,,,,an undead knight of Unrest,28,Shadow Knight,Undead Skeleton,a festering hag,,,Placeholder Named,Undead knight tower,22:00,,,,,,,,Classic,,Current EQL Wiki-listed,,,,,,,,"Notable equipment, access item, or meaningful quest/progression relationship.",Zone-specific,Core,Medium,https://eqlwiki.com/Estate_of_Unrest,https://wiki.project1999.com/Unrest,,Yes,2,AC 6; STR +3; SV MAGIC +10,AC 6; STR +3; SV MAGIC +10,WAR CLR PAL RNG SHD BRD ROG SHM,ALL,28,28,Current EQL Wiki-listed; direct-build unconfirmed,Add,Wiki,Wiki,Wiki,No identified change,No identified change,No identified change,No identified change,Unverified,Classic-retained,https://eqlwiki.com/Estate_of_Unrest,,2026-07-28,,,,Yes,Listed,Current Wiki evidence,No,C,Current EQL Wiki item/zone listing with classic comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki zone/item presentation; classic fields from Project 1999/classic-era baseline.,EQL-LOOT-1.0,loot,Active,,B20-UNR-001,,,Yes,Yes,,,,,,,,,,,Undead Skeleton,,an undead knight of Unrest,,,,Hostile,The Estate of Unrest,,Indoor/Outdoor Dungeon Compound,House,,4,Undead knight tower,,,,,,an undead knight of Unrest,Named / notable source,,,,,,,,,,,,a festering hag,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Current EQL beta-era content,,,,Confirmed,Unconfirmed,,,,,,B20-UNR,
2,B20-UNR-002,20,Faydwer,The Estate of Unrest,Bloodstained Tunic,Armor,CHEST,Yes,No,Yes,,,,6.5,MEDIUM,WAR CLR PAL RNG SHD BRD ROG SHM,ALL,AC 13; WIS +4; AGI +4,,,,,an undead knight of Unrest,28,Shadow Knight,Undead Skeleton,a festering hag,,,Placeholder Named,Undead knight tower,22:00,,,,,,,,Classic,,Current EQL Wiki-listed,,,,,,,,"Notable equipment, access item, or meaningful quest/progression relationship.",Zone-specific,Core,Medium,https://eqlwiki.com/Estate_of_Unrest,https://wiki.project1999.com/Unrest,,Yes,2,AC 13; WIS +4; AGI +4,AC 13; WIS +4; AGI +4,WAR CLR PAL RNG SHD BRD ROG SHM,ALL,28,28,Current EQL Wiki-listed; direct-build unconfirmed,Add,Wiki,Wiki,Wiki,No identified change,No identified change,No identified change,No identified change,Unverified,Classic-retained,https://eqlwiki.com/Estate_of_Unrest,,2026-07-28,,,,Yes,Listed,Current Wiki evidence,No,C,Current EQL Wiki item/zone listing with classic comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki zone/item presentation; classic fields from Project 1999/classic-era baseline.,EQL-LOOT-1.0,loot,Active,,B20-UNR-002,,,Yes,Yes,,,,,,,,,,,Undead Skeleton,,an undead knight of Unrest,,,,Hostile,The Estate of Unrest,,Indoor/Outdoor Dungeon Compound,House,,4,Undead knight tower,,,,,,an undead knight of Unrest,Named / notable source,,,,,,,,,,,,a festering hag,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Current EQL beta-era content,,,,Confirmed,Unconfirmed,,,,,,B20-UNR,
3,B20-UNR-003,20,Faydwer,The Estate of Unrest,Dwarven Work Boots,Armor,FEET,Yes,No,Yes,,,,5.0,MEDIUM,ALL except NEC WIZ MAG ENC,ALL,AC 8; STR +3; DEX +5,,,,,Garanel Rucksif,35,Warrior,Undead Ghost Dwarf,a festering hag,,,Placeholder Named,Dwarf room,22:00,,,,,,,,Classic,,Current EQL Wiki-listed,,,,,,,,"Notable equipment, access item, or meaningful quest/progression relationship.",Zone-specific,Core,Medium,https://eqlwiki.com/Estate_of_Unrest,https://wiki.project1999.com/Unrest,,Yes,2,AC 8; STR +3; DEX +5,AC 8; STR +3; DEX +5,ALL except NEC WIZ MAG ENC,ALL,35,35,Current EQL Wiki-listed; direct-build unconfirmed,Add,Wiki,Wiki,Wiki,No identified change,No identified change,No identified change,No identified change,Unverified,Classic-retained,https://eqlwiki.com/Estate_of_Unrest,,2026-07-28,,,,Yes,Listed,Current Wiki evidence,No,C,Current EQL Wiki item/zone listing with classic comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki zone/item presentation; classic fields from Project 1999/classic-era baseline.,EQL-LOOT-1.0,loot,Active,,B20-UNR-003,,,Yes,Yes,,,,,,,,,,,Undead Ghost Dwarf,,Garanel Rucksif,,,,Hostile,The Estate of Unrest,,Indoor/Outdoor Dungeon Compound,Basement,,Basement,Dwarf room,,,,,,Garanel Rucksif,Named / notable source,,,,,,,,,,,,a festering hag,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Current EQL beta-era content,,,,Confirmed,Unconfirmed,,,,,,B20-UNR,
4,B20-UNR-004,20,Faydwer,The Estate of Unrest,Jagged Band,Jewelry,FINGER,Yes,No,Yes,,,,0.1,TINY,ALL,ALL,AC 5; STR +3,,,,,Garanel Rucksif,35,Warrior,Undead Ghost Dwarf,a festering hag,,,Placeholder Named,Dwarf room,22:00,,,,,,,,Classic,,Current EQL Wiki-listed,,,,,,,,"Notable equipment, access item, or meaningful quest/progression relationship.",Zone-specific,Core,Medium,https://eqlwiki.com/Estate_of_Unrest,https://wiki.project1999.com/Unrest,,Yes,2,AC 5; STR +3,AC 5; STR +3,ALL,ALL,35,35,Current EQL Wiki-listed; direct-build unconfirmed,Add,Wiki,Wiki,Wiki,No identified change,No identified change,No identified change,No identified change,Unverified,Classic-retained,https://eqlwiki.com/Estate_of_Unrest,,2026-07-28,,,,Yes,Listed,Current Wiki evidence,No,C,Current EQL Wiki item/zone listing with classic comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki zone/item presentation; classic fields from Project 1999/classic-era baseline.,EQL-LOOT-1.0,loot,Active,,B20-UNR-004,,,Yes,Yes,,,,,,,,,,,Undead Ghost Dwarf,,Garanel Rucksif,,,,Hostile,The Estate of Unrest,,Indoor/Outdoor Dungeon Compound,Basement,,Basement,Dwarf room,,,,,,Garanel Rucksif,Named / notable source,,,,,,,,,,,,a festering hag,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Current EQL beta-era content,,,,Confirmed,Unconfirmed,,,,,,B20-UNR,
5,B20-UNR-005,20,Faydwer,The Estate of Unrest,Savant's Cap,Armor,HEAD,Yes,No,Yes,,,,0.3,SMALL,ALL,ALL,AC 2; WIS +3; INT +3,,,,Focus: Reagent Conservation II,reclusive ghoul magus,23,Necromancer,Undead Ghoul,,,,Named / uncertain placeholder,Magus room,,,,,,,,,Classic,,Current EQL Wiki-listed,,,,,,,,"Notable equipment, access item, or meaningful quest/progression relationship.",Zone-specific,Core,Medium,https://eqlwiki.com/Estate_of_Unrest,https://wiki.project1999.com/Unrest,,Yes,2,AC 2; WIS +3; INT +3,AC 2; WIS +3; INT +3,ALL,ALL,23,23,Current EQL Wiki-listed; direct-build unconfirmed,Add,Wiki,Wiki,Wiki,Changed,No identified change,No identified change,Changed,Unverified,Classic-retained with EQL changes,https://eqlwiki.com/Estate_of_Unrest,,2026-07-28,EQL focus addition: Reagent Conservation II.,,,Yes,Listed,Current Wiki evidence,No,C,Current EQL Wiki item/zone listing with classic comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki zone/item presentation; classic fields from Project 1999/classic-era baseline.,EQL-LOOT-1.0,loot,Active,,B20-UNR-005,,,Yes,Yes,,,,,,,,,,,Undead Ghoul,,reclusive ghoul magus,,,,Hostile,The Estate of Unrest,,Indoor/Outdoor Dungeon Compound,House,,2,Magus room,,,,,,reclusive ghoul magus,Named / notable source,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Current EQL beta-era content,,,,Confirmed,Unconfirmed,,,,,,B20-UNR,
6,B20-UNR-006,20,Faydwer,The Estate of Unrest,Dusty Bloodstained Gloves,Armor,HANDS,Yes,No,Yes,,,,0.4,SMALL,NEC WIZ MAG ENC,ALL,AC 2; MANA +25,,,,Focus: Summoning Efficiency I,reclusive ghoul magus,23,Necromancer,Undead Ghoul,,,,Named / uncertain placeholder,Magus room,,,,,,,,,Classic,,Current EQL Wiki-listed,,,,,,,,"Notable equipment, access item, or meaningful quest/progression relationship.",Zone-specific,Core,Medium,https://eqlwiki.com/Estate_of_Unrest,https://wiki.project1999.com/Unrest,,Yes,2,AC 2; MANA +25,AC 2; MANA +25,NEC WIZ MAG ENC,ALL,23,23,Current EQL Wiki-listed; direct-build unconfirmed,Add,Wiki,Wiki,Wiki,Changed,No identified change,No identified change,Changed,Unverified,Classic-retained with EQL changes,https://eqlwiki.com/Estate_of_Unrest,,2026-07-28,EQL focus addition: Summoning Efficiency I.,,,Yes,Listed,Current Wiki evidence,No,C,Current EQL Wiki item/zone listing with classic comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki zone/item presentation; classic fields from Project 1999/classic-era baseline.,EQL-LOOT-1.0,loot,Active,,B20-UNR-006,,,Yes,Yes,,,,,,,,,,,Undead Ghoul,,reclusive ghoul magus,,,,Hostile,The Estate of Unrest,,Indoor/Outdoor Dungeon Compound,House,,2,Magus room,,,,,,reclusive ghoul magus,Named / notable source,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Current EQL beta-era content,,,,Confirmed,Unconfirmed,,,,,,B20-UNR,
7,B20-UNR-007,20,Faydwer,The Estate of Unrest,Opalline Earring,Jewelry,EAR,Yes,No,Yes,,,,0.1,TINY,ALL,ALL,AC 2; CHA +5,,,,,an undead barkeep,25,Rogue,Undead Zombie,,,,Named,Barroom,22:00,,,,,,,,Classic,,Current EQL Wiki-listed,,,,,,,,"Notable equipment, access item, or meaningful quest/progression relationship.",Zone-specific,Core,Medium,https://eqlwiki.com/Estate_of_Unrest,https://wiki.project1999.com/Unrest,,Yes,2,AC 2; CHA +5,AC 2; CHA +5,ALL,ALL,25,25,Current EQL Wiki-listed; direct-build unconfirmed,Add,Wiki,Wiki,Wiki,No identified change,No identified change,No identified change,No identified change,Unverified,Classic-retained,https://eqlwiki.com/Estate_of_Unrest,,2026-07-28,,,,Yes,Listed,Current Wiki evidence,No,C,Current EQL Wiki item/zone listing with classic comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki zone/item presentation; classic fields from Project 1999/classic-era baseline.,EQL-LOOT-1.0,loot,Active,,B20-UNR-007,,,Yes,Yes,,,,,,,,,,,Undead Zombie,,an undead barkeep,,,,Hostile,The Estate of Unrest,,Indoor/Outdoor Dungeon Compound,House,,3,Barroom,,,,,,an undead barkeep,Named / notable source,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Current EQL beta-era content,,,,Confirmed,Unconfirmed,,,,,,B20-UNR,
8,B20-UNR-008,20,Faydwer,The Estate of Unrest,Thick Leather Apron,Armor,WAIST,Yes,No,No,,,,1.0,SMALL,ALL except NEC WIZ MAG ENC,ALL,AC 8,,,,,an undead barkeep,25,Rogue,Undead Zombie,,,,Named,Barroom,22:00,,,,,,,,Classic,,Current EQL Wiki-listed,,,,,,,,"Notable equipment, access item, or meaningful quest/progression relationship.",Zone-specific,Core,Medium,https://eqlwiki.com/Estate_of_Unrest,https://wiki.project1999.com/Unrest,,Yes,2,AC 8,AC 8,ALL except NEC WIZ MAG ENC,ALL,25,25,Current EQL Wiki-listed; direct-build unconfirmed,Add,Wiki,Wiki,Wiki,No identified change,No identified change,No identified change,No identified change,Unverified,Classic-retained,https://eqlwiki.com/Estate_of_Unrest,,2026-07-28,,,,Yes,Listed,Current Wiki evidence,No,C,Current EQL Wiki item/zone listing with classic comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki zone/item presentation; classic fields from Project 1999/classic-era baseline.,EQL-LOOT-1.0,loot,Active,,B20-UNR-008,,,Yes,Yes,,,,,,,,,,,Undead Zombie,,an undead barkeep,,,,Hostile,The Estate of Unrest,,Indoor/Outdoor Dungeon Compound,House,,3,Barroom,,,,,,an undead barkeep,Named / notable source,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Current EQL beta-era content,,,,Confirmed,Unconfirmed,,,,,,B20-UNR,
9,B20-UNR-009,20,Faydwer,The Estate of Unrest,Ivory Bracelet,Jewelry,WRIST,Yes,No,Yes,,,,0.2,TINY,ALL,ALL,AGI +3; MANA +20,,,,Focus: Reanimation Haste I,a reanimated hand (Unrest),21,Wizard,Undead Construct,,,,Static / rare,Hand room,,,,,,,,,Classic,,Current EQL Wiki-listed,,,,,,,,"Notable equipment, access item, or meaningful quest/progression relationship.",Zone-specific,Core,Medium,https://eqlwiki.com/Estate_of_Unrest,https://wiki.project1999.com/Unrest,,Yes,2,AGI +3; MANA +20,AGI +3; MANA +20,ALL,ALL,21,21,Current EQL Wiki-listed; direct-build unconfirmed,Add,Wiki,Wiki,Wiki,Changed,No identified change,No identified change,Changed,Unverified,Classic-retained with EQL changes,https://eqlwiki.com/Estate_of_Unrest,,2026-07-28,EQL focus addition: Reanimation Haste I.,,,Yes,Listed,Current Wiki evidence,No,C,Current EQL Wiki item/zone listing with classic comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki zone/item presentation; classic fields from Project 1999/classic-era baseline.,EQL-LOOT-1.0,loot,Active,,B20-UNR-009,,,Yes,Yes,,,,,,,,,,,Undead Construct,,a reanimated hand (Unrest),,,,Hostile,The Estate of Unrest,,Indoor/Outdoor Dungeon Compound,House,,3,Hand room,,,,,,a reanimated hand (Unrest),Named / notable source,,,,,,,,,,,,,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Current EQL beta-era content,,,,Confirmed,Unconfirmed,,,,,,B20-UNR,
10,B20-UNR-010,20,Faydwer,The Estate of Unrest,Gladius,Weapon,PRIMARY SECONDARY,Yes,No,Yes,,,,2.5,MEDIUM,WAR PAL RNG SHD BRD ROG,ALL,,7,29,1H Slashing,,Lesser Blade Fiend,19,Warrior,Dervish / Blade Fiend,a dark boned skeleton,,,Placeholder Named,Side-door alcove,,,,,,,,,Classic,,Current EQL Wiki-listed,,,Weapon ratio 0.241,,,,,"Notable equipment, access item, or meaningful quest/progression relationship.",Zone-specific,Core,Medium,https://eqlwiki.com/Estate_of_Unrest,https://wiki.project1999.com/Unrest,,Yes,2,,,WAR PAL RNG SHD BRD ROG,ALL,19,19,Current EQL Wiki-listed; direct-build unconfirmed,Add,Wiki,Wiki,Wiki,No identified change,No identified change,No identified change,No identified change,Unverified,Classic-retained,https://eqlwiki.com/Estate_of_Unrest,,2026-07-28,,,,Yes,Listed,Current Wiki evidence,No,C,Current EQL Wiki item/zone listing with classic comparison.,None identified,Yes,Classic,,Current EQL Wiki,Current fields from EQL Wiki zone/item presentation; classic fields from Project 1999/classic-era baseline.,EQL-LOOT-1.0,loot,Active,,B20-UNR-010,,,Yes,Yes,,,,,,,,,,,Dervish / Blade Fiend,,Lesser Blade Fiend,,,,Hostile,The Estate of Unrest,,Indoor/Outdoor Dungeon Compound,House,,1,Side-door alcove,,,,,,Lesser Blade Fiend,Named / notable source,,,,,,,,,,,,a dark boned skeleton,,,,,,,,,,Open World,Open World,,,,,,,,,,,NPC Corpse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Available,Current EQL beta-era content,,,,Confirmed,Unconfirmed,,,,,,B20-UNR,
