record_id,batch,continent,zone,item_name,item_category,slot,equippable,inventory_only,magic,lore,no_drop,quest_item,weight,size,classes_classic,races_classic,stats_raw,damage,delay,weapon_skill,proc_click_focus,source_npc,source_npc_level,source_npc_class,source_npc_race_type,placeholder,placeholder_level_range,nearby_enemy_level_range,spawn_type,spawn_location,respawn_timer,time_condition,special_abilities,social_or_add_risk,faction_consequences,drop_frequency,drop_rate_reported,drop_notes,era_status,tlp_status,legends_status,best_for_classes,best_for_archetypes,general_value_notes,personal_build_notes,effect_transfer_value,target_priority_general,duplicate_item_group,inclusion_reason,source_scope,core_or_supplemental,data_confidence,source_primary,source_secondary,research_notes,approved,revision,stats_classic,stats_eql,classes_eql,races_eql,source_npc_level_classic,source_npc_level_eql,eql_verification_status,eql_audit_action,eql_npc_confirmed,eql_item_confirmed,eql_drop_source_confirmed,eql_stats_match,eql_classes_match,eql_races_match,eql_effect_match,eql_spawn_match,eql_era_status,eql_wiki_source,eql_official_source,eql_last_checked,eql_changes_summary,eql_verification_notes,official_override_status,official_source_checked,eql_wiki_listing_status,eql_wiki_verification_state,current_build_confirmed,evidence_grade,evidence_strength,conflict_status,classic_original_launch,classic_historical_era,last_directly_observed,primary_evidence_layer,per_field_provenance_notes
B11-MTH-001,11,Antonica,Misty Thicket,Clay Totem,Offhand / caster item,Primary / Secondary,Yes,No,,,,,,,,,HP +5; WIS +7,,,,,goblin shaman,9-10,,,,,,Hostile goblin caster population,,,,,,,,,,,,,,,,,,,Clay Totem,Resolved hostile source,Outdoor creature drop,Core,High,https://eqlwiki.com/Misty_Thicket,,,Yes,4,HP +5; WIS +7,HP +5; WIS +7,,,9-10,9-10,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Misty_Thicket,,2026-07-22,,,No applicable official item-specific statement found,Yes,Direct or research linkage where documented,Verification state unclear,No public direct observation found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from approved Batch 11 audit.
B11-MTH-002,11,Antonica,Misty Thicket,Bone Totem,Offhand / caster item,Primary / Secondary,Yes,No,,,,,,,,,CHA -9; HP +15; Mana +5,,,,,goblin shaman,9-10,,,,,,Hostile goblin caster population,,,,,,,,,,,,,,,,,,,Bone Totem,Notable hostile goblin-shaman offhand,Outdoor creature drop,Core,High,https://eqlwiki.com/Misty_Thicket,,,Yes,4,CHA -9; HP +15; Mana +5,CHA -9; HP +15; Mana +5,,,9-10,9-10,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Misty_Thicket,,2026-07-22,,,No applicable official item-specific statement found,Yes,Direct or research linkage where documented,Verification state unclear,No public direct observation found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from approved Batch 11 audit.
B11-MTH-003,11,Antonica,Misty Thicket,Bracelet of Beetlekind,Quest reward armor / charged utility,Wrist,Yes,No,,,,,,,,,,,,,10 instant charges: Strengthen,Bug Collection quest,Quest reward,,,,,,Quest reward,,,,,,,,,,,,,,,,,,,Bracelet of Beetlekind,Charged stat utility wrist,Quest reward,Core,High,https://eqlwiki.com/Misty_Thicket,,,Yes,4,,,,,Quest reward,Quest reward,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Misty_Thicket,,2026-07-22,,,No applicable official item-specific statement found,Yes,Direct or research linkage where documented,Verification state unclear,No public direct observation found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from approved Batch 11 audit.
B11-MTH-004,11,Antonica,Misty Thicket,Silver Bracelet,Quest reward armor / charged utility,Wrist,Yes,No,,,,,,,,,,,,,14 charges: Cure Poison,Bug Collection quest,Quest reward,,,,,,Quest reward,,,,,,,,,,,,,,,,,,,Silver Bracelet,Charged poison-removal wrist,Quest reward,Core,High,https://eqlwiki.com/Misty_Thicket,,,Yes,4,,,,,Quest reward,Quest reward,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Misty_Thicket,,2026-07-22,,,No applicable official item-specific statement found,Yes,Direct or research linkage where documented,Verification state unclear,No public direct observation found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from approved Batch 11 audit.
B11-MTH-005,11,Antonica,Misty Thicket,Potion of Poison Warding,Charged utility item,Inventory,No,Yes,,,,,,,,,,,,,5 charges: Counteract Poison,Bug Collection quest,Quest reward,,,,,,Quest reward,,,,,,,,,,,,,,,,,,,Potion of Poison Warding,Charged poison-removal consumable,Quest reward,Core,High,https://eqlwiki.com/Misty_Thicket,,,Yes,4,,,,,Quest reward,Quest reward,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Misty_Thicket,,2026-07-22,,,No applicable official item-specific statement found,Yes,Direct or research linkage where documented,Verification state unclear,No public direct observation found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from approved Batch 11 audit.
B11-MTH-006,11,Antonica,Misty Thicket,Spider Venom,Effect item,Inventory,No,Yes,,,,,,,,,,,,,Combat effect: Weakening Poison I,Bug Collection quest,Quest reward,,,,,,Quest reward,,,,,,,,,,,,,,,,,,,Spider Venom,EQL poison effect item,Quest reward,Core,High,https://eqlwiki.com/Misty_Thicket,,,Yes,4,,,,,Quest reward,Quest reward,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Misty_Thicket,,2026-07-22,,,No applicable official item-specific statement found,Yes,Direct or research linkage where documented,Verification state unclear,No public direct observation found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from approved Batch 11 audit.
B11-MTH-007,11,Antonica,Misty Thicket,Stalking Probe,Charged utility item,Inventory,No,Yes,,,,,,,,,,,,,5 instant charges; exact effect unresolved,Bug Collection quest,Quest reward,,,,,,Quest reward,,,,,,,,,,,,,,,,,,,Stalking Probe,Distinct charged utility reward,Quest reward,Core,Medium,https://eqlwiki.com/Misty_Thicket,,,Yes,4,,,,,Quest reward,Quest reward,EQL Wiki Linked — Further normalization required,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Misty_Thicket,,2026-07-22,,,No applicable official item-specific statement found,Yes,Direct or research linkage where documented,Verification state unclear,No public direct observation found,D,"Partial EQL linkage; exact source, effect, or item details require normalization",None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from approved Batch 11 audit.
B11-MTH-008,11,Antonica,Misty Thicket,RunnyEye Warbeads,Quest / faction item,Inventory,No,Yes,,,,,,,,,,,,,,RunnyEye goblin population,Varies,,,,,,Hostile goblin population,,,,,,,,,,,,,,,,,,,RunnyEye Warbeads,Regional faction quest item,Outdoor creature drop,Core,High,https://eqlwiki.com/Misty_Thicket,,,Yes,4,,,,,Varies,Varies,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Misty_Thicket,,2026-07-22,,,No applicable official item-specific statement found,Yes,Direct or research linkage where documented,Verification state unclear,No public direct observation found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from approved Batch 11 audit.
B11-MTH-009,11,Antonica,Misty Thicket,Shattered Warbeads,Quest / neck item,Neck / Inventory,Yes,No,,,,,,,,,,,,,,RunnyEye goblin population,Varies,,,,,,Hostile goblin population,,,,,,,,,,,,,,,,,,,Shattered Warbeads,Alternate regional faction drop,Outdoor creature drop,Core,High,https://eqlwiki.com/Misty_Thicket,,,Yes,4,,,,,Varies,Varies,EQL Wiki Linked — Verification State Unclear,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Misty_Thicket,,2026-07-22,,,No applicable official item-specific statement found,Yes,Direct or research linkage where documented,Verification state unclear,No public direct observation found,C,EQL Wiki linked; classic baseline retained,None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from approved Batch 11 audit.
B11-MTH-010,11,Antonica,Misty Thicket,Mooto's Proof,Quest item,Inventory,No,Yes,,,,,,,,,,,,,,Mooto,Unverified,,,,,,Named quest source,,,,,,,,,,,,,,,,,,,Mooto's Proof,Named quest item requiring normalization,Named outdoor drop,Core,Medium,https://eqlwiki.com/Misty_Thicket,,,Yes,4,,,,,Unverified,Unverified,EQL Wiki Linked — Further normalization required,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,EQL Wiki linked; current-build availability not directly observed,https://eqlwiki.com/Misty_Thicket,,2026-07-22,,,No applicable official item-specific statement found,Yes,Direct or research linkage where documented,Verification state unclear,No public direct observation found,D,"Partial EQL linkage; exact source, effect, or item details require normalization",None identified,Unverified,Classic-era baseline,,EQL Wiki,Added from approved Batch 11 audit.
